60e311e5633d3e0235bd712d1dac67be8738a594398dcb23e1bf3fc414015acc,9aa644a9c4de5f9cf1926e28b77a4d8508978412b3b20fffa41eb2cee54818d8,794fe169b5d11efc826e15e12376a9363fa87c3021c7f12ef68895b0ec4c571a,0f41a2dd556048043b00db73f542d81077c69bb5900978cf9bcc6032d4ffc30a,909172d57f131ed387596ca51b8f0b0f295ce7b57578293ddb774c799d542547,554fabf1ae04bc00e7c764cc463198728c9e51e0ae6d27f20dd956ad677418f5,5ed8def4d9a8ce5345e48a8f8d5ef8520e4861cd8f479ea8d95eae816bcd2a2a,e33768f969f135b546469357315bfe01b50b339b8b272c2e8ee7cfdabd7f7040
"110001","110001","0","90110001","ガーゴイル（EASY）をクリアしよう","1","111","70000"
"110002","110001","0","90110002","ガーゴイル（NORMAL）をクリアしよう","1","112","70000"
"110003","110001","0","90110003","ガーゴイル（HARD）をクリアしよう","1","113","70000"
"110004","110001","0","90110004","ガーゴイル（VERY HARD）をクリアしよう","1","114","70000"
"110005","110001","0","90110005","ガーゴイル（EXTREME）をクリアしよう","1","115","70000"
"120001","110001","0","90120001","マグスガーゴイル（EASY）をクリアしよう","1","121","70000"
"120002","110001","0","90120002","マグスガーゴイル（NORMAL）をクリアしよう","1","122","70000"
"120003","110001","0","90120003","マグスガーゴイル（HARD）をクリアしよう","1","123","70000"
"120004","110001","0","90120004","マグスガーゴイル（VERY HARD）をクリアしよう","1","124","70000"
"120005","110001","0","90120005","マグスガーゴイル（EXTREME）をクリアしよう","1","125","70000"
"130001","110001","0","90130001","ガードガーゴイル（EASY）をクリアしよう","1","131","70000"
"130002","110001","0","90130002","ガードガーゴイル（NORMAL）をクリアしよう","1","132","70000"
"130003","110001","0","90130003","ガードガーゴイル（HARD）をクリアしよう","1","133","70000"
"130004","110001","0","90130004","ガードガーゴイル（VERY HARD）をクリアしよう","1","134","70000"
"130005","110001","0","90130005","ガードガーゴイル（EXTREME）をクリアしよう","1","135","70000"
"140001","110001","0","90140001","ガーゴイル・バースト（EASY）をクリアしよう","1","141","70000"
"140002","110001","0","90140002","ガーゴイル・バースト（NORMAL）をクリアしよう","1","142","70000"
"140003","110001","0","90140003","ガーゴイル・バースト（HARD）をクリアしよう","1","143","70000"
"140004","110001","0","90140004","ガーゴイル・バースト（VERY HARD）をクリアしよう","1","144","70000"
"140005","110001","0","90140005","ガーゴイル・バースト（EXTREME）をクリアしよう","1","145","70000"
"150001","110001","0","90150001","ガーゴイル・マギ（EASY）をクリアしよう","1","151","70000"
"150002","110001","0","90150002","ガーゴイル・マギ（NORMAL）をクリアしよう","1","152","70000"
"150003","110001","0","90150003","ガーゴイル・マギ（HARD）をクリアしよう","1","153","70000"
"150004","110001","0","90150004","ガーゴイル・マギ（VERY HARD）をクリアしよう","1","154","70000"
"150005","110001","0","90150005","ガーゴイル・マギ（EXTREME）をクリアしよう","1","155","70000"
