209ca813408b2228afae4d91933c055e012887765d2e149a0a891817df516185,022f3bc6a057bfbbbca1022c994b47d1c8e000986fd16b5ff100f5a3f035ca26,718c04831046a0c0bf888287a8e1f4a684986f2a55b704c9cf6685597a1df7ea,f5f8a9eca25349bd2eed84659176c11e3087a2794a3ccdd80327ac24da9daf3f,86f67584083b99a02bcbfc0d3e2bd2e3600c6239981acd25c58672926d82c182,3e1991d1048d574747254557f95ff293092eff03de77eb6089975519a40c7b16,aad7fd2a533cdaa3b7b89c9e49c31ce4f4fc5449e6b1cf54433762687be0254d,d8f9c38053a219d794002a1a634be6aa370fb2d551b63704f93c4f02f4eeefa4,5b8486067d77dd8fb078c306fff39e04c135ea4f8d2e4a770b6ce1202caebc98,df68cee82aefeb16c3e2e4f3cdb4b9cd76855f3eb81257eb1ac7d6d96a2e3ffe
"20","3","0","100","10000","1","1","パーツを20個獲得しよう","1","1"
"25","3","0","100","10001","1","1","パーツを25個獲得しよう","2","2"
"30","3","0","100","10002","1","1","パーツを30個獲得しよう","2","3"
"35","3","0","100","10003","1","1","パーツを35個獲得しよう","3","4"
"40","3","0","100","10004","1","1","パーツを40個獲得しよう","3","5"
"45","3","0","100","10005","1","1","パーツを45個獲得しよう","4","6"
"50","3","0","100","10006","1","1","パーツを50個獲得しよう","4","7"
"1500","2","0","101","20000","1","2","総戦力を1500以上にしよう","3","101"
"2000","2","0","101","20001","1","2","総戦力を2000以上にしよう","3","102"
"2500","2","0","101","20002","1","2","総戦力を2500以上にしよう","3","103"
"3000","2","0","101","20003","1","2","総戦力を3000以上にしよう","3","104"
"3500","2","0","101","20004","1","2","総戦力を3500以上にしよう","3","105"
"4000","2","0","101","20005","1","2","総戦力を4000以上にしよう","4","106"
"4500","2","0","101","20006","1","2","総戦力を4500以上にしよう","4","107"
"5000","2","0","101","20007","1","2","総戦力を5000以上にしよう","4","108"
"6000","2","0","101","20008","1","2","総戦力を6000以上にしよう","4","109"
"7000","2","0","101","20009","1","2","総戦力を7000以上にしよう","4","110"
"8000","2","0","101","20010","1","2","総戦力を8000以上にしよう","5","111"
"9000","2","0","101","20011","1","2","総戦力を9000以上にしよう","5","112"
"10000","2","0","101","20012","1","2","総戦力を10000以上にしよう","5","600"
"100","4","0","200","30000","2","3","バトルポイントを累計100pt獲得しよう","2","201"
"200","4","0","200","30001","2","3","バトルポイントを累計200pt獲得しよう","2","202"
"300","4","0","200","30002","2","3","バトルポイントを累計300pt獲得しよう","2","203"
"400","4","0","200","30003","2","3","バトルポイントを累計400pt獲得しよう","2","204"
"500","4","0","200","30004","2","3","バトルポイントを累計500pt獲得しよう","2","205"
"600","4","0","200","30005","2","3","バトルポイントを累計600pt獲得しよう","3","206"
"700","4","0","200","30006","2","3","バトルポイントを累計700pt獲得しよう","3","207"
"800","4","0","200","30007","2","3","バトルポイントを累計800pt獲得しよう","3","208"
"900","4","0","200","30008","2","3","バトルポイントを累計900pt獲得しよう","3","209"
"1000","4","0","200","30009","2","3","バトルポイントを累計1000pt獲得しよう","3","210"
"5","1","0","400","50000","4","5","フブキから5個パーツを獲得しよう","7","401"
"10","1","0","400","50001","4","5","フブキから10個パーツを獲得しよう","7","402"
"15","1","0","400","50002","4","5","フブキから15個パーツを獲得しよう","7","403"
"20","1","0","400","50003","4","5","フブキから20個パーツを獲得しよう","7","404"
"25","1","0","400","50004","4","5","フブキから25個パーツを獲得しよう","7","405"
"30","1","0","400","50005","4","5","フブキから30個パーツを獲得しよう","7","406"
"35","1","0","400","50006","4","5","フブキから35個パーツを獲得しよう","7","407"
"40","1","0","400","50007","4","5","フブキから40個パーツを獲得しよう","7","408"
"45","1","0","400","50008","4","5","フブキから45個パーツを獲得しよう","7","409"
"50","1","0","400","50009","4","5","フブキから50個パーツを獲得しよう","6","700"
"800","4","30009","209","60000","2","6","バトルポイントを800pt獲得しよう（何度でも）","7","999"
"14","3","0","300","70000","3","7","ステージ14をクリアしよう","6","799"
"50","3","0","301","70001","3","7","ステージ50をクリアしよう","8","800"
