05ec4be97f9780e49259289a4a772600d8c84665eb07da2ec0daf1160a55d609,39e7b0bac7c58f88e2f51bb45add580e33a13268f2d808458ec84711f1e5004a,86e393735ed9be34e70cadcc0f99abc87566019a7c5d607ddb305c3274d872d2,22917cb489e59ee03fb8fc6f5ea02cdedb179f08e5d054a30e203d121c7892a7,73c4e316d08cf0922f57e3c28f759de01ea528a7a8b5786a9cf5789ae30e9ea1,5c4304103b5437556cccdf9d9f7eef9417ac9335bd972b7838cf6f3ff5153b9d,8588e272135649a107e667b95fcb747bdcdba04b12eed9b36d0fb33f80a25a80,4072294600bbbe90372dab24a08f9ce0bceb58b41e74480ad03d23e071dcff24,5a6e94a4206a8e29666111158fb04e0c1e8cff771efd3698ee7e995482b78112,d18c8b265de4347ba350fba3e67d2dc67b96c36234231bf95c5027d613a5baf1,c271f961b1cbc83f35561c4aaf5614ab451255194eae4b88d7f4dd1fd1603655,e1621ff6c2309c66ab1fa6128c9cd063dd6700cd613a9d19639e648b2fbe6591,b3088a73679a9f7b1697d471a7ad28d303d6d8a2e8bf84d952a98dacbbe7627e,c3a4bd0923aaa35a36a24c553bbe4240f8af5ae416dfdf8207186e497ee725b3,3f2887d9d2d79692fdc1be54e796d47cc75972818f9b8ff947a726f07fb32ba7
"-363","0","1","7","キャル","0","0","2030/12/17 14:59:59","1","たまには\n協力するのもいいんじゃない？\nあたしも手を貸してあげる","106001","1","2015/12/17 15:00:00","0","7001"
"-363","0","1","7","コッコロ","0","0","2030/12/17 14:59:59","1","多くの方と協力して\n戦えるようです\n主さまなら、さぞ\nご活躍なさることでしょう","105901","1","2015/12/17 15:00:00","0","7002"
"-363","0","1","7","ペコリーヌ","0","0","2030/12/17 14:59:59","1","たくさんの人と一緒に\n協力バトルです！\nがんばりましょう☆","105801","1","2015/12/17 15:00:00","0","7003"
"-363","0","1","10","ペコリーヌ","0","0","2030/12/17 14:59:59","1","ジュエルを食べ物…\nいえ、貴重品と交換できます！","105801","1","2015/12/17 15:00:00","0","10001"
"-363","0","1","10","キャル","0","0","2030/12/17 14:59:59","1","ジュエルはよく考えて\n使うことね\n無駄遣い厳禁！","106001","1","2015/12/17 15:00:00","0","10002"
"-363","0","1","10","コッコロ","0","0","2030/12/17 14:59:59","1","主さまのジュエルで\n貴重な品々を購入できます\nですが、無駄遣いは\n『めっ』でございますよ","105901","1","2015/12/17 15:00:00","0","10003"
"-363","2104010","2","10","シェフィ","0","0","2030/12/17 14:59:59","1","ジュエルがあれば\n貴重品と交換できるみたい\n大事に使いましょうね","106401","1","2015/12/17 15:00:00","0","10004"
"-416.5","0","1","12","ペコリーヌ","0","0","2030/12/17 14:59:59","1","特定の条件を達成すると\n報酬がもらえますよ！\nがんばりましょう♪　","105801","1","2015/12/17 15:00:00","0","12001"
"-363","0","1","13","キャル","0","0","2030/12/17 14:59:59","1","思い出が詰まってるって\nいろいろあったけど\n振り返るのもいいんじゃない？","106001","1","2015/12/17 15:00:00","0","13001"
"-363","0","1","13","コッコロ","0","0","2030/12/17 14:59:59","1","主さまとの楽しい日々…\nこちらで何度でも\n思い返しましょう♪","105901","1","2015/12/17 15:00:00","0","13002"
