989498a6e887078e7df0cbe2642a48c30465ea39e4930b5e28edefbb6467cc1f,938e70b23554d9f3267f43114f710d7f3012c2f7105094ecd49c24554918876d,0c5bf428dbebc0fdbd0f694e1db76df5354f35d31d1b0d2df82d10fdebabdf6f,4c6c6ce759e857206a3176e1d5e38cd11d7acfaff1093edc9de195ea0dc98675,fca0657727d33d6dd5180791f7d3cf28bafc8c3ef7b1e630932e8b5c8b084b8c,e4341aa9de0c6a0435ebcbe672e749b9ebb2f70e6de2dfe68da38dfe2a997c6d,4adaa80d17d70103a5be0ff936fb756ef9fe38faa7cf104721cf89f850672c98,f6491eddbb90de4844e7fd7c4ea2b4d8cb229372ddcf4343534e8dee4ab74d24,7f35c1f7f044bdd684402c350f36e3eace57044532b23904e8fb75c4879161a5,5a99cf7c8d00990443dba1f14e51c14e81ca075dbe54945a549b5d4051a5a350,6781daedf30eac79ede6d789ad7dd3eb587914b8f26f334abfb19b2d147c4c92
"psy_miyako_idle","1001","1","0","1","-200","100","119931","1","-220","1.7"
"psy_idle_normal","1002","1","1","1","1000","100","1","5","-220","1.7"
"psy_fairy_idle","1003","1","0","1","-50","105","2","5","-220","1.7"
"","1004","1","","1","0","0","11","31","1","1"
"","1005","1","","1","","1","psy_item00_run","3","","0.2"
"","1006","1","","1","2.5","-220","285","2","0",""
"","1007","2.5","","1","","","","93","",""
"","1008","1","","1","","1","psy_item00_idle","3","","0.2"
"","1009","0.5","","1","","","","93","",""
"","1010","119931","","1","","1","psy_miyako_talk1","3","","0.2"
"","1011","vo_minigame_1008","","1","0","0","vo_minigame_1008_drama_0101","21","",""
"0.5","1012","119931","0","1","1","6","おばあちゃんが買い物から\n帰ってきたら\n究極のプリンを見せて\n驚かせちゃうの！","11","0","0"
"","1013","6","","1","","","1","93","",""
"","1014","119931","0.2","1","psy_miyako_doya_loop","0","psy_miyako_doya_in","3","1","0.2"
"","1015","1012","","1","","","","91","",""
"","1016","0","","1","","","0","22","",""
"","1017","2","","1","","1","psy_fairy_talk","3","","0.2"
"","1018","vo_minigame_1008","","1","0","0","vo_minigame_1008_drama_9901","21","",""
"0.5","1019","2","0","1","1","6","キュイキュイ！","11","0","0"
"","1020","0","","1","","","","91","",""
"","1021","2","","1","","1","psy_fairy_idle","3","","0.2"
"","1022","119931","","1","","1","psy_miyako_talk2","3","","0.2"
