5ee24f56c7924f23f033dc8a36b85341125e1725ff58bfe4f39026dad7332d00,b7610f50880ebe78c891a974d6a73fcd008a1150e4d99f2bf197730d68356c42,65b5d991b0fa190f2d7e99f948d3578ee74ca7677704965ea5ea3b2d79d9612a,46331eaa124072904e61af9038ef9e5f74caf8ce66c3e22635ef6d3f70405b28,226de880d3261f88e3322438de38b30c4aeff19485f499b3e0c1fc3dfa8bb7ad,230632c68d3ff79f358724058fad27aec101d9a2b5eccb6e87e487d5517d41e9,e9ff35ee64175d0cfcb0700fdbf81a1cafc5294dd1389961fdeb1bad3be7d398,4df3a957e78e64d8cdf1b84e94bf27e027bab7cfa87070357c57fd75fed7a66b,10a5aed0fbfa689548594a8acb7e5e21a19f517408b944d149bad298247d9fa9,94be2dfd27251307272089fff5e08fb38b901ce39921ee91b4dca90d7485555c,9a7cf65d512f603dcfd45f770fd4e27588171ec46471c132ba2ee3b9cb7c1fe2,f674d203e08ad81954ce44d05b69dcd37a93c591b531d9d296652a46cbc1b4cc,01630a6f396f5d6b3c0c488feb6db77d00830b809cc28d2c79224439ab13d06b,2cb812c4d06dce3c0fdf8b52d587a1e02a86ff5f647e1da8e5a755b0fef6bfb4,f8eb173a9f70df7ef86e5fb59a08d30f73e0c62c337e2a332778edd47bc9e637,e538262c540b7320e7bb9bfb7d025e44dff31ee4d6a4d9592804132b77168ad6,90ca28c0e7968e288fcfdc77be4e264aa361ed24500a37e8c899133af9223854,cecb024fcefe5e12453f300ca387fa72d5ab81515247c566203a330895eb19eb,74a8d6b92bddd728191393d376756e34b504e308af0e745139a966c1f20a3f8f,74296957ce4c0b2ecadcb032efa1374f0689d4df585dc87a4a5e2ef37fb96ed3
"0","20","0","0","0","0","0","0","300","94","0","130011","0","0","31001","0","0","0","0","0"
"0","0","0","0","0","0","0","0","300","67","0","130041","2","6","31004","0","0","0","0","0"
"72","0","0","0","0","0","0","0","300","0","0","130061","3","3","31006","0","0","0","0","0"
"0","0","0","0","0","0","230","0","300","0","0","130071","3","13","31007","0","0","0","0","0"
"42","0","0","5","0","0","0","0","300","0","0","130101","5","6","31010","0","0","0","0","0"
"88","0","0","0","0","0","0","0","300","0","0","130121","0","1","31012","10","0","0","0","0"
"70","0","0","0","0","0","0","0","300","0","0","130141","4","3","31014","0","0","0","0","0"
"0","0","0","0","0","0","0","0","300","108","0","130161","0","0","31016","0","0","0","0","0"
"0","15","0","0","0","0","0","0","300","88","0","130201","0","0","31020","0","0","0","0","0"
"0","0","0","0","200","0","100","0","300","0","0","130211","8","8","31021","0","0","0","0","0"
"85","0","0","0","0","0","0","0","300","0","0","130221","1","0","31022","10","0","0","0","0"
"0","12","0","0","0","0","0","0","300","50","0","130231","4","6","31023","0","0","0","0","0"
"0","0","0","0","0","0","25","0","300","105","0","130281","0","0","31028","0","0","0","0","0"
"0","0","0","0","0","0","150","0","300","60","0","130321","0","2","31032","0","0","0","0","0"
"0","0","0","12","0","0","0","0","300","64","0","130341","3","0","31034","0","0","0","0","0"
"88","0","0","0","0","0","0","0","300","0","0","130361","0","0","31036","18","0","0","0","0"
"0","24","0","0","0","0","0","0","300","60","0","130371","0","0","31037","0","0","0","0","0"
"80","0","0","0","0","0","0","1","300","0","0","130441","4","0","31044","0","0","0","0","0"
"0","0","0","0","0","0","0","0","300","75","0","130481","3","3","31048","0","0","0","0","0"
"0","5","0","0","0","0","100","0","300","90","0","130511","0","0","31051","0","0","0","0","0"
"0","22","0","0","0","0","0","0","300","95","0","130571","0","0","31057","0","0","0","0","0"
"0","0","0","5","0","0","0","0","300","0","0","130581","9","10","31058","0","0","0","0","0"
"0","0","0","5","0","0","0","0","300","50","0","130591","5","5","31059","0","0","0","0","0"
"94","0","0","0","0","0","0","0","300","0","0","130601","0","0","31060","10","0","0","0","0"
"0","9","0","0","0","0","0","0","300","104","0","130611","0","0","31061","0","0","0","0","0"
"0","16","0","0","0","0","0","0","300","95","0","130631","0","0","31063","0","0","0","0","0"
"0","25","0","0","0","0","0","0","300","91","0","130641","0","0","31064","0","0","0","0","0"
"40","0","0","0","0","0","0","0","300","0","0","130771","6","6","31077","0","0","0","0","0"
"0","30","0","0","0","0","0","0","300","85","0","130791","0","0","31079","0","0","0","0","0"
"0","0","0","0","0","0","0","0","300","101","0","130801","0","0","31080","0","0","0","0","0"
