65813abd820c36dc51542e898ce62360bad4bbed71783c6c27bd26d665d7c43c,4d7b5983656e639ab7b2ddb283b62650b454b66785bf3da64c46aaa7c431f862,c5dac6d54fb14d5e666ac4b9b9dfb3e668a465e3200de9dbd77bd3808dbc5403
"2999180","1","0.07"
"2999101","2","0.07"
"2999167","3","0.07"
"2999168","4","20"
"2999169","5","40"
"2999170","6","60"
"2999171","7","80"
"2999172","8","9"
"2999173","9","27"
"2999174","10","45"
"2999175","11","63"
"2999176","12","81"
"2999182","13","4.08"
"2999102","14","0.08"
"2999103","15","0.07"
"2999102","16","0.08"
"2999184","17","0.07"
"2999183","18","0.07"
"2999185","19","0.07"
"2999186","20","20"
"2999187","21","40"
"2999188","22","60"
"2999189","23","80"
"2999104","24","20"
"2999177","25","20"
"2999105","26","40"
"2999178","27","40"
"2999106","28","60"
"2999179","29","60"
"2999190","30","0.07"
"2999107","31","15"
"2999108","32","30"
"2999109","33","45"
"2999110","34","60"
"2999111","35","75"
"2999112","36","15"
"2999113","37","30"
"2999114","38","45"
"2999115","39","60"
"2999116","40","75"
"2999117","41","0.07"
"2999118","42","0.08"
"2999119","43","0.09"
"2999120","44","0.1"
"2999120","45","0.1"
"2999120","46","0.1"
"2999101","47","0.07"
"2999101","48","0.07"
"2999101","49","0.07"
"2999121","50","4.08"
"2999122","51","4.09"
"2999123","52","4.1"
"2999124","53","4.08"
"2999125","54","4.09"
"2999126","55","4.1"
"2999127","56","0.08"
"2999127","57","0.08"
"2999127","58","0.08"
"2999128","59","0.08"
"2999128","60","0.08"
"2999128","61","0.08"
"2999192","62","0.08"
"2999129","63","0.08"
"2999129","64","0.08"
"2999129","65","0.08"
"2999132","66","0.5"
"2999132","67","0.5"
"2999132","68","0.5"
"2999133","69","0.5"
"2999133","70","0.5"
"2999133","71","0.5"
"2999191","72","1"
"2999134","73","15"
"2999135","74","30"
"2999136","75","45"
"2999137","76","60"
"2999138","77","75"
"2999139","78","15.01"
"2999140","79","30.01"
"2999141","80","45.01"
"2999142","81","60.01"
"2999143","82","75.01"
"2999144","83","15.02"
"2999145","84","30.02"
"2999146","85","45.02"
"2999147","86","60.02"
"2999148","87","75.02"
"2999149","88","15"
"2999150","89","30"
"2999151","90","45"
"2999152","91","60"
"2999153","92","75"
"2999154","93","15.01"
"2999155","94","30.01"
"2999156","95","45.01"
"2999157","96","60.01"
"2999158","97","75.01"
"2999159","98","15.02"
"2999160","99","30.02"
"2999161","100","45.02"
"2999162","101","60.02"
"2999163","102","75.02"
"2999164","103","0.07"
"2999165","104","0.08"
"2999166","105","0.09"
"2999130","106","0.08"
"2999193","107","0.07"
"2999194","108","1"
"2999195","109","30"
"2999196","110","60"
"2999197","111","15"
"2999198","112","30"
"2999199","113","45"
"2999200","114","60"
"2999201","115","75"
"2999202","116","0.07"
"2999203","117","0.08"
