58fc5f2df769d31e2c365f1cf94ee024cae9eb271b958654df23672560ef09bd,2f75eb55afb8c49c0de80fc16adb040e7b0c66c2852c18019bae9154ad837b28,5d5c213751ee844cdd63ef100a4e582a7e608aa3f6935d457c2e76abfeaa596d,8937628a872dd23bcfca60e895f683ca088789e492ea70449336cd640a973935,8acdabb024170680cb02a6c51bb8da65525b3b7302eabe950040cfb82fbcfcee,d2d5d7e909bf47aab61774c248e57443b31de0d4dfb792a906522fd4fe6eac29,866c136aee235a52c76188b2d76cbab858df21d0743b2408fe1cacffaf3b1577,d349f3ca9d138e5a09ac13d6c01b5395bc89a4f31dbaa58e7ef8082797a10486,43080e55d5e448ef1dd02416766296287c396d7018232d6933dcb57ab062089b
"10000","0","100101","1001","1","1001","0","全難易度合計で10000pt獲得しよう","100101"
"30000","0","100102","1001","1","1001","0","全難易度合計で30000pt獲得しよう","100102"
"50000","0","100103","1001","1","1001","0","全難易度合計で50000pt獲得しよう","100103"
"70000","0","100104","1001","1","1001","0","全難易度合計で70000pt獲得しよう","100104"
"90000","0","100105","1001","1","1001","1","全難易度合計で90000pt獲得しよう","100105"
"105000","0","100106","1001","1","1001","1","全難易度合計で105000pt獲得しよう","100106"
"120000","0","100107","1001","1","1001","1","全難易度合計で120000pt獲得しよう","100107"
"135000","0","100108","1001","1","1001","1","全難易度合計で135000pt獲得しよう","100108"
"0","1","100109","1001","1","1002","2","難易度NORMAL1で1回戦おう","100109"
"0","1","100110","1001","1","1003","2","難易度NORMAL2で1回戦おう","100110"
"0","1","100111","1001","1","1004","2","難易度NORMAL3で1回戦おう","100111"
"10000","1","100112","1001","1","1001","3","難易度NORMALで10000pt獲得しよう","100112"
"20000","1","100113","1001","1","1001","3","難易度NORMALで20000pt獲得しよう","100113"
"30000","1","100114","1001","1","1001","3","難易度NORMALで30000pt獲得しよう","100114"
"0","2","100115","1001","1","1002","4","難易度HARD1で1回戦おう","100115"
"0","2","100116","1001","1","1003","4","難易度HARD2で1回戦おう","100116"
"0","2","100117","1001","1","1004","4","難易度HARD3で1回戦おう","100117"
"15000","2","100118","1001","1","1001","5","難易度HARDで15000pt獲得しよう","100118"
"30000","2","100119","1001","1","1001","5","難易度HARDで30000pt獲得しよう","100119"
"45000","2","100120","1001","1","1001","5","難易度HARDで45000pt獲得しよう","100120"
"0","3","100121","1001","1","1002","6","難易度EXTRA1で1回戦おう","100121"
"0","3","100122","1001","1","1003","6","難易度EXTRA2で1回戦おう","100122"
"0","3","100123","1001","1","1004","6","難易度EXTRA3で1回戦おう","100123"
"20000","3","100124","1001","1","1001","7","難易度EXTRAで20000pt獲得しよう","100124"
"40000","3","100125","1001","1","1001","7","難易度EXTRAで40000pt獲得しよう","100125"
"60000","3","100126","1001","1","1001","7","難易度EXTRAで60000pt獲得しよう","100126"
"10000","0","100201","1002","1","1001","0","全難易度合計で10000pt獲得しよう","100201"
"30000","0","100202","1002","1","1001","0","全難易度合計で30000pt獲得しよう","100202"
"50000","0","100203","1002","1","1001","0","全難易度合計で50000pt獲得しよう","100203"
