d0ce897d32d91793faef83c3a2d7de4f4d3873e3a2b0eea5fbece9e84b925881,a7bf880997b90dfa6d0bdde06039bbee471d38a276f037abbd62d9dd4aba9635,4418ac15d3616b458f54d9e89868a8621bd6a94aaf809733759f5a732d7cf7c3
"2","1","1"
"1","2","2"
"3","3","3"
"2","4","4"
"2","5","5"
"2","6","6"
"2","7","7"
"2","8","8"
"2","9","9"
"2","10","10"
"2","11","11"
"2","12","12"
"1","13","13"
"1","14","14"
"1","15","15"
"1","16","16"
"1","17","17"
"1","18","18"
"2","19","19"
"4","20","20"
"2","21","21"
"2","22","22"
"5","23","23"
"5","24","24"
"5","25","25"
"6","26","26"
"6","27","27"
"6","28","28"
"7","29","29"
"8","30","30"
"8","31","31"
"9","32","32"
"9","33","33"
"10","34","34"
"10","35","35"
"11","36","36"
"11","37","37"
"12","38","38"
"12","39","39"
