0df39c46dc5ec345a8cf190930cfab23845ea3aa4030ff14443caf5a62af2132,547ca4e4c0bd0d6c9526a79ed6ec72305e97475b7f5cdf4a49045c346b5b724a,ff198178e28c5748559e99d219de78d6606dde8dcad1af1f190bad310f0a052d,c48d86d5b872e9e6848f57ec204c9feacb5a605c50f413092d08e2797a24c06a,043b51909a08c030fc29f59442b2128a1f69fa42f31a91c8bef055a68c63b844,07eeb4e16e93bd853228dd55d10cdb4bc9948074d2bfb9492a1125b23b68cea6,cadcf0a1c00661739bb7447ac18163c835f1b9e8f3f9a70e8a422401a9ce7d5f,bd016b2f8fbef9cb4871a65b4468ef08f579eb59feb6a0756ba21c50c4330bdb,816cfd00d716c95988c9ca9250cecdb42d94a3ad3385bfa969f7b5414c2739ef,7129950c53e865531edb965f15c9f47b5bebe6399f98003276db1fb6cf0e2937
"0","0","2019/02/15 14:59:59","0","0","0","2018/01/01 15:00:00","0","0","10001"
"1","0","2019/02/28 11:59:59","0","1001","1","2019/02/15 15:00:00","1001","1001","10002"
"1","0","2020/02/15 14:59:59","0","0","1","2019/02/28 12:00:00","1001","0","10003"
"1","1002","2020/02/29 11:59:59","0","1002","1","2020/02/15 15:00:00","1001","1002","10004"
"2","1002","2020/02/29 11:59:59","2015009","1002","2","2020/02/15 15:00:00","1002","1002","10005"
"1","0","2020/08/15 14:59:59","0","0","1","2020/02/29 12:00:00","1001","0","10006"
"2","0","2020/08/15 14:59:59","2015009","0","2","2020/02/29 12:00:00","1002","0","10007"
"1","1003","2020/08/31 11:59:59","0","0","1","2020/08/15 15:00:00","1001","0","10008"
"2","1003","2020/08/31 11:59:59","2015009","0","2","2020/08/15 15:00:00","1002","0","10009"
"1","0","2021/02/15 14:59:59","0","0","1","2020/08/31 12:00:00","1001","0","10010"
"2","0","2021/02/15 14:59:59","2015009","0","2","2020/08/31 12:00:00","1002","0","10011"
"1","1004","2021/02/28 11:59:59","0","1003","1","2021/02/15 15:00:00","1001","1003","10012"
