1c09e98c592e179e8a60fbea5c1e10e728dd356149d5000e54031179aa6cfad2,baf0112ba02edcb1ce7e5f1794cd206a45f61eb1dbb9f8aeb71254041e9febf1,dbb38053f36fd83a70089d31339985a9d2115ccd0303574d57d92ce944942554,e0129c5f000af6e8e06803308903253f3b6cfb8d7899d682cbad394096f046cc,67973ef5976cfe501dbe67cf5efe5cddf22d0d6965be1e2cf555c54ef158cce1
"1","26999","0","1","ひよっこ"
"2","26999","0","1","未熟者"
"3","26999","0","1","稚魚"
"4","26999","0","3","ビギナーランナー"
"5","26999","0","1","赤ちゃん"
"6","26999","0","1","ベイビー"
"7","26999","0","1","小物"
"8","26999","0","1","へっぽこ"
"9","26999","0","1","素人"
"10","33999","27000","1","小魚"
"11","33999","27000","1","初心者"
"12","33999","27000","3","エンジョイランナー"
"13","33999","27000","1","若輩者"
"14","33999","27000","1","ルーキー"
"15","33999","27000","1","ガール"
"16","33999","27000","1","注目株"
"17","33999","27000","1","原石"
"18","33999","27000","2","ニューホープ"
"19","50399","34000","1","探究者"
"20","50399","34000","1","暴れん坊"
"21","50399","34000","1","申し子"
"22","50399","34000","1","奇才"
"23","50399","34000","1","大物"
"24","50399","34000","1","麒麟児"
"25","50399","34000","1","ホープ"
"26","50399","34000","1","新星"
"27","50399","34000","1","逸材"
"28","59999","50400","1","マーメイド"
"29","59999","50400","1","先輩"
"30","59999","50400","1","中級者"
"31","59999","50400","3","ビーチフラッガー"
"32","59999","50400","1","魚"
"33","59999","50400","1","チーフ"
"34","59999","50400","1","キャプテン"
"35","59999","50400","1","一人前"
"36","59999","50400","1","セミプロ"
"37","59999","50400","1","大型新人"
"38","69999","60000","1","流れ星"
"39","69999","60000","1","先生"
"40","69999","60000","1","ドルフィン"
"41","69999","60000","1","職人"
"42","69999","60000","1","レーサー"
"43","69999","60000","1","トゥンヌス"
"44","69999","60000","1","中の中"
"45","69999","60000","2","ビッグネーム"
"46","69999","60000","1","異才"
"47","69999","60000","1","エリート"
"48","69999","60000","1","仕事人"
"49","69999","60000","1","玄人"
"50","83999","70000","1","オルカ"
"51","83999","70000","1","名人"
"52","83999","70000","1","魔術師"
"53","83999","70000","1","師匠"
"54","83999","70000","1","サブマリン"
"55","83999","70000","2","スプリンター"
"56","83999","70000","1","名手"
"57","83999","70000","2","エースランナー"
"58","83999","70000","1","プロ"
"59","83999","70000","1","看板選手"
"60","83999","70000","1","第一人者"
"61","83999","70000","1","ドン"
"62","99999","84000","2","スピードスター"
"63","99999","84000","1","豪傑"
"64","99999","84000","1","プリンセス"
"65","99999","84000","1","女神"
"66","99999","84000","1","マスター"
"67","99999","84000","2","ナンバーワン"
"68","99999","84000","1","寵児"
"69","99999","84000","3","ワイルドグリフォン"
"70","99999","84000","1","ワイバーン"
"71","99999","84000","2","エキスパート"
"72","99999","84000","2","トップランナー"
"73","119999","100000","1","韋駄天"
"74","119999","100000","1","クイーン"
"75","119999","100000","2","チャンピオン"
"76","119999","100000","2","天才ランナー"
"77","119999","100000","3","レコードホルダー"
"78","119999","100000","1","極致"
"79","119999","100000","2","ネプテリオン"
"80","119999","100000","2","シードレイク"
"81","119999","100000","1","女傑"
"82","119999","100000","1","革命家"
"83","119999","100000","2","ビッグスター"
"84","999999","120000","2","ファンタジスタ"
"85","999999","120000","2","スーパースター"
"86","999999","120000","3","ワールドチャンプ"
"87","999999","120000","1","レジェンド"
"88","999999","120000","1","超人"
"89","999999","120000","1","トルペドン"
"90","999999","120000","1","カルキノス"
"91","999999","120000","2","アクアリオス"
"92","999999","120000","1","至宝"
"93","999999","120000","3","グランドマスター"
"94","999999","120000","1","英雄"
"95","999999","120000","1","天下取り"
