1c2378607aa1bb792c00c008819c372b5a3969d1e2cf3993bd9d5e3ade08212f,76c9937ad1687c1e16ebae596ac3cc3a49d19406bf392594a86d92fc0d91919e,0d8af769a1ce5483b5fb61710747365ad7984f84ace3a6c583de9cf60199dde3,d613f30f40f0aaf321060348eb8eb99a477d344624b5f184b43662a6be097042,3ec6e6119289ad442be37080a05ac58186aadfdf4c64b22803ad09ffa38c3b24,a6185e7b53d62ae2481e95f4a152f7a912ca00df47c3e912c9bddb14cf9aeeda,90d1d3e08c4589472c2766bd5c7494145da9d27c47f2b42fd2f898938d33fcba,0e5d3a4bb089041ccb02e8dce4118655ec054a4a81e1d350e3c0cfe34fff1743,eaef1b1a30aab53dc19ae1af2ba73952f60fdfc421a31ab3d7b0695d1606aecd,f1adccabe79161b562a41bacb4a074c8ffea53cd7d292877f1a55ac9b12fd3ff,394117cfaaafc24e8d3e860a574e6a5d4b92e4168b0395a1a417786a180a6086,3251fc520ad3a44d0d2aa0ad83aa396cb9e50eac5cc9562022fdee5fadd1813c,f5d1df91496516e819465b31254e9c53c53100f4aa2a9a8bd0a024744f9ce22c,9113da2eba227538910597a27680c149a5cf214a2f58c66f5cafcd7e7f520da8,fdc49bae5dd296a68b091b4aa7f067749703f38d65e4c8682131f8a1d8d21614
"ミヤコ’s キッチン","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"プリンにしてやるの","0","0","0","102","48","0","0","0","0","2","0","0","0","0"
"幽霊よりも怖いもの？","0","0","0","152","96","0","0","0","0","3","0","0","0","0"
"宴はプリン作りとともに","0","0","0","142","144","0","0","0","0","4","0","0","0","0"
"愛はプリンのために","0","0","0","127","168","0","0","0","0","5","0","0","0","0"
"ちょびっと成長？","0","0","0","107","192","0","0","0","0","6","0","0","0","0"
"キュッキュ～！","0","0","0","0","240","0","0","0","0","7","0","0","0","0"
"３人のかわいい手下","0","0","0","153","0","0","0","0","0","8","0","154","155","20"
"変な趣味なの","0","0","0","150","0","0","0","0","0","9","0","157","0","40"
"入れるな危険なの","0","0","0","125","0","0","0","0","0","10","0","161","0","50"
"レシピなの？","0","0","0","116","0","0","0","0","0","11","0","135","0","60"
