350c2736ffd8ff2be936dd9a83336a11b966f198ff44a08272bdd5e65a999602,ea052cb414c4010a9c1b454c5e40201f50adad384f47c8365f7cadc02f5a8d87,f6e42491ffd45fddb15491b5e8f6f6f99b782f35c736bfe874f105fb977246b0,3503863126a6fbed898c6b87e96011e5d4a55272f6c916ab7af8b7809e7fa8d7,2c2a6744a5b2421f0b0f2369320b6ce4d9ef0a65d68695fea7d24ba141eea90c,c6f304f9098abc4b223d35127cd7b5f155d8622ec2877cc90877cbca628d997f,ba5e5398feeb3a81175b35dc924d94d297de8a331fc1bb309ef892791096b8fb,f0c94135a20f189b98990741fce85056e0049410f45ae3b20da12445a838b6f0,634db7cced186011310f63e87a5f09e5a5e60b3c23cc1a9c34fccb64b0d228a5,1e8a477c1dc52c04e7549c0be34a8af1b55c07989d14e9b41f3d3821d6ef7b69,754234af306326a46f376b4e05cad0e62b1b1fa2d5f4a4c3e24f5e5abd836053
"20011","42","101","1","105811","1","1","travel_topdrama_r_2000_idle_smile","0.8","1200110001","-68"
"20011","-42","102","0","106011","1","1","travel_topdrama_r_2000_idle_sad_shy","0.8","1200110002","-68"
"20011","0","110","0","0","5","0","mana","1","1200110003","-75"
"20011","","","","","91","0","","","1200110004",""
"20011","","","","0","93","10","","","1200110005",""
"20011","","","","","101","1200110005","","","1200110006",""
"20011","","0","","none","3","0","","0","1200110007",""
"20011","","","","","91","0","","","1200110008",""
"20012","","","","103","13","105811","","","1200120001",""
"20012","","","","104","13","106011","","","1200120002",""
"20012","travel_topdrama_r_2000_talk_smile_loop","0","","travel_topdrama_r_2000_talk_smile_in","3","105811","","0.2","1200120003","1"
"20012","0","0","","vo_travel_talk_20001_00","21","vo_travel_talk","","","1200120004",""
"20012","1","10","0","キャルちゃんも冒険、楽しんでますか？\n調味料ならたっぷりありますし、新種の\n魔物を見かけたら教えてくださいね♪","11","105811","0","0","1200120005","1"
"20012","","","","","91","0","","","1200120006",""
"20012","","1","","travel_topdrama_r_2000_idle_smile","3","105811","","0.2","1200120007",""
"20012","","1","","travel_topdrama_r_2000_talk_anger_shy","3","106011","","0.2","1200120008","1"
"20012","0","0","","vo_travel_talk_20001_01","21","vo_travel_talk","","","1200120009",""
"20012","1","10","0","あんたね、なにもかも間違ってるわよ！\n探すのはお宝だし、魔物は食材じゃ\nないんだってば！","11","106011","0","0","1200120010","1"
"20012","","","","","91","0","","","1200120011",""
"20012","","1","","travel_topdrama_r_2000_idle_sad_shy","3","106011","","0.2","1200120012",""
"20012","travel_topdrama_r_2000_talk_smile_loop","0","","travel_topdrama_r_2000_talk_smile_in","3","105811","","0.2","1200120013","1"
"20012","0","0","","vo_travel_talk_20001_02","21","vo_travel_talk","","","1200120014",""
