3eb6701b9e772b78a061e9195415fb2e70d70cdbb63e8c743415201b069772e9,82373d723cd7a1edcdccba4e09deba37c1c79bb0136681d4e603b9c659577993,a9f59a8cc01dc0aa595db9e5cedfde2fff0a8665f44bdd36185c50ede0fa5d8d,01631f1cc479fe3437f5b6fa69b385471075b9a7cab6401aec8cf57dc941b980,43854f14759e6a8310172a59c2c89a595fc068940b3d57f7086c5d893f13ec1b,0d0295b43f90faa0b7fcc6134c0bc709a33c367941020da085bc02c44cb52c0c,02beaafccc4cb0fb55e887f9ba675dcb02d3b8b76655f857661798d3ce1ea720,81649b30d21d42c27132ee6ed9d0c2119d5fd1dd250779be8de01a77a17d89e7,08f01107d2569b2b2aef33bc1882899a50e59426a9c695d54b90d4b08d621190,05fcc5f2a7568babd8c753ef8f17566c2795b78321ef12844f8076dbdd881636,bd2a84c5616a892c2333a0d9c203536af161093e43d093e51ae109eee743636f,8d84b0d1640a459eda2d334c7f0b71fcf84dc386662de2194c9f82f69e513f00,01da25887ce0d819e78d861ce7196b156aab112197b0b7bc979ce6d9b25910ec,98ee88ce60b6be80d601578394a3954831744fdfaf03bf7a8e0331ecd5a3d1cd,f19e9ab17af554ac74dddae70c87eb176ccdc496e446bbdec65f5e501110fcff,c3693f1d7d6d12d2f5114b54df759a1b48d2ef0a111a96709f5600063444254d,cf4c7a59309463525b63a4320efd803cb1e6122dfd81276299009f30d8c929fc
"50","0","50","4","0","0","0","25202","0","150001","0","2","6","2","25204","1","5"
"40","0","50","4","100","0","0","25202","25011","150001","2","2","9","2","25204","1","20"
"30","0","50","4","0","0","0","25202","0","150002","0","2","12","2","25204","1","25"
"20","2","20","2","50","25011","500","25202","150002","25206","4","2","15","2","25204","1","30"
"50","0","50","4","0","0","0","25202","0","150001","0","2","6","2","25204","2","5"
"40","0","50","4","100","0","0","25202","25012","150001","2","2","9","2","25204","2","20"
"30","0","50","4","0","0","0","25202","0","150002","0","2","12","2","25204","2","25"
"20","2","20","2","50","25012","500","25202","150002","25206","4","2","15","2","25204","2","30"
"50","0","50","4","0","0","0","25202","0","150001","0","2","6","2","25204","3","5"
"40","0","50","4","100","0","0","25202","25013","150001","2","2","9","2","25204","3","20"
"30","0","50","4","0","0","0","25202","0","150002","0","2","12","2","25204","3","25"
"20","2","20","2","50","25013","500","25202","150002","25206","4","2","15","2","25204","3","30"
"50","0","50","4","0","0","0","25202","0","150001","0","2","6","2","25204","4","5"
"40","0","50","4","100","0","0","25202","25014","150001","2","2","9","2","25204","4","20"
"30","0","50","4","0","0","0","25202","0","150002","0","2","12","2","25204","4","25"
"20","2","20","2","50","25014","500","25202","150002","25206","4","2","15","2","25204","4","30"
"50","0","50","4","0","0","0","25202","0","150001","0","2","6","2","25204","5","5"
"40","0","50","4","100","0","0","25202","25015","150001","2","2","9","2","25204","5","20"
"30","0","50","4","0","0","0","25202","0","150002","0","2","12","2","25204","5","25"
"20","2","20","2","50","25015","500","25202","150002","25206","4","2","15","2","25204","5","30"
