baad7eac042b6bf3f61f3c46d15489fc25188d491a32fe5278009ed15a404ed5,e8abb6ef193c5e68bc0a45ba6b9b3c076cf8a577adaaf818363aa32ee9935f28,7f9b973aa6916b02be003ea12e98f68e4079533900db02039a0550b196dbc11b,b6e78b26f275837ad25aad191294900fe8a2f2dd01ddde79dd05c91179c5f51d,27a0e39e87a8192b3f22a268f01571986ec515230b5dd7a42addfe4f40358776
"12","1","3000000","94002","100101"
"2","2","300","20004","100101"
"2","3","1000","90008","100102"
"2","4","6","25001","100103"
"12","5","1000000","94002","100104"
"2","6","300","20004","100104"
"2","7","1000","90008","100105"
"2","8","6","25001","100106"
"8","9","40","91002","100107"
"12","10","1000000","94002","100107"
"2","11","300","20004","100107"
"2","12","1000","90008","100108"
"2","13","1","41000","100109"
"2","14","7","25001","100109"
"12","15","1000000","94002","100110"
"2","16","400","20004","100110"
"2","17","1500","90008","100111"
"8","18","40","91002","100112"
"2","19","7","25001","100112"
"12","20","1000000","94002","100113"
"2","21","400","20004","100113"
"2","22","1500","90008","100114"
"2","23","1","41000","100115"
"2","24","7","25001","100115"
"12","25","1000000","94002","100116"
"2","26","500","20004","100116"
"8","27","40","91002","100117"
"2","28","1500","90008","100117"
"12","29","2000000","94002","100118"
"2","30","8","25001","100118"
"2","31","2000","90008","100118"
"12","32","3000000","94002","100201"
"2","33","300","20004","100201"
"2","34","1000","90008","100202"
"2","35","12","25001","100203"
"12","36","1000000","94002","100204"
"2","37","300","20004","100204"
"2","38","1000","90008","100205"
"2","39","10","25001","100206"
"8","40","40","91002","100207"
"12","41","1000000","94002","100207"
"2","42","300","20004","100207"
"2","43","1000","90008","100208"
"2","44","1","41000","100209"
"2","45","10","25001","100209"
"12","46","1000000","94002","100210"
"2","47","400","20004","100210"
"2","48","1500","90008","100211"
"8","49","40","91002","100212"
"2","50","9","25001","100212"
"12","51","1000000","94002","100213"
"2","52","400","20004","100213"
"2","53","1500","90008","100214"
"2","54","1","41000","100215"
"12","55","1000000","94002","100216"
"2","56","500","20004","100216"
"8","57","40","91002","100217"
"2","58","1500","90008","100217"
"12","59","2000000","94002","100218"
"2","60","2000","90008","100218"
"12","61","3000000","94002","100301"
"2","62","300","20004","100301"
"2","63","1000","90008","100302"
"2","64","12","25001","100303"
"12","65","1000000","94002","100304"
