b6c9c6ea2547600bb0949f72ae41911b69b3b7c0f647edad7379715ccd25ce68,5d4ac71bfa14d3866d3755fabd771bce049d977c7cad3405553e06538f7a4c2d,1897f74d9d631777f678a55b46bcae7637beb9f7d345a6bf10b6bb74c60cdf5f,1c69753e35ec8fa73ac1d64f5c5683f525a0ae03397e4dc2851771ae7f8d0c5c,2ea67f9166aca499a34967b0d8c47785eb49150ea49ac3f144403c96fe92bf9e,bbb68984d50647c226895a7fe9bae1ad767b08fb53a6e406212a8aa82fc90642,daf164ae6d5829c392e0230d31bda10878339c1f00b179fa30c0e1e76e186071,551d6725973855fb8889bbe8f59456deef1225a890ba1fd58439d62ae19671e9,a3aa56e40cc865f6b81f6ddfb7eb16f374e3f6486b22ed80482c5192230cc771
"0","10","30000","12000","10000","90001","1","90043","1"
"0","20","30000","24000","10000","90002","2","90047","2"
"0","20","30000","24000","10000","90002","3","90047","3"
"0","20","30000","24000","10000","90002","4","90047","4"
"0","20","30000","24000","10000","90002","5","90047","5"
"0","20","30000","24000","10000","90002","6","90047","6"
"0","20","30000","24000","10000","90002","7","90047","7"
"0","20","30000","24000","10000","90002","8","90047","8"
"0","20","30000","24000","10000","90002","9","90047","9"
"0","20","30000","24000","10000","90002","10","90047","10"
"90011","40","30000","48000","10000","90003","11","90051","11"
"90011","40","30000","48000","10000","90003","12","90051","12"
"90011","40","30000","48000","10000","90003","13","90051","13"
"90011","40","30000","48000","10000","90003","14","90051","14"
"90011","40","30000","48000","10000","90003","15","90051","15"
"90011","40","30000","48000","10000","90003","16","90051","16"
"90011","40","30000","48000","10000","90003","17","90051","17"
"90011","40","30000","48000","10000","90003","18","90051","18"
"90011","40","30000","48000","10000","90003","19","90051","19"
"90011","40","30000","48000","10000","90003","20","90051","20"
"90015","60","30000","72000","10000","90004","21","90055","21"
"90015","60","30000","72000","10000","90004","22","90055","22"
"90015","60","30000","72000","10000","90004","23","90055","23"
"90015","60","30000","72000","10000","90004","24","90055","24"
"90015","60","30000","72000","10000","90004","25","90055","25"
"90015","60","30000","72000","10000","90004","26","90055","26"
"90015","60","30000","72000","10000","90004","27","90055","27"
"90015","60","30000","72000","10000","90004","28","90055","28"
"90015","60","30000","72000","10000","90004","29","90055","29"
"90015","60","30000","72000","10000","90004","30","90055","30"
"90015","80","30000","96000","10000","90005","31","90059","31"
"90015","80","30000","96000","10000","90005","32","90059","32"
"90015","80","30000","96000","10000","90005","33","90059","33"
"90015","80","30000","96000","10000","90005","34","90059","34"
"90015","80","30000","96000","10000","90005","35","90059","35"
"90015","80","30000","96000","10000","90005","36","90059","36"
"90015","80","30000","96000","10000","90005","37","90059","37"
"90015","80","30000","96000","10000","90005","38","90059","38"
"90015","80","30000","96000","10000","90005","39","90059","39"
"90015","80","30000","96000","10000","90005","40","90059","40"
"90017","120","30000","144000","10000","90005","41","90063","41"
"90017","120","30000","144000","10000","90005","42","90063","42"
"90017","120","30000","144000","10000","90005","43","90063","43"
"90017","120","30000","144000","10000","90005","44","90063","44"
"90017","120","30000","144000","10000","90005","45","90063","45"
"90017","120","30000","144000","10000","90005","46","90063","46"
"90017","120","30000","144000","10000","90005","47","90063","47"
"90017","120","30000","144000","10000","90005","48","90063","48"
"90017","120","30000","144000","10000","90005","49","90063","49"
"90017","120","30000","144000","10000","90005","50","90063","50"
"90019","150","30000","180000","10000","90006","51","90067","51"
"90019","150","30000","180000","10000","90006","52","90067","52"
"90019","150","30000","180000","10000","90006","53","90067","53"
"90019","150","30000","180000","10000","90006","54","90067","54"
"90019","150","30000","180000","10000","90006","55","90067","55"
"90019","150","30000","180000","10000","90006","56","90067","56"
"90019","150","30000","180000","10000","90006","57","90067","57"
"90019","150","30000","180000","10000","90006","58","90067","58"
"90019","150","30000","180000","10000","90006","59","90067","59"
"90019","150","30000","180000","10000","90006","60","90067","60"
"90021","180","30000","216000","10000","90007","61","90071","61"
"90021","180","30000","216000","10000","90007","62","90071","62"
"90021","180","30000","216000","10000","90007","63","90071","63"
"90021","180","30000","216000","10000","90007","64","90071","64"
"90021","180","30000","216000","10000","90007","65","90071","65"
"90021","180","30000","216000","10000","90007","66","90071","66"
"90021","180","30000","216000","10000","90007","67","90071","67"
"90021","180","30000","216000","10000","90007","68","90071","68"
"90021","180","30000","216000","10000","90007","69","90071","69"
"90021","180","30000","216000","10000","90007","70","90071","70"
