e209a10d3bd843113ffaabdd389beb1f337fbf2920a5d5252cf9e5afe71ca0a7,4a30afb5f54d3e8a5c33043a55edbf5b12bc34265360d448d7f7ddc2e5e80da9,5df0eed02b81c6052519ba13fee1eef2303e4027c455b6da6a3e3aec712e6279,5df0fd1e64ea367227e964791c2d4d812ef3c1a3ec25c4c6a68c37bd4d3eefd7,fe843597b215c79b0104b72c4b4aa9dab6e7fd4845df3f5e32e84c708506643a,bf5a55dec761328583c437bc7ce28b2db48e57ae1f9bdd052dc86e53a001b042,66a4afca0efcb4e4102a9844fa22d5e86b873a2e8da5d90437276d44a7bcb7fb,263046820464ac81b7cef25d8411edac4d5ce4dad1350f8f92c64aa59cf55836,0e8c024f3323b5aef520882ffa102c3c2e46c1d86161d9b86c3fe95c26f5dc02,e7f537bef1169fff820aa862c0f2089559dd316aceee42a2d7e55195730ae70b,ca0f309c3097591cb218fb2e899172d99c8c339968a87a63058e25542053c07f,31ca23fc3ca9964d2e66f4f1f6cd387468bd564c7c130cb648b5f911639b83ed,8b2502abda53aed4f36ebe6eb05a7cb6f9be372fc7f88cca097cf3ad914c33eb,93047e16a00c80bd33d1c324b49ff38bf080ed66fce87dcb006cdc5a5b65e641,a1971dcb562f85c582f472b1094b8b341fa167dab47ccec3e8cf181551ebf439,ed7fd79ded091c3497dd826dbcce47e5bf794760e8a1029cbe1919e68c33e0e9,caa96aa754d1e0389d26df3a2f9557036adb1efd8eb904e1e348b250fdc21c0a,135c5616c891401cbc901253659f646d4f8a03db741c72ef35e3e7eafc05b7ab,ad33867486f3ad2da44110b0148ab058db710e39bf8f15a5f9e605bd8573e97a,cfdbb049e18a3cdc156052d086567d67110be25836be458ca88e16582184f10e,bc6f02618534acc49cf7717785783fea6449bc852ba81e34848ba0d6db6b945b
"EnemyA","NONE","1000","NONE","600","0","JumpOverTrap","1000","0","AccelBoardA","3100","2500","NONE","SpeedTerritoryA","NONE","0","0","NONE","EnemyD","0","1800"
"EnemyC","NONE","1001","NONE","500","0","AccelBoardA","800","0","AccelBoardA","3000","2000","NONE","WholeCake","NONE","0","0","NONE","SpeedTerritoryA","0","1300"
"Balloon","NONE","1002","NONE","400","0","TrapA_NoCall","1000","0","EnemyA_NoColl","2000","1600","NONE","EnemyB_NoColl","NONE","0","0","NONE","SpeedTerritoryA_NoColl","0","1300"
"JumpOverTrap","NONE","1003","NONE","700","0","AccelBoardA","1500","0","AccelBoardA","3300","3000","NONE","JumpOverTrap","NONE","0","0","NONE","EnemyB","0","2300"
"JumpOverTrap","NONE","1004","NONE","800","0","NONE","1300","0","EnemyA","0","2700","NONE","SpeedTerritoryA","NONE","0","0","NONE","JumpOverTrap","0","1900"
"JumpBoard","NONE","1005","NONE","300","0","EnemyC","1500","0","JumpOverEnemyC","3300","2600","NONE","AccelBoardA","NONE","0","0","NONE","SpeedTerritoryA","0","2000"
"EnemyA","TrapA","1006","NONE","700","3700","AccelBoardA","1300","0","TrapA","3000","2500","NONE","JumpOverTrap","NONE","0","0","NONE","TrapA","0","1800"
"AccelBoardA","NONE","1007","NONE","500","0","JumpOverTrap","1300","0","EnemyC","3100","2400","NONE","EnemyC","NONE","0","0","NONE","JumpOverTrap","0","1800"
"AccelBoardA","EnemyC","1008","NONE","500","3700","JumpOverTrap","1100","0","JumpBoard","3400","2700","NONE","AccelBoardA","NONE","0","0","NONE","EnemyC","0","2300"
"Balloon","SpeedTerritoryA","1009","NONE","400","3700","JumpOverTrap","1000","0","TrapA_NoCall","3300","2900","NONE","JumpOverTrap","NONE","0","0","NONE","EnemyA_NoColl","0","2000"
"JumpOverTrap","NONE","1010","NONE","400","0","JumpOverTrap","1400","0","SpeedTerritoryA","3500","3000","NONE","EnemyB","NONE","0","0","NONE","JumpOverTrap","0","2200"
"EnemyH","AccelBoardA","1011","NONE","400","3300","EnemyA","900","0","SpeedTerritoryA","2800","2400","NONE","JumpOverTrap","NONE","0","0","NONE","JumpBoard","0","1500"
"Balloon","NONE","1012","NONE","300","0","EnemyB","1200","0","SpeedTerritoryA_NoColl","3750","2850","NONE","JumpBoard","NONE","0","0","NONE","SpeedTerritoryA_NoColl","0","2200"
"SpeedTerritoryA","NONE","1013","NONE","900","0","TrapA","1400","0","AccelBoardA","3300","2600","NONE","EnemyH","NONE","0","0","NONE","TrapA","0","2100"
"WholeCake","AccelBoardA","1014","NONE","400","3000","JumpOverTrap","1400","0","SpeedTerritoryA","2600","2200","JumpOverEnemyB","JumpOverEnemyB","NONE","0","3500","NONE","TrapA","0","1800"
"Balloon","NONE","1015","NONE","600","0","EnemyC","1100","0","EnemyA_NoColl","3700","2500","NONE","TrapA_NoCall","NONE","0","0","NONE","SpeedTerritoryA_NoColl","0","1900"
"AccelBoardA","NONE","1016","NONE","600","0","NONE","1400","0","EnemyB","0","3300","NONE","TrapA","NONE","0","0","NONE","AccelBoardA","0","2300"
"AccelBoardA","NONE","1017","NONE","400","0","TrapA","1200","0","EnemyB","3300","2500","NONE","AccelBoardA","NONE","0","0","NONE","WholeCake","0","1600"
"TrapA","EnemyB_NoColl","1018","NONE","600","2900","EnemyA_NoColl","900","0","TrapA","2400","1900","NONE","EnemyB_NoColl","NONE","0","0","NONE","Balloon","0","1100"
"TrapA","TrapA","1019","NONE","500","3800","AccelBoardA","1200","0","TrapA","3000","2500","NONE","EnemyA","NONE","0","0","NONE","TrapA","0","2000"
"AccelBoardA","EnemyH","1020","NONE","400","3100","TrapA","900","0","JumpBoard","2700","2300","EnemyH","TrapA","NONE","0","3700","NONE","TrapA","0","1900"
"EnemyB","NONE","1021","NONE","400","0","AccelBoardA","700","0","Balloon","3400","2400","NONE","TrapA_NoCall","NONE","0","0","NONE","EnemyA_NoColl","0","1550"
"EnemyC","NONE","1022","NONE","800","0","SpeedTerritoryA","1200","0","TrapA","3400","2500","NONE","AccelBoardA","NONE","0","0","NONE","TrapA","0","1800"
"EnemyD","TrapA","1023","NONE","500","3500","TrapA","1000","0","TrapA","3000","2000","NONE","WholeCake","NONE","0","0","NONE","JumpOverEnemyC","0","1500"
"EnemyC","TrapA","1024","NONE","400","3200","EnemyB_NoColl","600","0","Balloon","2300","1800","JumpOverEnemyC","SpeedTerritoryA_NoColl","NONE","0","3700","NONE","EnemyA_NoColl","0","1300"
"EnemyB","NONE","1025","NONE","900","0","AccelBoardA","1300","0","AccelBoardA","3400","2700","NONE","AccelBoardA","NONE","0","0","NONE","AccelBoardA","0","2000"
"EnemyB","NONE","1026","NONE","400","0","NONE","800","0","AccelBoardA","0","2500","NONE","JumpBoard","NONE","0","0","NONE","WholeCake","0","1500"
"SpeedTerritoryA","JumpBoard","1027","NONE","400","3100","EnemyA_NoColl","630","0","TrapA","2600","1700","NONE","EnemyB_NoColl","NONE","0","0","NONE","Balloon","0","700"
"SpeedTerritoryA","NONE","1028","NONE","600","0","AccelBoardA","1400","0","AccelBoardA","3200","2700","NONE","TrapA","NONE","0","0","NONE","EnemyH","0","2300"
"EnemyD","NONE","1029","NONE","500","0","NONE","1000","0","TrapA","0","2500","NONE","WarpGateA","NONE","0","0","NONE","SpeedTerritoryA","0","1700"
"WholeCake","SpeedTerritoryA","1030","NONE","500","3500","TrapA","1500","0","AccelBoardA","2800","2500","NONE","TrapA","NONE","0","0","NONE","AccelBoardA","0","2000"
"Balloon","AccelBoardA","1031","NONE","350","3500","EnemyH","1200","0","SpeedTerritoryA_NoColl","3200","2900","NONE","TrapA","NONE","0","0","NONE","SpeedTerritoryA_NoColl","0","2200"
"AccelBoardA","NONE","1032","NONE","700","0","NONE","1500","0","EnemyA","0","0","NONE","NONE","NONE","0","0","NONE","EnemyA","0","3000"
"TrapA","NONE","1033","NONE","700","0","NONE","1400","0","AccelBoardA","0","3100","NONE","SpeedTerritoryA","NONE","0","0","NONE","EnemyA","0","2200"
"TrapA","SpeedTerritoryB","1034","NONE","500","3500","JumpOverEnemyA","1000","0","JumpOverTrap","3000","2500","NONE","JumpOverEnemyD","NONE","0","0","NONE","JumpOverEnemyC","0","2000"
"JumpOverTrap","TrapA_NoCall","1035","NONE","400","2700","EnemyB_NoColl","800","0","EnemyD","2300","1500","EnemyB_NoColl","Balloon","NONE","0","3100","NONE","TrapA","0","1200"
"AccelBoardA","NONE","1036","NONE","500","0","NONE","1200","0","SpeedTerritoryA","0","0","NONE","NONE","NONE","0","0","NONE","TrapA","0","2700"
"EnemyH","NONE","1037","NONE","500","0","NONE","1000","0","AccelBoardA","0","3000","NONE","AccelBoardA","NONE","0","0","NONE","TrapA","0","2000"
"SpeedTerritoryB","AccelBoardA","1038","NONE","500","3500","AccelBoardA","1000","0","WholeCake","3000","2700","NONE","EnemyB","NONE","0","0","NONE","AccelBoardA","0","2200"
"SpeedTerritoryA","NONE","1039","NONE","800","0","NONE","1700","0","TrapA","3100","2400","NONE","NONE","NONE","0","0","NONE","WarpGateA","0","2500"
"EnemyB","NONE","1040","NONE","500","0","WarpGateA","1000","0","EnemyD","2500","1800","NONE","JumpOverEnemyA","NONE","0","0","NONE","JumpOverEnemyA","0","1400"
"TrapA","NONE","1041","NONE","1000","0","AccelBoardA","1500","0","TrapA","3300","2800","NONE","EnemyD","NONE","0","0","NONE","AccelBoardA","0","2000"
"TrapA","AccelBoardA","1042","NONE","500","3300","JumpOverEnemyA","900","0","TrapA","2700","1800","NONE","WholeCake","NONE","0","0","NONE","AccelBoardA","0","1300"
"AccelBoardA","NONE","1043","NONE","500","0","TrapA","1100","0","EnemyC","2700","2200","NONE","EnemyD","NONE","0","0","NONE","AccelBoardA","0","1500"
"AccelBoardA","NONE","1044","NONE","500","0","NONE","1400","0","EnemyC","0","3300","NONE","SpeedTerritoryB","NONE","0","0","NONE","JumpBoard","0","2300"
"EnemyB","NONE","1045","NONE","1280","0","NONE","1900","0","AccelBoardA","0","2700","NONE","AccelBoardA","NONE","0","0","NONE","AccelBoardA","0","2300"
"AccelBoardA","NONE","1046","NONE","400","0","JumpBoard","900","0","AccelBoardA","2500","2000","NONE","EnemyB","NONE","0","0","NONE","AccelBoardA","0","1300"
"SpeedTerritoryB","NONE","1047","NONE","700","0","NONE","1500","0","AccelBoardA","0","0","NONE","NONE","NONE","0","0","NONE","WarpGateA","0","2400"
"EnemyH","NONE","1048","NONE","550","0","NONE","1600","0","AccelBoardA","0","3100","NONE","TrapA","NONE","0","0","NONE","TrapA","0","2500"
