87f22c4f83eb306fdd9f3d5d25ebd02d2af8c41c722a128308d3fa4bec7db0e1,37fd5f57b7ba695ce4c7710c5bfa88b0c814f201dcab1051ca752d11698efbf6,77256439dd3625a29c5fad4815b65db8ab6a12b53179654f5dbc0b7ba5a68b0c,e6fb838b8840c675e3e376c70568c8098d5159e44735e11d45e2391ed0ceeab3,bcdee6ba7cc669e244f314974a3f494ce871f8f439f60ae48e0b88c6323972b1,3bb79b6a0c0bb37d76f763cb18b60134256560daa865e3184a9c650785d92533,54dc62b122da45362985f41887b07e3cecd01a5371910845449a6843495fda09,87f512f521935a7714db16449fa6d5af3ac552f4f21f84afb3bf8a210fdf9765,77973ee788f0d07008442e3576e71d435569e919fbfe78af201786a12aebe9b4,a5df53e1bfd9983594614dbf25d275aaf23b7d4f980f1543fc5080648bcca976,663099c1319e683393788b187065df4681a4d317467aae8d037ca648ef312cf9,a644dcb878c3fd002c1cdb1a62ed511fb266ad88a7f1cbe964708b166d07b7dc,0ab553debb5df258cab8b0acf7b252539aa0f835c847895ab8ddaf09414471d2
"0","11120101","0","0","1","1201","0","vo_minigame_1012_correct_107","8","1","0","8","それでいいのよ！"
"0","11120102","0","0","1","1201","0","vo_minigame_1012_correct_108","8","1","0","8","うん、OK！"
"0","11120103","0","0","1","1201","0","vo_minigame_1012_correct_109","1","1","0","1","いい調子ね！"
"0","11120201","-1","13333","1","1202","0","vo_minigame_1012_correct_115","1","1","0","1","じっくりでいいわ！"
"0","11120202","-1","13333","1","1202","0","vo_minigame_1012_correct_117","9","1","0","9","正解すりゃいいのよ！"
"0","11120301","0","0","1","1203","0","vo_minigame_1012_correct_118","1","1","0","1","すごいわね！"
"0","11120302","0","0","1","1203","8","vo_minigame_1012_correct_119","5","1","0.01","5","これ分かるの！？"
"0","11120401","0","0","1","1204","0","vo_minigame_1012_correct_125","1","1","0","1","これは大丈夫ね！"
"0","11120501","0","0","1","1205","4","vo_minigame_1012_correct_123","7","1","0.01","7","復習バッチリね！"
"0","11120601","-1","3","1","1206","0","vo_minigame_1012_correct_128","8","1","0","8","連続で正解よ！"
"0","11120701","-1","3","1","1207","0","vo_minigame_1012_correct_131","2","1","0","2","巻き返すわよ！"
"0","11130101","0","0","1","1301","0","vo_minigame_1012_incorrect_107","2","1","0","2","切り替えて！"
"0","11130102","0","0","1","1301","0","vo_minigame_1012_incorrect_108","9","1","0","9","こんなこともあるわ！"
"0","11130103","0","0","1","1301","0","vo_minigame_1012_incorrect_109","4","1","0","4","それじゃダメよ！"
"0","11130201","-1","20000","1","1302","0","vo_minigame_1012_incorrect_116","4","1","0","4","タイムアップよ！"
"0","11130202","-1","20000","1","1302","0","vo_minigame_1012_incorrect_117","5","1","0","5","いや答えなさいよ！"
"0","11130301","0","0","1","1303","6","vo_minigame_1012_incorrect_118","3","1","0.01","3","難しいわね…"
"0","11130302","0","0","1","1303","0","vo_minigame_1012_incorrect_119","4","1","0","4","難易度高すぎね…"
"0","11130401","0","0","1","1304","0","vo_minigame_1012_incorrect_123","2","1","0","2","忘れちゃダメよ？"
"0","11130501","0","0","1","1305","0","vo_minigame_1012_incorrect_126","1","1","0","1","全部が間違いじゃないわ！"
"1","11300101","10","10","1","3001","4","vo_minigame_1012_result_1000","8","1","3.18","7","フフ、全問正解よ！\nちゃんと勉強してるみたいで\n感心だわ♪"
"1","11300102","10","10","1","3001","10","vo_minigame_1012_result_1001","7","1","3.33","8","すごいじゃない…全問正解よ！\nま、当然といや当然よね～\nだってあたしが\n教えてやってんだから♪"
"1","11300103","10","10","1","3001","10","vo_minigame_1012_result_1002","1","1","5.41","8","全問正解！　パチパチパチ～♪\nこの難易度はもう完璧じゃない？\n次はもっと難しい問題に挑戦よ！\nあんたならできるって！"
"2","11300104","10","10","1","3001","10","vo_minigame_1012_result_1003","8","1","8.11","5","へえ…難しい問題を選んだのに\n全問正解できてるじゃない！！\nちょっとあんたすごすぎだわ…！\nパーフェクトよパーフェクト！"
"2","11300105","10","10","1","3001","0","vo_minigame_1012_result_1004","5","1","1.31","10","まる…まる…全部まる！\n難しい問題なのに全問正解よ…！\n驚いた…あんたいつの間に、\nこんなに勉強してたのよ！"
"2","11300106","10","10","1","3001","0","vo_minigame_1012_result_1005","8","1","4.93","9","ここまで完璧に正解されちゃうと\nちょっと悔しいわね…！\nけど素直に褒めてやるわ！\nえらい、えらい、えら～い！"
"3","11300107","10","10","1","3001","4","vo_minigame_1012_result_1006","8","1","2.99","5","すごい…あんたパーフェクトよ！\nこのままいけば次の試験、\n学年一位も夢じゃないかもね！\n楽しみだわ～♪"
"3","11300108","10","10","1","3001","4","vo_minigame_1012_result_1007","7","1","8.37","8","満点よ！　フフ、もうあんたに\n教えることはなにもないわ…！\n逆にあたしがあんたに教わりたい\nくらいよ！　…ね、先生♪"
"3","11300109","10","10","1","3001","8","vo_minigame_1012_result_1008","5","1","5.32","7","全・問・正・解！\n超難問揃いなのにすごいわね…！\nもしかしてだけど、\nあんたって天才！？"
"1","11300110","9","7","1","3001","4","vo_minigame_1012_result_1009","1","1","4.77","7","お、かなりいい点数ね～！\nあたしも教えがいがあるわ♪\nさ、まだまだ勉強するわよ！"
"1","11300111","9","7","1","3001","4","vo_minigame_1012_result_1010","7","1","2.97","8","うん、いい感じで点取れてるわ！\nこの調子で次は、\n満点を見せてほしいわね！"
"1","11300112","9","7","1","3001","0","vo_minigame_1012_result_1011","1","1","3.47","5","あ～惜しい！\nもうちょっとで満点じゃない！\n次はパーフェクトいけるわ！\n頑張りましょ！"
"2","11300113","9","7","1","3001","4","vo_minigame_1012_result_1012","7","1","5.32","8","すごい、かなりできてるわよ！\n難しい問題なのにやるじゃない！\nあとは目指せ、満点ね！"
"2","11300114","9","7","1","3001","10","vo_minigame_1012_result_1013","7","1","6.49","8","うん、かなりいい感じよ！\nあんたには赤点の心配なんて\nまーったくなさそうね♪\nでも勉強はやめさせないけど！"
