ebf024577cde390b1c0cc2b6ae101022e75e292b168f1795ee640228660f13ea,48a2444ea92049f584d67c1d1678f536f5d062c81dabb0edcd72ce8eca6c4ee5,2b336b917622cd09d7e3e5055716194f74308b80ae59aa560461dd156eaedf9c,fc184a51623963166f4c13db33de44de79b0f88105155f1c252c4e8b0c8857bf,c8d22ea59065e5f9017ef04aa80b6697ee6380ab811b6afef3dd8e256b2316bd,cdd84fe562fd46c68d69c39f81d0f270d43287796d7d01d3d15207bd3bf19fe4,245a18693ea836cbe1593e5a2b811d4a6b97dc9fd79704da4c975ee8ae3282e5,47c552408311639ee7abed71338f6e97d432e2bb3b45757499dd2b190e768a03
"170","-90","71","182","1","-401","1","1"
"170","-90","81","182","2","-401","2","1"
"255","90","121","182","3","-255","3","1"
"255","90","131","182","4","-255","4","1"
"255","90","141","182","5","-255","5","1"
"229","-80","191","176","6","-107","6","1"
"229","-80","201","176","7","-107","7","1"
"218","-85","271","151","8","136","8","1"
"218","-85","281","151","9","136","9","1"
"218","-85","291","151","10","136","10","1"
"156","80","331","219","11","280","11","1"
"156","80","341","219","12","280","12","1"
"156","80","351","219","13","280","13","1"
"213","-97","401","183","14","417","14","1"
"213","-97","411","183","15","417","15","1"
"242","-73","451","229","1","-259","2","2"
"226","124","481","179","2","-222","4","2"
"219","-67","501","192","3","-101","6","2"
"168","-27","521","190","4","-26","8","2"
"192","-50","551","260","5","117","11","2"
"159","120","601","138","6","241","14","2"
"159","120","611","138","7","241","14","2"
"224","-71","621","229","8","243","14","2"
"71","32","781","43","1","-353","1","3"
"235","-30","801","268","2","-228","2","3"
"80","144","831","45","3","-243","3","3"
"221","-76","851","225","4","20","4","3"
"211","-74","861","222","5","230","5","3"
"115","44","891","136","6","-100","6","3"
"115","44","901","136","7","-100","7","3"
"306","76","991","250","8","116","8","3"
"306","76","1001","250","9","116","9","3"
"306","76","1011","250","10","116","10","3"
"96","40","1041","188","11","322","11","3"
"96","40","1051","188","12","322","12","3"
"294","-6","1091","272","1","-211","1","4"
"92","129","1101","115","2","-288","2","4"
"92","129","1111","115","3","-288","3","4"
"135","128","1121","174","4","-58","4","4"
"222","133","1151","184","5","143","5","4"
"134","-129","1161","98","6","-277","6","4"
"134","-129","1171","98","7","-277","7","4"
"67","-12","1211","70","8","-60","8","4"
"67","-12","1221","70","9","-60","9","4"
"132","-55","1231","185","10","116","10","4"
"93","-103","1261","89","11","-17","11","4"
"93","-103","1271","89","12","-17","12","4"
"150","23","1311","239","13","232","13","4"
"114","-161","1391","72","1","-289","1","5"
"114","-161","1401","72","2","-289","2","5"
"228","80","1411","248","3","-261","3","5"
"223","-91","1431","211","4","-103","4","5"
"186","95","1471","181","5","-87","5","5"
"132","-122","1551","176","6","69","6","5"
"132","-122","1561","176","7","69","7","5"
"143","91","1611","184","8","54","8","5"
"211","45","1641","247","9","204","9","5"
"137","141","1651","167","10","308","10","5"
"175","-46","1661","174","11","282","11","5"
"222","-11","1741","240","1","-252","1","6"
"311","-96","1761","245","2","-19","2","6"
"261","95","1771","221","3","-46","3","6"
"166","83","1781","237","4","152","4","6"
"183","-100","1782","229","5","227","5","6"
"223","-46","1811","183","1","-249","1","7"
"337","54","1881","247","2","-159","2","7"
"202","-70","1921","191","3","30","3","7"
"176","0","1941","215","4","173","4","7"
"204","77","1981","236","5","292","5","7"
"209","89","2001","254","1","-472","1","8"
"250","-77","2031","282","2","-375","2","8"
"241","110","2051","223","3","-280","3","8"
"243","-85","2101","270","4","-148","4","8"
"274","74","2131","264","5","3","5","8"
"321","-36","2171","302","6","155","6","8"
"199","82","2201","277","7","283","7","8"
"349","0","2271","344","8","374","8","8"
"240","-30","2321","301","1","-275","1","9"
"106","-115","2361","108","2","-132","2","9"
"106","-115","2371","108","3","-132","3","9"
"202","32","2381","246","4","-73","4","9"
"114","-140","2411","84","5","-43","5","9"
"114","-140","2421","84","6","-43","6","9"
"86","65","2461","84","7","50","8","9"
"86","65","2471","84","8","50","9","9"
"185","-110","2481","137","9","80","10","9"
"185","-110","2491","137","10","80","11","9"
"301","24","2521","377","11","131","7","9"
"190","-50","2531","305","12","280","12","9"
"123","-137","2601","145","1","-527","3","10"
"123","-137","2611","145","2","-527","4","10"
"408","35","2621","295","3","-379","1","10"
"171","103","2622","192","4","-299","2","10"
"342","-64","2623","244","5","-138","6","10"
"224","9","2701","254","6","-47","5","10"
"253","-88","2781","204","7","131","8","10"
"110","23","2791","139","8","89","9","10"
"110","23","2801","139","9","89","10","10"
"292","42","2811","249","10","275","7","10"
"126","-120","2821","151","11","274","11","10"
"126","-120","2831","151","12","274","12","10"
"276","-17","2841","316","13","448","13","10"
"158","-87","2901","203","1","-292","1","11"
"256","123","3011","187","2","-224","2","11"
"144","-80","3031","225","3","-65","3","11"
"149","-84","3111","214","4","80","4","11"
"201","112","3131","194","5","227","5","11"
"161","-111","3141","111","6","159","6","11"
"161","-111","3151","111","7","159","7","11"
"166","-80","3171","209","8","307","8","11"
"364","-106","3211","206","1","-185","3","12"
"160","34","3221","277","2","-304","1","12"
"249","45","3231","275","3","-107","2","12"
"167","-46","3321","233","4","31","5","12"
"174","-122","3381","130","5","135","7","12"
"174","-122","3391","130","6","135","8","12"
"244","101","3431","223","7","127","4","12"
"235","-24","3441","246","8","254","6","12"
"167","-114","3461","156","9","303","9","12"
"167","-114","3471","156","10","303","10","12"
"108","152","3491","94","11","338","11","12"
"108","152","3501","94","12","338","12","12"
"210","-48","3531","270","1","-286","3","13"
"92","144","3541","103","2","-310","2","13"
"228","-90","3551","219","3","-152","3","13"
"94","99","3561","103","4","-148","4","13"
"110","-157","3571","71","5","-12","5","13"
"209","-2","3581","274","6","-5","1","13"
"219","-72","3691","292","7","141","6","13"
"88","143","3701","104","8","146","7","13"
"160","131","3741","135","9","299","8","13"
"160","131","3751","135","10","299","9","13"
"179","-82","3791","268","11","301","10","13"
"197","6","3801","286","1","-470","2","14"
"134","-123","3811","89","2","-520","3","14"
"204","103","3821","236","3","-369","1","14"
"176","-74","3861","241","4","-283","5","14"
"156","-83","3891","236","5","-151","6","14"
"219","108","3911","226","6","-174","4","14"
"107","-130","3921","96","7","-51","10","14"
"179","50","3931","251","8","-5","9","14"
"113","-106","3941","102","9","100","11","14"
"242","-41","3951","317","10","268","12","14"
"209","79","3961","240","11","138","7","14"
"209","79","3971","240","12","138","8","14"
"125","-125","4021","93","13","441","14","14"
"219","22","4031","279","14","485","13","14"
