b457a607227f8821315df14117cfa565f3f753bcb337f2b686c610c8234a00a5,5fb551488f71c40a112ec504a1d465e5bfe948d1b87287878864ea1550954668,419ce2c8893e165257ca1638038bad02022391755cfd3842541d90b732b75d0b,4fc38f8f85ca464a4dc2c849db9681d036b5284142967d30d6c188b43078800d,6e5605b29d8dd87d0c54259e5bd38548ec7cd5641d29e8a54a846994a4f3ea31,97c0e67f0f88bfec2ad541051dfc88c2f4a1c9025275c7cc7adb336fbaae3563,8cbd9b3e1e8e508600a1c1ad8f399489be871ed6e3fd4f511af991013fccbf47,5df667f3dcb2a5b6b68ecb0a85ec729ffa7551dda5472bf9596a374dab8b6a2b,f7f2093d2c2a997baf6f4f9bb9961bad322a8f7d2d04b3eeab60534f0863ac88,fe49fefd627d01feef852b05d5f5a664e4c7a841f88804c873907570993328f8,45abe4ea1724bbab1d5494e4b2f63e9209d079f0fbc85ed755f07762f35d7596,010f3398028d249eed7f365c6b1e8baa5cda42ef9b5f1ca55ef60b2f00fe4c1b,dccbc610c3de069077ad0abb67bb2544caa65ea9b15a1db491ebc04ee1a560bb,49480f00450ab3287e5273bfd5b5c6c7dac42af1be04745eb6ff3d975219f3fd
"ミッションをクリアすると、\n報酬がもらえますよ！\n頑張ってください","10038001","1","53","0","10038","190801","-416.5","2","2020/04/18 14:59:59","1","カリン","2020/03/31 12:00:00","3.414"
"ミッションをクリアして、\n報酬をゲットしましょう！","10038002","1","53","0","10038","190801","-416.5","2","2020/04/18 14:59:59","2","カリン","2020/03/31 12:00:00","3.099"
"受け取ることができる\n報酬があるようです\n確認してみてください","10038003","1","54","0","10038","190801","-416.5","2","2020/04/18 14:59:59","3","カリン","2020/03/31 12:00:00","2.801"
"報酬がもらえますよ！\nチェックしてみてください","10038004","2","54","0","10038","190801","-416.5","2","2020/04/18 14:59:59","4","カリン","2020/03/31 12:00:00","0"
"イベントお疲れ様です！\n皆さんのご活躍ぶりには\nいつも感謝しています","10038005","1","57","0","10038","190801","-416.5","1","2020/04/18 14:59:59","5","カリン","2020/03/31 12:00:00","0"
"ギルド管理協会です！\n討伐証をお持ちでしたら、\n報酬交換できますよ","10038006","1","55","0","10038","190801","-363","2","2020/04/18 14:59:59","1","カリン","2020/03/31 12:00:00","5.506"
"お疲れ様です！\nここでは、討伐証と報酬を\n交換することができます！","10038007","2","55","0","10038","190801","-363","1","2020/04/18 14:59:59","2","カリン","2020/03/31 12:00:00","1.216"
"お疲れ様でした\n討伐証の交換、\nお忘れないように！","10038008","2","56","0","10038","190801","-363","1","2020/04/18 14:59:59","3","カリン","2020/03/31 12:00:00","1.539"
"終わっちゃいましたねー\n討伐証は努力の証！\n報酬と交換しましょう！","10038009","2","56","0","10038","190801","-363","1","2020/04/18 14:59:59","4","カリン","2020/03/31 12:00:00","1.875"
"","10038101","1","51","8","10038","110901","-285","7","2020/04/18 14:59:59","101","チエル","2020/03/31 12:00:00","9.376"
"","10038102","1","51","8","10038","110801","-285","7","2020/04/18 14:59:59","201","クロエ","2020/03/31 12:00:00","11.12"
"","10038103","1","51","8","10038","111001","-285","4","2020/04/18 14:59:59","301","ユニ","2020/03/31 12:00:00","15.936"
"","10038104","1","51","8","10038","110901","-285","3","2020/04/18 14:59:59","102","チエル","2020/03/31 12:00:00","8.78"
"","10038105","1","51","8","10038","110801","-285","6","2020/04/18 14:59:59","202","クロエ","2020/03/31 12:00:00","9.573"
"","10038106","1","51","8","10038","111001","-285","1","2020/04/18 14:59:59","302","ユニ","2020/03/31 12:00:00","0"
"","10038107","1","51","8","10038","110901","-285","2","2020/04/18 14:59:59","103","チエル","2020/03/31 12:00:00","12.005"
"","10038108","2","51","8","10038","110801","-285","1","2020/04/18 14:59:59","203","クロエ","2020/03/31 12:00:00","5.22"
"","10038109","1","51","8","10038","111001","-285","4","2020/04/18 14:59:59","303","ユニ","2020/03/31 12:00:00","6.41"
"","10038110","4","52","8","10038","110901","-285","1","2020/04/18 14:59:59","104","チエル","2020/03/31 12:00:00","10.08"
"","10038111","7","52","8","10038","110801","-285","3","2020/04/18 14:59:59","204","クロエ","2020/03/31 12:00:00","9.208"
"","10038112","1","52","8","10038","111001","-285","1","2020/04/18 14:59:59","304","ユニ","2020/03/31 12:00:00","0"
"","10038113","4","52","8","10038","110901","-285","4","2020/04/18 14:59:59","105","チエル","2020/03/31 12:00:00","0"
"","10038114","1","52","8","10038","110801","-285","2","2020/04/18 14:59:59","205","クロエ","2020/03/31 12:00:00","10.982"
