b8b0397a45b264743a35978ae984f520a5dce9049030db8399b70a08a3fe2cc5,5ac4e157a66f25d12b30c42134245859da6b0f64dc2c0ec4f9ac4864117b1740,1912cec6e2637c5549bc68931ea1117d6adb05a2a46af1c86748c9e830cfdb7b,5ec18146a0ecd48dd2ff7362dc059c11d33ef4d75e1f1a5c4cdcc15ce45b309b,69c5358a939789dc47f46ad972624cc0bf6f63fda8d5a80fc3e5f061c8878926,4da62a4c508497685e2029e871f9ae603705addeee320b1e65b2b32940bf59ba,7c465c612d6e4d0aee66a113b3e7345345a6431dfe9fd2e705b2c08f4f766327,93ece7c2fbe876766fd324b8becda62493eae510c4d05f0774ca54e79427325a,85fdd304de33f6fa2b7d9063f647111f7a5e0e28ec87d26d7fed89d2362ef5cf
"3","1","3","4101","★を累計3個獲得しよう","1001","0","100101","100000001"
"6","2","6","4101","★を累計6個獲得しよう","1001","0","100102","100000002"
"9","3","9","4101","★を累計9個獲得しよう","1001","1","100103","100000003"
"12","4","12","4101","★を累計12個獲得しよう","1001","0","100104","100000004"
"15","5","15","4101","★を累計15個獲得しよう","1001","0","100105","100000005"
"18","6","18","4101","★を累計18個獲得しよう","1001","0","100106","100000006"
"21","7","21","4101","★を累計21個獲得しよう","1001","1","100107","100000007"
"24","8","24","4101","★を累計24個獲得しよう","1001","0","100108","100000008"
"27","9","27","4101","★を累計27個獲得しよう","1001","1","100109","100000009"
"30","10","30","4101","★を累計30個獲得しよう","1001","0","100110","100000010"
"33","11","33","4101","★を累計33個獲得しよう","1001","0","100111","100000011"
"36","12","36","4101","★を累計36個獲得しよう","1001","1","100112","100000012"
"39","13","39","4101","★を累計39個獲得しよう","1001","0","100113","100000013"
"42","14","42","4101","★を累計42個獲得しよう","1001","0","100114","100000014"
"45","15","45","4101","★を累計45個獲得しよう","1001","1","100115","100000015"
"48","16","48","4101","★を累計48個獲得しよう","1001","0","100116","100000016"
"51","17","51","4101","★を累計51個獲得しよう","1001","1","100117","100000017"
"54","18","54","4101","★を累計54個獲得しよう","1001","0","100118","100000018"
"3","1","3","4101","★を累計3個獲得しよう","1002","0","100201","100200001"
"6","2","6","4101","★を累計6個獲得しよう","1002","0","100202","100200002"
"9","3","9","4101","★を累計9個獲得しよう","1002","1","100203","100200003"
"12","4","12","4101","★を累計12個獲得しよう","1002","0","100204","100200004"
"15","5","15","4101","★を累計15個獲得しよう","1002","0","100205","100200005"
"18","6","18","4101","★を累計18個獲得しよう","1002","0","100206","100200006"
"21","7","21","4101","★を累計21個獲得しよう","1002","1","100207","100200007"
"24","8","24","4101","★を累計24個獲得しよう","1002","0","100208","100200008"
"27","9","27","4101","★を累計27個獲得しよう","1002","1","100209","100200009"
"30","10","30","4101","★を累計30個獲得しよう","1002","0","100210","100200010"
"33","11","33","4101","★を累計33個獲得しよう","1002","0","100211","100200011"
"36","12","36","4101","★を累計36個獲得しよう","1002","1","100212","100200012"
"39","13","39","4101","★を累計39個獲得しよう","1002","0","100213","100200013"
"42","14","42","4101","★を累計42個獲得しよう","1002","0","100214","100200014"
