0c2f1884a3336dcdf5bb8600eb99d0b8b439acca6078c205cdaeb7ae9b662701,f64dfe604c77ffbb93aaafc53f38e8dc8d1901c8ea0bcc15d570b8728d45e0df,18f6ea5e81b8acc6aa3951678a9bfc5fe2937ed3cbeefb0cc327713f08302201,84917fa1ec9e11debfd04beb3b95afd60cab46b044d49f0fb5845f6308b88f76
"スロウ","1","1","8"
"ヘイスト","2","2","8"
"麻痺","3","3","8"
"凍結","4","4","8"
"束縛","5","5","8"
"睡眠","6","6","8"
"スタン","7","7","8"
"石化","8","8","8"
"拘留","9","9","8"
"拘留(ダメージ)","10","0","9"
"毒","11","1","9"
"火傷","12","2","9"
"呪い","13","3","9"
"魅了","14","0","11"
"暗闇","15","-1","12"
"沈黙","16","-1","13"
"即死","17","-1","30"
"ノックバック","18","-1","3"
"混乱","19","1","11"
"猛毒","20","4","9"
"千里眼","21","-1","56"
"回復阻害","22","-1","59"
"恐慌","23","0","61"
"刻印付与","24","-1","60"
"畏怖","25","-1","62"
"トナカイ化","26","-1","69"
"気絶","27","10","8"
"呪詛","28","5","9"
"ＨＰ変化","29","-1","70"
"時間停止","30","11","8"
"ＨＰ回復量減少","31","-1","76"
"弱体被ダメージ上昇","32","-1","78"
"行動時毒ダメージ","33","1","79"
"スタン（別枠）","34","14","8"
"毒（別枠）","35","7","9"
"呪い（別枠）","36","8","9"
"混乱（別枠）","37","2","11"
"結晶化","38","13","8"
"スロウ(加算可能)","39","1","83"
"ヘイスト(加算可能)","40","2","83"
"バフ消去","41","3","49"
"バリア消去","42","10","49"
"黒炎","43","9","9"
"ヘイストフィールド","44","2","99"
"スロウフィールド","45","1","99"
"バフ消去（指定）","46","20","49"
"殴り刻印（攻撃ヒット）","47","5","101"
"行動時界雷ダメージ","48","10","79"
"状態異常時間延長","49","9","112"
"執着状態","50","1","116"
"アラクネ拘束","51","15","117"
"操糸","52","3","11"
"絶怠霊度","53","11","9"
"割合ダメージ","54","-1","46"
"遮絶の操糸","55","1","61"
