e75211ac30e3d0a6474986e6d50cc430b667e14051c85baccec930f31f2ef743,1e70caef1dcd5bcf10d22e699d13fe429d862e1bf3bde85b8a612ddd60bbccb8,8dac5b4003396bc2d79ab94554b17a3f382dd7e57c29d4df99472263fe16dec5,905916bb0210159e5863068caa974abefcf46dbd361a5bef599ede25f25e91f8,efc0229154b03aac32f988961b8ef311fa09ee427e5df9ebe3184fea41fda01b,7a2341af162b07b755f0e8c5dd0267c2c3d455d5bef7a6e72492f4c56c3dc121
"1","10101001","1","58002001","15","1001"
"2","10101002","1","58002002","15","1002"
"3","10101003","1","58002003","15","1003"
"4","10201001","1","56011001","15","1001"
"5","10201002","1","56011002","15","1002"
"6","10201003","1","56011003","15","1003"
"7","91002","50","56011003","8","0"
"8","10201004","1","56011004","15","1001"
"9","10201005","1","56011005","15","1002"
"10","10201006","1","56011006","15","1003"
"11","91002","50","56011006","8","0"
"12","10201007","1","56011007","15","1001"
"13","10201008","1","56011008","15","1002"
"14","10201009","1","56011009","15","1003"
"15","91002","50","56011009","8","0"
"16","10201010","1","56011010","15","1001"
"17","10201011","1","56011011","15","1002"
"18","10201012","1","56011012","15","1003"
"19","91002","50","56011012","8","0"
"20","10201013","1","56011013","15","1001"
"21","10201014","1","56011014","15","1002"
"22","10201015","1","56011015","15","1003"
"23","91002","50","56011015","8","0"
"24","10201016","1","56011016","15","1001"
"25","10201017","1","56011017","15","1002"
"26","10201018","1","56011018","15","1003"
"27","91002","50","56011018","8","0"
"28","10201019","1","56011019","15","1001"
"29","10201020","1","56011020","15","1002"
"30","10201021","1","56011021","15","1003"
"31","91002","50","56011021","8","0"
"32","10201022","1","56011022","15","1001"
"33","10201023","1","56011023","15","1002"
"34","10201024","1","56011024","15","1003"
"35","91002","50","56011024","8","0"
"36","10201025","1","56011025","15","1001"
"37","10201026","1","56011026","15","1002"
"38","10201027","1","56011027","15","1003"
"39","91002","50","56011027","8","0"
"40","10201028","1","56011028","15","1001"
"41","10201029","1","56011029","15","1002"
"42","10201030","1","56011030","15","1003"
"43","91002","50","56011030","8","0"
"44","10201031","1","56011031","15","1001"
"45","10201032","1","56011032","15","1002"
"46","10201033","1","56011033","15","1003"
"47","91002","50","56011033","8","0"
"48","10201034","1","56011034","15","1001"
"49","10201035","1","56011035","15","1002"
"50","10201036","1","56011036","15","1003"
"51","91002","50","56011036","8","0"
"52","10201037","1","56011037","15","1001"
"53","10201038","1","56011038","15","1002"
"54","10201039","1","56011039","15","1003"
"55","91002","50","56011039","8","0"
"56","10201040","1","56011040","15","1001"
"57","10201041","1","56011041","15","1002"
"58","10201042","1","56011042","15","1003"
"59","91002","50","56011042","8","0"
"60","10201043","1","56011043","15","1001"
"61","10201044","1","56011044","15","1002"
"62","10201045","1","56011045","15","1003"
"63","91002","50","56011045","8","0"
"64","10201046","1","56011046","15","1001"
"65","10201047","1","56011047","15","1002"
"66","10201048","1","56011048","15","1003"
"67","91002","50","56011048","8","0"
"68","10201049","1","56011049","15","1001"
"69","10201050","1","56011050","15","1002"
"70","10201051","1","56011051","15","1003"
