b85184b081971cc8d419ec10865c1c9a9185e322e91820311bb46f555fd974e7,9aa0198a8c4f8f06d913987026c9d8912c350136c4c60f67d523f490d2295d3e,a6db57ac5eed8ac3d0e733deed99a18e52bf426629271304ea1665c84049a607,07a7a78e90025c6ec755b71abfcf7b339b08041785f92ccf44f61346952ad935,f9217d40d68b8f666426d9e1fd2168239611d9a8e76dbf693816ea4e807c8742,3d1c480c5f1f86c8ff9703bfdc60b1ad10ffc83bc68d3387176cb8415b59386a,2fe242ea660e7a8aaa0d0c4069480d3d7a91231f169d51c9c9cf1b210f71b8a4,92dac12f8f0d9d2025359f044eda07adcf689d86a2b137b39de0ce9f7258c552,0882c77c91061246851f7682ba30f429d7345d0dfa44b5042ae28b2423ac0a97,46e09d98680c8b26f2f35da54ef17aa2717724f8d85e10a1c209537970457b4e,47b6b104092ce904f189fcb1b4a18f21d5b14ee7714c9c71e4cb1088eea4a16e,cdf01f6fc28ae6d05b760b8fc439d4c290e766400798282ef6a383974b86ee51,0a5274f494b7cef10567736eda46c21acf2941208e7db78bdf6a7abcbbb38087,5e7e6470e82a0b8eea6ccadd427b4e240359de419bc1c6aa9c9a7dcf8b0495d8,c4a910537c5ac499a9f2f7c3f21c91358033e3f78bdd2f8181e8d7c48a7cab40
"キャル","0","たまには\n協力するのもいいんじゃない？\nあたしも手を貸してあげる","1","1","2030/12/17 14:59:59","7","0","1","0","106001","-363","7001","2015/12/17 15:00:00","0"
"コッコロ","0","多くの方と協力して\n戦えるようです\n主さまなら、さぞ\nご活躍なさることでしょう","1","1","2030/12/17 14:59:59","7","0","1","0","105901","-363","7002","2015/12/17 15:00:00","0"
"ペコリーヌ","0","たくさんの人と一緒に\n協力バトルです！\nがんばりましょう☆","1","1","2030/12/17 14:59:59","7","0","1","0","105801","-363","7003","2015/12/17 15:00:00","0"
"ペコリーヌ","0","ジュエルを食べ物…\nいえ、貴重品と交換できます！","1","1","2030/12/17 14:59:59","10","0","1","0","105801","-363","10001","2015/12/17 15:00:00","0"
"キャル","0","ジュエルはよく考えて\n使うことね\n無駄遣い厳禁！","1","1","2030/12/17 14:59:59","10","0","1","0","106001","-363","10002","2015/12/17 15:00:00","0"
"コッコロ","0","主さまのジュエルで\n貴重な品々を購入できます\nですが、無駄遣いは\n『めっ』でございますよ","1","1","2030/12/17 14:59:59","10","0","1","0","105901","-363","10003","2015/12/17 15:00:00","0"
"シェフィ","0","ジュエルがあれば\n貴重品と交換できるみたい\n大事に使いましょうね","1","1","2030/12/17 14:59:59","10","0","2","0","106401","-363","10004","2015/12/17 15:00:00","2104010"
"ペコリーヌ","0","特定の条件を達成すると\n報酬がもらえますよ！\nがんばりましょう♪　","1","1","2030/12/17 14:59:59","12","0","1","0","105801","-416.5","12001","2015/12/17 15:00:00","0"
"キャル","0","思い出が詰まってるって\nいろいろあったけど\n振り返るのもいいんじゃない？","1","1","2030/12/17 14:59:59","13","0","1","0","106001","-363","13001","2015/12/17 15:00:00","0"
"コッコロ","0","主さまとの楽しい日々…\nこちらで何度でも\n思い返しましょう♪","1","1","2030/12/17 14:59:59","13","0","1","0","105901","-363","13002","2015/12/17 15:00:00","0"
"シェフィ","0","みんなとの大切な思い出が\nたくさん詰まってるのね\n一緒に振り返って、\n心に刻みたいわ","1","1","2030/12/17 14:59:59","13","0","2","0","106401","-363","13003","2015/12/17 15:00:00","2104010"
"ペコリーヌ","0","女の子との思い出が\nたくさん見られますよ！\nヒューヒュー♪\nモテモテですねー☆","1","1","2030/12/17 14:59:59","13","0","1","0","105801","-363","13004","2015/12/17 15:00:00","0"
"コッコロ","0","育成に必要なアイテムが\n獲得できるクエストです\nわたくし、主さまのために、\n強くなりますよ","1","1","2030/12/17 14:59:59","14","0","1","0","105901","-363","14001","2015/12/17 15:00:00","0"
"シェフィ","0","このクエストを攻略すると、\nアイテムが手に入るらしいわ。\nもっと強くなるために、\n一生懸命がんばるわね！","1","1","2030/12/17 14:59:59","14","0","2","0","106401","-363","14002","2015/12/17 15:00:00","2104010"
"ペコリーヌ","0","このクエストを攻略すれば、\nアイテムがもらえますよ\nたくさん集めて、どんどん\n強くなっちゃいましょう！","1","1","2030/12/17 14:59:59","14","0","1","0","105801","-363","14003","2015/12/17 15:00:00","0"
"キャル","0","クエストを攻略すると、\nアイテムが手に入るんだって\nもらえるものは、\nもらっておきましょ！","1","1","2030/12/17 14:59:59","14","0","1","0","106001","-363","14004","2015/12/17 15:00:00","0"
"コッコロ","0","主さま、旅の準備を整えて\nより充実した冒険をいたし\nましょう","1","1","2030/12/17 14:59:59","15","0","1","0","105901","-470","15001","2015/12/17 15:00:00","0"
"シェフィ","0","ねぇ…クランに加入してみない？\n一人も楽しいけど、みんなと\n一緒も賑やかでいいと思うの","1","1","2030/12/17 14:59:59","16","0","2","0","106401","-363","16001","2015/12/17 15:00:00","2104010"
"ペコリーヌ","0","クランに加入してみませんか？\nみんなといっしょに冒険した方が、\n楽しいですよ！","1","1","2030/12/17 14:59:59","16","0","1","0","105801","-363","16002","2015/12/17 15:00:00","0"
"キャル","0","クランに入れるらしいわよ\nせっかくだから入ってみたら？\nけっこう楽しいみたいよ♪","1","1","2030/12/17 14:59:59","16","0","1","0","106001","-363","16003","2015/12/17 15:00:00","0"
"コッコロ","0","こちらでクランに加入できます\n素敵なクランがたくさんあって、\n目移りしてしまいますね","1","1","2030/12/17 14:59:59","16","0","1","0","105901","-363","16004","2015/12/17 15:00:00","0"
"コッコロ","0"," こちらではクランバトルに\n 参加された仲間のみなさんの\n 活躍を振り返ることができます","1","1","2030/12/17 14:59:59","17","0","1","0","105901","-363","17002","2015/12/17 15:00:00","0"
"キャル","0","模擬戦の戦績もアンタが\n気に入ったものがあれば\n記録しておけるのね","1","1","2030/12/17 14:59:59","25","0","1","0","106001","-363","17004","2015/12/17 15:00:00","0"
"コッコロ","0","主さま、今回のクランバトルでの\nご活躍が記録されています\nバトルの参考にいたしましょう","1","1","2030/12/17 14:59:59","25","0","1","0","105901","-363","17005","2015/12/17 15:00:00","0"
"シェフィ","0","今回のクランバトルの調子は\nどうかしら？\n戦績を見れば、次のバトルに\n活かせるかもしれないわ","1","1","2030/12/17 14:59:59","25","0","2","0","106401","-363","17006","2015/12/17 15:00:00","2104010"
"ペコリーヌ","0","今回のクランバトルでの戦績を\nおさらいできますよ！\n私にも見せてください☆","1","1","2030/12/17 14:59:59","25","0","1","0","105801","-363","17007","2015/12/17 15:00:00","0"
"カリン","0","ようこそ！\nこちらでは、\nギルドハウスで流れる音楽の\n変更や購入が出来ますよ","1","1","2030/12/17 14:59:59","18","0","1","0","190801","-363","18001","2015/12/17 15:00:00","0"
"カリン","0","ＢＧＭの変更や購入は、こちらから\nできますよ\n素敵な音楽を、たくさんご用意\nいたしました！","1","2","2030/12/17 14:59:59","18","0","1","0","190801","-363","18002","2015/12/17 15:00:00","0"
"カリン","0","ギルドハウスの\nＢＧＭを変更できますよ\nあなたの好きな曲、\n私にも聴かせてくださいね","1","3","2030/12/17 14:59:59","19","0","1","0","190801","-470","19001","2015/12/17 15:00:00","0"
"カリン","0","こちらでは、ＢＧＭの変更が\nできますよ\nどんな曲に変更しますか？\nふふふ、私も楽しみです♪","1","4","2030/12/17 14:59:59","19","0","1","0","190801","-470","19002","2015/12/17 15:00:00","0"
"カリン","0","こちらでは、ＢＧＭを購入\nすることができますよ\n試聴することもできるので、\nじっくり選んでくださいね","1","5","2030/12/17 14:59:59","20","0","1","0","190801","-470","20001","2015/12/17 15:00:00","0"
"カリン","0","いらっしゃいませ！\nＢＧＭの購入はこちらです\n素敵な曲がたくさんあって、\n目移りしちゃいますね","1","6","2030/12/17 14:59:59","20","0","1","0","190801","-470","20002","2015/12/17 15:00:00","0"
"キャル","0","ここで手に入れたアイテムで\n専用装備を作成できるみたいね\nアイテムが集まったら\nさっそく作ってみましょ！","1","1","2030/12/17 14:59:59","21","0","1","0","106001","-363","21001","2015/12/17 15:00:00","0"
"コッコロ","0","攻略すると珍しいアイテムが\n手に入りますよ\nこのアイテムで専用装備を\n作成できるようです","1","1","2030/12/17 14:59:59","21","0","1","0","105901","-363","21002","2015/12/17 15:00:00","0"
