05fecd4aef1f18bb4196787e828893a6becde9a0603bc679ff8052fd38030dee,2954ae5b7d71203cd9c27fac29f37428d79ce5c9adc4458073d578c5a6b6ae08,54810803e123caac44349056a8fe6f7d5bc158aa98302f3a0641e36c3137c6d0,eb1215c3239f920ac115b0964528cee4ff6034df6e760ea6f992a5d799242689,c22c2348ef407119b08da2b813b44d218b4700802ea359daf4ea7377707d8d8e
"1","ひよっこ","1","0","26999"
"2","未熟者","1","0","26999"
"3","稚魚","1","0","26999"
"4","ビギナーランナー","3","0","26999"
"5","赤ちゃん","1","0","26999"
"6","ベイビー","1","0","26999"
"7","小物","1","0","26999"
"8","へっぽこ","1","0","26999"
"9","素人","1","0","26999"
"10","小魚","1","27000","33999"
"11","初心者","1","27000","33999"
"12","エンジョイランナー","3","27000","33999"
"13","若輩者","1","27000","33999"
"14","ルーキー","1","27000","33999"
"15","ガール","1","27000","33999"
"16","注目株","1","27000","33999"
"17","原石","1","27000","33999"
"18","ニューホープ","2","27000","33999"
"19","探究者","1","34000","50399"
"20","暴れん坊","1","34000","50399"
"21","申し子","1","34000","50399"
"22","奇才","1","34000","50399"
"23","大物","1","34000","50399"
"24","麒麟児","1","34000","50399"
"25","ホープ","1","34000","50399"
"26","新星","1","34000","50399"
"27","逸材","1","34000","50399"
"28","マーメイド","1","50400","59999"
"29","先輩","1","50400","59999"
"30","中級者","1","50400","59999"
"31","ビーチフラッガー","3","50400","59999"
"32","魚","1","50400","59999"
"33","チーフ","1","50400","59999"
"34","キャプテン","1","50400","59999"
"35","一人前","1","50400","59999"
"36","セミプロ","1","50400","59999"
"37","大型新人","1","50400","59999"
"38","流れ星","1","60000","69999"
"39","先生","1","60000","69999"
"40","ドルフィン","1","60000","69999"
"41","職人","1","60000","69999"
"42","レーサー","1","60000","69999"
"43","トゥンヌス","1","60000","69999"
"44","中の中","1","60000","69999"
"45","ビッグネーム","2","60000","69999"
"46","異才","1","60000","69999"
"47","エリート","1","60000","69999"
"48","仕事人","1","60000","69999"
"49","玄人","1","60000","69999"
"50","オルカ","1","70000","83999"
"51","名人","1","70000","83999"
"52","魔術師","1","70000","83999"
"53","師匠","1","70000","83999"
"54","サブマリン","1","70000","83999"
"55","スプリンター","2","70000","83999"
"56","名手","1","70000","83999"
"57","エースランナー","2","70000","83999"
"58","プロ","1","70000","83999"
"59","看板選手","1","70000","83999"
"60","第一人者","1","70000","83999"
"61","ドン","1","70000","83999"
"62","スピードスター","2","84000","99999"
"63","豪傑","1","84000","99999"
"64","プリンセス","1","84000","99999"
"65","女神","1","84000","99999"
"66","マスター","1","84000","99999"
"67","ナンバーワン","2","84000","99999"
"68","寵児","1","84000","99999"
"69","ワイルドグリフォン","3","84000","99999"
"70","ワイバーン","1","84000","99999"
"71","エキスパート","2","84000","99999"
"72","トップランナー","2","84000","99999"
"73","韋駄天","1","100000","119999"
"74","クイーン","1","100000","119999"
"75","チャンピオン","2","100000","119999"
"76","天才ランナー","2","100000","119999"
"77","レコードホルダー","3","100000","119999"
"78","極致","1","100000","119999"
"79","ネプテリオン","2","100000","119999"
"80","シードレイク","2","100000","119999"
"81","女傑","1","100000","119999"
"82","革命家","1","100000","119999"
"83","ビッグスター","2","100000","119999"
"84","ファンタジスタ","2","120000","999999"
"85","スーパースター","2","120000","999999"
"86","ワールドチャンプ","3","120000","999999"
"87","レジェンド","1","120000","999999"
"88","超人","1","120000","999999"
"89","トルペドン","1","120000","999999"
"90","カルキノス","1","120000","999999"
"91","アクアリオス","2","120000","999999"
"92","至宝","1","120000","999999"
"93","グランドマスター","3","120000","999999"
"94","英雄","1","120000","999999"
"95","天下取り","1","120000","999999"
