25bd9490bc78d739a4569cfe14e0f37d25ac9e54b58b74ef68a9e2700f7f50d0,a95400a5b19df8fbdc24c4f42cdd52854c169a0d5270cae0a8bd87ee486e618e,6b43a568d1d42d425cbdcf3e8409ed6b7a0850a1c9b2907a8dad8805034f42fd,918c448e93cb00a5a3df7553cdd5472b91758d93e0d23e4795fb43a2c5917ea8,a6ab349ea5356e0dadd08cbfcc3b2bc15a5708daa91fa117d58e9af7126a2ac4,e84011e41eb31e90ea39b6fd9df328e9921173eec5ddac5be0e550ba3cad8eee,42d23c1eeaeaed17b15adabe020b370eb2a175fe36544faf82bac5579257cb83
"10201101","10201","10201101","0","1","2025/01/31 12:00:00","5201401"
"10201102","10201","10201151","0","1","2025/02/06 12:00:00","5201402"
"10201201","10201","23","5201010","2","2025/01/31 12:00:00","5201411"
"10201401","10201","0","0","3","2025/02/06 12:00:00","5201601"
"10202101","10202","10202101","0","1","2025/02/28 12:00:00","5202401"
"10202201","10202","23","0","2","2025/02/28 12:00:00","5202411"
"10203101","10203","10203101","0","1","2025/03/31 12:00:00","5203401"
"10203201","10203","23","5203007","2","2025/03/31 12:00:00","5203411"
"10204101","10204","10204101","0","1","2025/04/30 12:00:00","5204401"
"10204201","10204","23","5204006","2","2025/04/30 12:00:00","5204411"
"10205101","10205","10205101","0","1","2025/05/31 12:00:00","5205401"
"10205201","10205","23","0","2","2025/05/31 12:00:00","5205411"
"10206101","10206","10206101","0","1","2025/06/30 12:00:00","5206401"
"10206201","10206","23","5206007","2","2025/06/30 12:00:00","5206411"
"10207101","10207","10207101","0","1","2025/07/31 12:00:00","5207401"
"10207201","10207","23","5207007","2","2025/07/31 12:00:00","5207411"
"10208101","10208","10208101","0","1","2025/08/31 12:00:00","5208401"
"10208201","10208","23","5208007","2","2025/08/31 12:00:00","5208411"
"10209101","10209","10209101","0","1","2025/09/30 12:00:00","5209401"
"10209201","10209","23","5209007","2","2025/09/30 12:00:00","5209411"
"10210101","10210","10210101","0","1","2025/10/31 12:00:00","5210401"
"10210201","10210","23","5210000","2","2025/10/31 12:00:00","5210411"
"10211101","10211","10211101","0","1","2025/11/30 12:00:00","5211401"
"10211201","10211","23","5211006","2","2025/11/30 12:00:00","5211411"
"10212101","10212","10212101","0","1","2025/12/31 12:00:00","5212401"
"10212201","10212","23","5212007","2","2025/12/31 12:00:00","5212411"
