78deb9d394ce3f8c90f34262c4b210224b060e060e5bcbae75775d258e23e642,47c50d0b7eb78b3ea25aeb85593b238a9e3a1412c8480a6d3a74da1b95f1b33b,80931608b9bb8c3ba4267137884a041f35361746f46fd3da981f521a51f50ab7,735c1b6a45f79c2fe4212d7fa54e06d68a8363c2dc8ff69076f61c55b3770a10,214f84042b192f31f766b5a36c554b1291823006d4dd470e6c3bedfeebe2707b,99580afa97e4d6a45700811feb0e9d1c6d3137d1bb8e451c1b952d657be7e28b,12773ceb926370d67ff2872d0d5124c2a14c288b9127fb93a119cfacad3d369f,9830e5626bc28eb0519a714909b018c371cad8b531b440c95e81d25637cbd61f,c5c4332945d19c07bfab9c295d23b6a8ba9fec6c5b40899b3589a859156da2bb,dcb763ea9230b92038c98858fd5686bdad7dd8185dc47cfdce478468186cb7f5,aec5daf3d56bed088ea160eefa10ce820fd4faa49d23b1d7c427f524dd9b0a9e
"1002","愛情たっぷりのチョコレートケー\nキを完成させよう！\n超キュートなタップゲーム！","2020-02-15 15:00:00","2030/12/31 15:00:00","bgm_M199","1001","bgm_M199_juke","10000","お兄ちゃん争奪！\nどっちのチョコがおいしいでSHOW","","2030/12/31 15:00:00"
"1003","大回転！クウカ！\n最高のエクスタシーここにあり！\n引っ張って飛ばす、空の旅！","2020-02-15 15:00:00","2030/12/31 15:00:00","bgm_M227","1002","bgm_M227_juke","10000","クウカ大回転\n飛行道中エクスタシー","","2030/12/31 15:00:00"
"1004","これぞ琉球魂！\n押し寄せるマジムンをなぎ倒す\n爽快アクションゲーム！","2020-02-15 15:00:00","2030/12/31 15:00:00","bgm_M249","1003","bgm_M249_juke","10000","カオリのマブイ式空手道場","","2030/12/31 15:00:00"
"1005","白熱バトル！\nドラゴンズネスト流\nタイマン式頭脳しりとり！","2020-02-15 15:00:00","2030/12/31 15:00:00","bgm_M277","1004","bgm_M277_juke","10000","大激戦！しりとりドラゴンズ","","2030/12/31 15:00:00"
"1006","キミはチーズを守り抜けるか！？\n瞬発力が試される\n反射神経系カジュアルゲーム！","2020-05-31 12:00:00","2030/12/31 15:00:00","bgm_M355_Lofi","1005","bgm_M355_Lofi_juke","10000","チュウチュウパニック！\nチーズお守り大作戦！","","2030/12/31 15:00:00"
"1007","目指せホームランバッター！\nミートタイミングがカギを握る\nスポーツアクションゲーム！","2020-08-15 15:00:00","2030/12/31 15:00:00","bgm_M399","1006","bgm_M399","10000","猛訓打撃道！\nミサトのホームランドリル","","2030/12/31 15:00:00"
"1008","カルミナファン大興奮！\nライブ応援グッズを手に入れて\n目指せ「カルミナ神推し」！","2021-08-31 12:00:00","2030/12/31 15:00:00","bgm_M500","1007","bgm_M500","10000","カルミナサマーライブ\nライブ会場 グッズエリア","","2030/12/31 15:00:00"
"1009","レッツ・クッキング！\nミヤコとプリンを作って食べて\nプリンの道を極めよう！","2021-12-18 15:00:00","2030/12/31 15:00:00","bgm_M540","1008","bgm_M540","10000","ミヤコ's キッチン　究極への道","","2030/12/31 15:00:00"
"1010","５人チームで力を合わせて多種多\n様なジャンルのクイズに挑戦！\n目指せ、クイズプリンセス！","2022-02-15 15:00:00","2022/02/28 11:59:59","bgm_M569","1009","bgm_M569","0","Happy Anniv.スペシャル　\nランドソルクイズコネクト！","ランドソルクイズコネクト！","2022/02/15 15:00:00"
"1011","砂浜駆けるプリンセス！\nハチャメチャなコースに挑む、\n南の島のビーチフラッグス！","2022-07-18 15:00:00","2030/12/31 15:00:00","bgm_M605","1010","bgm_M605","10000","駆けろ常夏！\nアルティメットビーチフラッグス","","2030/12/31 15:00:00"
"1012","めざせ全問正解！\nキャルとスズナと放課後の教室で\n二人きりのクイズ勉強会！","2023-09-18 15:00:00","2030/12/31 15:00:00","bgm_MC068","1012","bgm_MC068","10000","キャルとスズナの\n放課後クイズエデュケーション","放課後クイズエデュケーション　{0}","2030/12/31 15:00:00"
"1013","魔物はびこる街道を突き進め！\n【王宮騎士団(NIGHTMARE)】\nの兵たちを率い、訓練に挑戦だ！","2024-04-18 15:00:00","2030/12/31 15:00:00","bgm_MC141","1013","bgm_MC141","10000","エリコとマコトの\n行軍（マーチ）A-Go-Go！","行軍（マーチ）A-Go-Go！","2030/12/31 15:00:00"
"1014","戦車バトル大会開幕！\n組み上げたオリジナルマシンで\n頂点を目指せ！","2024-11-18 15:00:00","2030/12/31 15:00:00","bgm_MC199","1014","bgm_MC199_Battle","10000","激突！破壊！\nイリーガルタンクウォー","激突！破壊！\nイリーガルタンクウォー","2030/12/31 15:00:00"
