bcc5bc67fe9739ecedf128757828b2d98e6ca4e20993834b590112fd3a7fcec7,afce3a3787d95d327e77bf7febeb70d240c6eb4bb849c4e5efed35fb9768a7c3,b9b2c026787fe00b5bf786ea9678f9705606443e662444d853d8249ac98468ab,4a5b5401fcfcb74f2c31fa35668fbf12d136ca2ea1f6679e4d703944683900cf,4464194ffb089d9840a2ba01d2a1baca5e570bbfbfe6d4e99a5b349dc0c5f8fd,977ac4d420c844b40fd63986e80b072e563fba135b9b98924f0d92a5e543fd24,96387b9abe6d1d8f932d076c8c157d4df2d3edf61d873f86a7f323afb83848a2,125558154640b5bfdcdcc031d889e66ee1a96f1dd18fd76c5af885b6ad97f6a4,c1f81803fb15980dee95fa1dab6541f0c26459ae63961cc7726f56e2ee95e78d,f3ec459cab336c4c8dd26f049369608910520d01198a7d97c72ada993d3f3a12,a3ce43744acde2617c5465095ac8384f86033393abaa75092ba02b631a2f9025,4543f97fccd029ea394fe34f605a8cd8ca9abed088960a257f7a79563c6624c9,960cdd5fb75390c2cfecdf070384e947c317ad1a16597223e0c48f9cfa5b3aed,4cae0aa08c1c5fb392a60ceec18a9b69b94c6b7e9090e5ba52793a45f62163e3,f568722f853dc9524efe440f376b1d03d6a741bd2a85fea7e0922d7760fde4ca,cb3eb9b1714e006eb70f7327184b312262a27856ee09c64cbba694168beb139d,7aad4fb01ce646e2a622247b2dc58bd080aef0dcbdaa3a53c43881c01ad06c06
"スィオネ\n樹林","108","1","-470","10","4201401","11001001","4104351","11001001","1","43200","4101351","11001","7200","4104401","4101401","100000"
"ヘリケ巨木","90","1","-235","10","4203401","11001002","4110351","11001002","2","43200","4106351","11001","7200","4110401","4106401","100000"
"イオカステ\n岩山","108","1","0","10","4201401","11001003","4105351","11001003","3","43200","4102351","11001","7200","4105401","4102401","100000"
"ハルパリ\n大滝","90","1","235","10","4203401","11001004","4109351","11001004","4","43200","4108351","11001","7200","4109401","4108401","100000"
"ムネメー川","108","1","470","10","4201401","11001005","4107351","11001005","5","43200","4103351","11001","7200","4107401","4103401","100000"
"アルバ浜堤","108","1","-470","10","4301401","11002001","4101401","11002003","6","43200","4301351","11002","7200","4201401","4104401","100000"
"サダルスド\n砂浜","90","1","-235","10","4305401","11002002","4106401","11002002","7","43200","4305351","11002","7200","4203401","4110401","100000"
"ダルリク\n巨岩","108","1","0","10","4302401","11002003","4102401","11002001","8","43200","4302351","11002","7200","4201401","4105401","100000"
"アンカル川","90","1","235","10","4304401","11002004","4108401","11001005","9","43200","4304351","11002","7200","4203401","4109401","100000"
"ダクビア\n森林","108","1","470","10","4303401","11002005","4103401","11001001","10","43200","4303351","11002","7200","4201401","4107401","100000"
"ミーマス\n洞穴","108","1","-470","10","4109401","11003001","4201401","11003001","11","43200","4201351","11003","7200","4104401","4101401","100000"
"レアント川","90","1","-155","10","4110401","11003002","4202401","11003002","11","43200","4202351","11003","7200","4102401","4108401","100000"
"ケランド\n廃墟","108","1","160","10","4109401","11003003","4203401","11003003","11","43200","4203351","11003","7200","4105401","4103401","100000"
"デオネカ\n氷海","90","1","470","10","4110401","11003004","4204401","11003004","11","43200","4204351","11003","7200","4107401","4106401","100000"
