f0e403eca9cc9e8d86c62a853c2dd719965c75ec2deb9595149a7e1b573c29e2,e3fd83bbd0152df52b6f383a6187354a803a8fe33b92148d6c5f08ed786c00a8,ce2b689d8d1c29c82438080b297999d9ab9b927ac8f7ca206931294416c02479,5e3934ab3c27602dcf13b9c603c1fc11e4bf528550fcf6228b961642d597d35a,e1be313341d71d28d6a5b72f57036298ecab18cb8a292f5cba2dfcc9a775c173
"1","100","8","91002","1"
"2","100","8","91002","2"
"3","100","8","91002","3"
"4","100","8","91002","4"
"5","100","8","91002","5"
"6","500","2","23003","6"
"7","100","4","140001","7"
"8","1","2","21953","8"
"9","500","2","23003","9"
"10","100","2","25001","10"
"11","100","2","90005","11"
"12","1","2","41000","12"
"13","500","2","23003","13"
"14","10000","2","25011","14"
"15","10000","2","25012","15"
"16","10000","2","25013","16"
"17","10000","2","25014","17"
"18","10000","2","25015","18"
"19","5000","2","25021","19"
"20","1","2","25101","20"
"21","100","2","23003","21"
"22","10000","2","25011","22"
"23","10000","2","25012","23"
"24","10000","2","25013","24"
"25","10000","2","25014","25"
"26","10000","2","25015","26"
"27","5000","2","25021","27"
"28","100","8","91002","28"
"29","150","2","23003","29"
"30","150","2","23003","30"
"31","150","2","23003","31"
"32","150","2","23003","32"
"33","150","2","23003","33"
"34","150","2","23003","34"
"35","50000","2","26202","35"
"36","50000","2","26202","36"
"37","1","2","26203","37"
"38","50000","2","26202","38"
"39","50000","2","26202","39"
"40","1","2","26203","40"
"41","50000","2","26202","41"
"42","50000","2","26202","42"
"43","1","2","26203","43"
"44","50000","2","26202","44"
"45","50000","2","26202","45"
"46","1","2","26203","46"
"47","50000","2","26202","47"
"48","50000","2","26202","48"
"49","1","2","26203","49"
"50","100000","2","26202","50"
"51","100000","2","26202","51"
"52","1","2","26203","52"
"53","100000","2","26202","53"
"54","100000","2","26202","54"
"55","1","2","26203","55"
"56","100000","2","26202","56"
"57","100000","2","26202","57"
"58","1","2","26203","58"
"59","100000","2","26202","59"
"60","100000","2","26202","60"
"61","1","2","26203","61"
"62","100000","2","26202","62"
"63","100000","2","26202","63"
"64","1","2","26203","64"
"65","100","8","91002","65"
"66","100","8","91002","66"
"67","100","8","91002","67"
"68","100","8","91002","68"
"69","100","8","91002","69"
"70","1000","2","23003","70"
"71","1000","2","23003","71"
"72","1000","2","23003","72"
"73","1","2","25101","73"
"74","150000","2","26202","74"
"75","150000","2","26202","75"
"76","150000","2","26202","76"
"77","150000","2","26202","77"
"78","1","2","41000","78"
"79","150000","2","26202","79"
"80","150000","2","26202","80"
"81","150000","2","26202","81"
"82","150000","2","26202","82"
"83","1","2","41000","83"
"84","150000","2","26202","84"
"85","150000","2","26202","85"
"86","150000","2","26202","86"
"87","150000","2","26202","87"
"88","1","2","41000","88"
"89","150000","2","26202","89"
"90","150000","2","26202","90"
"91","150000","2","26202","91"
"92","150000","2","26202","92"
"93","1","2","41000","93"
"94","150000","2","26202","94"
"95","150000","2","26202","95"
"96","150000","2","26202","96"
"97","150000","2","26202","97"
"98","1","2","41000","98"
"99","150000","2","26202","99"
"100","150000","2","26202","100"
"101","150000","2","26202","101"
"102","150000","2","26202","102"
"103","1","2","41000","103"
"104","150000","2","26202","104"
"105","150000","2","26202","105"
"106","150000","2","26202","106"
"107","150000","2","26202","107"
"108","1","2","41000","108"
"109","150000","2","26202","109"
"110","150000","2","26202","110"
"111","150000","2","26202","111"
"112","150000","2","26202","112"
"113","1","2","41000","113"
"114","150000","2","26202","114"
"115","150000","2","26202","115"
"116","150000","2","26202","116"
"117","150000","2","26202","117"
"118","1","2","41000","118"
"119","150000","2","26202","119"
"120","150000","2","26202","120"
"121","150000","2","26202","121"
"122","150000","2","26202","122"
"123","1","2","41000","123"
"124","150000","2","26202","124"
"125","150000","2","26202","125"
"126","1","2","26203","126"
"127","150000","2","26202","127"
"128","150000","2","26202","128"
"129","150000","2","26202","129"
"130","150000","2","26202","130"
"131","1","2","41000","131"
"132","150000","2","26202","132"
"133","150000","2","26202","133"
"134","1","2","26203","134"
"135","150000","2","26202","135"
"136","150000","2","26202","136"
"137","150000","2","26202","137"
"138","150000","2","26202","138"
"139","1","2","41000","139"
"140","150000","2","26202","140"
"141","150000","2","26202","141"
"142","1","2","26203","142"
"143","150000","2","26202","143"
"144","150000","2","26202","144"
"145","150000","2","26202","145"
"146","150000","2","26202","146"
"147","1","2","41000","147"
"148","150000","2","26202","148"
"149","150000","2","26202","149"
"150","1","2","26203","150"
"151","150000","2","26202","151"
"152","150000","2","26202","152"
"153","150000","2","26202","153"
"154","150000","2","26202","154"
"155","1","2","41000","155"
