a06e42877b192e121673e21d01c83a3d173a26af77c35afabd3646901ed437d1,b3b74c3ac1116397bad5de5e36c812a3c1d005b1471e2a3cd8664576633307bd,17f511cc101e785c7f06fdd4a133ee212a03c46f99a05f1342aa4c48bf757c9e,fb600aa2828b62511c374f9d52f4b876e2b7973474f7b9a0d23670bd8e20b122,40304e5dba4d0be8435c4c1a37db3dd70e912c0dd402f6d8d3ae30da3c0eafe6,b4e7a9df0f82b01776cd0eeae240bf1e272be84a9deb13443947cf724cbd0fa7,40bb4e5d20e3d89c184948bf9ba6686f988ed498ec25e4aa2fd4307f8c16969b
"306700","0","81001105","1","0","1","1001101"
"306700","0","81001106","1","0","1","1001102"
"306800","0","81001205","1","0","1","1001201"
"306800","0","81001206","1","0","1","1001202"
"307000","0","81001305","1","0","1","1001301"
"307000","0","81001306","1","0","1","1001302"
"307500","0","81001405","1","0","1","1001401"
"307500","0","81001406","1","0","1","1001402"
"307300","0","81001505","1","0","1","1001501"
"307300","0","81001506","1","0","1","1001502"
"307700","0","81001605","1","0","1","1001601"
"307700","0","81001606","1","0","1","1001602"
"307400","0","81001705","1","0","1","1001701"
"307400","0","81001706","1","0","1","1001702"
"307900","0","81001805","1","0","1","1001801"
"307900","0","81001806","1","0","1","1001802"
"307800","0","81001905","1","0","1","1001901"
"307800","0","81001906","1","0","1","1001902"
"308100","0","81002005","1","0","1","1002001"
"308100","0","81002006","1","0","1","1002002"
"308000","0","81002101","1","0","1","1002101"
"308000","0","81002102","1","0","1","1002102"
"308300","0","81002205","1","0","1","1002201"
"308300","0","81002206","1","0","1","1002202"
"308200","0","81002301","1","0","1","1002301"
"308200","0","81002302","1","0","1","1002302"
"304705","0","81002405","1","0","1","1002401"
"304705","0","81002406","1","0","1","1002402"
"308400","0","81002501","1","0","1","1002501"
"308400","0","81002502","1","0","1","1002502"
"305004","0","81002605","1","0","1","1002601"
"305004","0","81002606","1","0","1","1002602"
"308600","0","81002701","1","0","1","1002701"
"308600","0","81002702","1","0","1","1002702"
"305205","0","81002805","1","0","1","1002801"
"305205","0","81002806","1","0","1","1002802"
"309300","0","81002901","1","0","1","1002901"
"309300","0","81002902","1","0","1","1002902"
"305500","0","81003005","1","0","1","1003001"
"305500","0","81003006","1","0","1","1003002"
"310000","0","81003101","1","0","1","1003101"
"310000","0","81003102","1","0","1","1003102"
"306000","0","81003205","1","0","1","1003201"
"306000","0","81003206","1","0","1","1003202"
