5cb64b5704d81cf011c5e265c7984d03462a576d5b9ace6c831dbc8d90aea1fe,7d42d49251f0302b34d6b97e9ade5cb1403956ede9cb864d809373439935614c,37651fd05d85e35af8da251259336a9f6004d12609a724a14e9e9c1194620346,8c09dae4c6c35ef77b6c4f75ac07308175724734d9fac21d83853ce98129546a,83d6c0934631e0a5cac2e366021bf2db7019637ed64a6e2e3c67c36b061551c3
"1","1037","1025","1048","1045"
"2","1062","1003","1004","1006"
"3","1029","1003","1007","1006"
"4","1025","1047","1045","1062"
"5","1003","1043","1013","1022"
"6","1048","1006","1004","1019"
"7","1037","1062","1033","1003"
"8","1050","1056","1053","1059"
"9","1030","1001","1011","1034"
"10","1046","1063","1023","1026"
"11","1014","1020","1038","1044"
"12","1008","1017","1049","1040"
"13","1017","1023","1044","1020"
"14","1001","1017","1038","1020"
"15","1036","1030","1048","1008"
"16","1004","1044","1038","1011"
"17","1005","1043","1011","1022"
"18","1042","1046","1016","1047"
"19","1041","1014","1028","1063"
"20","1061","1052","1055","1058"
"21","1031","1025","1001","1024"
"22","1064","1024","1063","1005"
"23","1066","1040","1000","1044"
"24","1076","1000","1038","1010"
"25","1077","1003","1019","1043"
"26","1071","1070","1069","1068"
"27","1089","1092","1091","1090"
"28","1097","1098","1100","1099"
"29","1101","1102","1104","1103"
"30","1105","1106","1108","1107"
"31","1083","1012","1006","1021"
"32","1086","1087","1085","1084"
"33","1093","1094","1095","1096"
