36b255e02f22f8462563c7c094a9e36d8ac7d0ec09417f8e5059dc300ccccd4b,32a02035e077895476ffca7c46bf0b07d99ca1a6ac38960ec90b1ab6fc24f67b,377bbc9c1b662e79415e1ac7442a5a7989bc6d6ab3e06fc5c2804191a26f9d6f,237ea1a9c3b354504aee8fdc6927da46585c6593ca967b195dfd294ef3cdd3cd,3d31809085dd05282033fa21488fc7a65d68229362bafeacbb92bbfed6328018
"111011101","3","0","1","1"
"111021101","3","0","1","1"
"133011101","3","0","1","1"
"133011201","5","0","1","1"
"133020101","3","0","1","1"
"133020201","3","1","1","1"
"133030101","3","0","1","1"
"133030201","3","0","1","2"
"133030301","3","0","1","3"
"133030401","3","1","1","1"
"133030501","3","1","1","2"
"133030601","3","1","1","3"
"133040101","3","0","1","1"
"133040201","3","1","1","1"
"133040301","3","2","1","1"
"133040401","3","3","1","1"
"133051101","3","0","1","1"
"133051201","5","0","1","1"
"134010101","3","0","2","1"
"134010201","3","0","2","3"
"134021101","3","0","1","1"
"134021201","5","0","1","1"
"140010101","4","0","2","1"
"140010201","1","1","2","1"
"140010301","1","0","2","1"
"140020101","1","0","1","3"
