dbe363166bce75ec8520e235b5e90d871a93358c7336893a9bdf43cdfcf9199d,51294d7fa91d8398cc733630640a66fb2ec7b3800c71f53eda001063313d76fb,683e64d8f7fbfa3ca6a20593b73f8c7e53fde28ee73bbe208f73ebf3a8f2a788,8b56389ff945d805213909eaba25cac8f81f19f6a2296300217294b3214b474c,8cbdc28fa2fcc3d7b6f4879cbb48b4091ccd8430dbeb8e71c13f1a0b92011c2d,f12f7ee44c892eb6eb4998291b6ad7e8dcd0dca308347e27748968af875ad31b,ab87f1f22e1b70b95dd1a9f5183f2ee1f4f8c08fb18dd3c40265eb1b4e2cc5a2
"10008101","0","1","1","","10008111","0"
"10008112","0","2","1","","10008115","0"
"10008101","0","3","3","","10008103","0"
"10008105","0","4","3","","10008115","0"
"10008112","0","5","4","","150","0"
"10028101","0","6","1","","10028111","0"
"10028112","0","7","1","","10028115","0"
"10028101","0","8","3","","10028103","0"
"10028105","0","9","3","","10028115","0"
"10028112","0","10","4","","150","0"
"20012104","20012107","11","11","","20012104","0"
"20012108","20012109","12","11","","20012108","0"
"20012110","20012114","13","11","","20012110","0"
"20012115","20012115","14","11","","20012115","0"
"20012110","0","15","4","","120","0"
"20008101","0","16","1","","20008111","0"
"20008112","0","17","1","","20008115","0"
"20008101","0","18","3","","20008103","0"
"20008105","0","19","3","","20008115","0"
"20008112","0","20","4","","150","0"
