2d9d1b794ebedd471a8cc41b222601cc1d9d1ab23eb580f94a2daf237ade61bd,e2468f6192d8dc6111f6c1ac84e4d724836f13053492ab262b43a4bc0e99a986,696ec6d2471ccafec7151da6748d4a17923774d278e900159d0c92428405fe2e,e39627ca5b10a5934ecd6d1b1157aa7b2d90153ff91e0daae54ba7fcb925cae3
"20","20","2","1"
"30","30","3","1"
"80","50","3","2"
"160","80","3","3"
"60","60","4","1"
"160","100","4","2"
"340","180","4","3"
"700","360","4","4"
"1200","500","4","5"
"100","100","5","1"
"260","160","5","2"
"540","280","5","3"
"1020","480","5","4"
"1800","780","5","5"
"100","100","6","1"
"260","160","6","2"
"540","280","6","3"
"1020","480","6","4"
"1800","780","6","5"
"100","100","7","1"
"260","160","7","2"
"540","280","7","3"
"1020","480","7","4"
"1800","780","7","5"
"100","100","8","1"
"260","160","8","2"
"540","280","8","3"
"1020","480","8","4"
"1800","780","8","5"
"100","100","9","1"
"260","160","9","2"
"540","280","9","3"
"1020","480","9","4"
"1800","780","9","5"
"100","100","10","1"
"260","160","10","2"
"540","280","10","3"
"1020","480","10","4"
"1800","780","10","5"
