ababf45a32f314ff2630510e91d7e2b520291d281714dc93ca7024132b4b5839,f272dbd4260613d9a1821ff999d6f404112644d96f2219dd0d4c8a72e9019761,47bd596422f28692d2ef3fa6fcdc71613979f0cbec9adf65eae3b121d226371f,17c3f74aa228d197afc5b7ba4ebf627659b2a236be00379af2c1c2db7b937b6a,c165c49bc3e6960a4d43ed9dfd7478689815278743f555239bb8f47db0c08866,d85a59b54fcd72a501eb872c1c5a94c92417ceb030105cfb718e48e9d7c2a763,89d217e4134c2e6a3f12ca625cf5c17b00b628c2f17319f96b50649c21a32d16,7f16e974c284692e2e7fb8fdc9caf3c8e0aea8ad6ce37b92e8c76cb505f0d6df,e07b5ca06562e1a8192253e5c688c36f7064c44c764460bf6083a3779b41f22c,8c2e420605f9af3834bfb2aaa398a908b6e107dcdceb462561977fa97d60cdf6,0234666dd4e82b350f696f099b587ff90976134ca9c0e43883c57ab6527feca1
"61001","105811","-225","-278","idle_normal","1.8","1","0","100","1","5146061"
"61002","1058","-225","-278","idle_normal","1.8","5","0","101","6","5146061"
"61003","105911","-385","-288","kokkoro_idle_normal","1.8","1","0","103","1","5146061"
"61004","1059","-385","-288","kokkoro_idle_normal","1.8","5","0","104","3","5146061"
"61005","106011","290","-278","idle_normal","1.8","1","1","106","1","5146061"
"61006","1060","290","-278","idle_normal","1.8","5","1","107","4","5146061"
"61007","200","","","","","13","","","105811","5146061"
"61008","203","","","","","13","","","105911","5146061"
"61009","206","","","","","13","","","106011","5146061"
"61010","7","0","-174","idle","0.85","5","0","15","7","5146061"
"61011","201","290","8","empty","1","5","0","210","20","5146061"
"61012","202","0","-78","empty","1","5","0","211","20","5146061"
"61013","203","-315","16","empty","1","5","0","210","20","5146061"
"61014","21","0","153","empty","1","5","0","60","21","5146061"
"61015","1","0","1","","1","31","","0","1","5146061"
"61016","2","-57.7","1","","0","31","","0","2","5146061"
"61017","10","0","1","","0","31","","0","10","5146061"
"61018","11","0","1","","0","31","","0","11","5146061"
"61019","0","","","","","91","","","0","5146061"
"61020","0","","","","","102","","0","0","5146061"
"61021","0","","","","","93","","","1","5146061"
"61022","doya_in_shy","doya_talk_shy","1","","0.2","3","0","0","106011","5146061"
"61023","doya_in_shy","doya_talk_shy","1","","0.2","3","0","0","1060","5146061"
"61024","vo_apg_0101","0","","","","21","","0","vo_apg","5146061"
"61025","ジェットコースター乗車中の\n魔法の写真撮影サービス？\nフン、人の無防備な写真勝手に撮って、\n後で売り付けよーとかくだらないわ！","1","1","0","0","11","0","10","106011","5146061"
"61026","","","","","","91","","","0","5146061"
"61027","1","","","","","32","","","2","5146061"
"61028","fade105_in","","","","","37","","","2","5146061"
"61029","0","","","","","4","","","106011","5146061"
"61030","0","","","","","4","","","1060","5146061"
