7e778c27ac2760e0f9c074d037d16a10e9d436407620a8f7c208f185ca8b3753,8bc99ba654655af0bb2d225ca2ab509cff9b9bba7cddf37cfc52bd7ad7bc1df2,245a5efef927e4e7c16898750c5f924cb8f547c49b0b76300364ba9902c42d82,1c43c875d664b2e26d1578db42bfe2bcbdd4364c6d4bfcedfcda649953701773,004e20b351e30c48f6a93101378ce820bcfaef64493b760bf63710bf4e875889,91e16ddeb651c2db6bcd181bc552fc2020432da5ed3983ae181f71d121bb8343,64bc1c527c653dab6092022008083a29d856c2da5ed3e2376a8f87d610eb7234
"2500","1","50000","94002","12","5126700","累計スコアを2500pt 獲得しよう"
"5000","1","50000","94002","12","0","累計スコアを5000pt 獲得しよう"
"7500","1","50000","94002","12","0","累計スコアを7500pt 獲得しよう"
"10000","1","1","2839","7","5126701","累計スコアを10000pt 獲得しよう"
"12500","1","80000","94002","12","0","累計スコアを12500pt 獲得しよう"
"15000","1","80000","94002","12","0","累計スコアを15000pt 獲得しよう"
"17500","1","80000","94002","12","0","累計スコアを17500pt 獲得しよう"
"20000","1","25","91002","8","5126702","累計スコアを20000pt 獲得しよう"
"22500","1","100000","94002","12","0","累計スコアを22500pt 獲得しよう"
"25000","1","100000","94002","12","0","累計スコアを25000pt 獲得しよう"
"27500","1","100","91002","8","0","累計スコアを27500pt 獲得しよう"
"30000","1","1","11001262","15","5126703","累計スコアを30000pt 獲得しよう"
"2500","2","50000","94002","12","5126710","累計スコアを2500pt 獲得しよう"
"5000","2","50000","94002","12","0","累計スコアを5000pt 獲得しよう"
"7500","2","50000","94002","12","0","累計スコアを7500pt 獲得しよう"
"10000","2","1","2840","7","5126711","累計スコアを10000pt 獲得しよう"
"12500","2","80000","94002","12","0","累計スコアを12500pt 獲得しよう"
"15000","2","80000","94002","12","0","累計スコアを15000pt 獲得しよう"
"17500","2","80000","94002","12","0","累計スコアを17500pt 獲得しよう"
"20000","2","25","91002","8","5126712","累計スコアを20000pt 獲得しよう"
"22500","2","100000","94002","12","0","累計スコアを22500pt 獲得しよう"
"25000","2","100000","94002","12","0","累計スコアを25000pt 獲得しよう"
"27500","2","100","91002","8","0","累計スコアを27500pt 獲得しよう"
"30000","2","1","11001263","15","5126713","累計スコアを30000pt 獲得しよう"
