ea07dfe34adbf82f0e111f8bde392be6347700540afeeab50c6b217663496d52,abd0a097a330a9d271d7a9711edcce5de02437b09ac4546bd703d42dfe9a37a3,371d98a59bb6893688e7bd90502b87ab188d178cded85ebbd219b708118f418a,4f2da3ccd9262d4e864ef5e089af5b51a874ca679c32313e6038284e9f56f9ef,956c8706bba8af6abc84fb3632d30cf286219bc5964b16b2aa9c0a3354817f12,27542ab36587e55699710d1533945d7ae346d59dae0d30a9ab66f4fc3755be6f,b9c316f3c13776e26e04e0e30c738088a955f7d7efa5f0f0f28e42ef942b23c1,44e00611e7d67b30a86c0dc5dac8506fec7ae03b8158c24573735560e6db6169
"2","3","111","5","1","4","104","200"
"2","3","211","5","1","4","14","2"
"2","3","311","5","1","4","103","2"
"2","3","411","5","1","4","102","2"
"2","3","511","5","1","4","104","200"
"2","3","611","5","1","4","1","250"
"2","3","711","5","1","4","101","3"
"2","3","811","5","1","4","100","3"
"2","3","911","5","1","4","104","200"
"2","3","1011","5","1","4","1","250"
"2","3","1111","5","1","4","3","250"
"2","3","1112","5","1","4","5","250"
"2","3","1211","5","1","4","6","150"
"2","3","1212","5","1","4","7","150"
"2","3","1311","5","1","4","104","200"
"2","3","1411","5","1","4","103","2"
"2","3","1511","5","1","4","102","2"
"2","3","1611","5","1","4","1","250"
"2","3","1711","5","1","4","104","200"
"2","3","1811","5","1","4","2","500"
"2","3","1812","5","1","4","4","500"
"2","3","1911","5","1","4","101","3"
"2","3","2011","5","1","4","100","3"
"2","3","2111","5","1","4","104","200"
"2","3","2211","5","1","4","1","250"
"2","3","2311","5","1","4","100","3"
"2","3","2411","5","1","4","101","3"
"2","3","2511","5","1","4","104","200"
"2","3","2611","5","1","4","2","500"
"2","3","2612","5","1","4","4","500"
"2","3","2711","5","1","4","6","150"
"2","3","2712","5","1","4","7","150"
"2","3","2811","5","1","4","2","500"
"2","3","2812","5","1","4","4","500"
"2","3","2911","5","1","4","104","200"
"2","3","3011","5","1","4","3","250"
"2","3","3012","5","1","4","5","250"
"2","3","3111","5","1","4","100","3"
"2","3","3211","5","1","4","101","3"
"2","3","3311","5","1","4","104","200"
"2","3","3411","5","1","4","100","2"
"2","3","3511","5","1","4","104","200"
"2","3","3611","5","1","4","103","1"
"2","3","3711","5","1","4","102","1"
"2","3","3811","5","1","4","2","250"
"2","3","3812","5","1","4","4","250"
"2","3","3911","5","1","4","102","1"
"2","3","4011","5","1","4","104","200"
"2","3","4111","5","1","4","100","2"
"2","3","4211","5","1","4","6","150"
"2","3","4212","5","1","4","7","150"
"2","3","4311","5","1","4","104","200"
"2","3","4411","5","1","4","103","1"
"2","3","4511","5","1","4","104","200"
"2","3","4611","5","1","4","101","2"
"2","3","4711","5","1","4","102","1"
"2","3","4811","5","1","4","104","200"
"2","3","4911","5","1","4","103","1"
"2","3","5011","5","1","4","104","200"
"2","3","5111","5","1","4","101","2"
"2","3","5211","5","1","4","102","1"
"2","3","5311","5","1","4","104","200"
"2","3","5411","5","1","4","6","150"
"2","3","5412","5","1","4","7","150"
"2","3","5511","5","1","4","103","1"
"2","3","5611","5","1","4","104","200"
"2","3","5711","5","1","4","100","2"
"2","3","5811","5","1","4","101","2"
"2","3","5911","5","1","4","103","1"
"2","3","6011","5","1","4","104","200"
"2","3","6111","5","1","4","102","1"
"2","3","6211","5","1","4","2","250"
"2","3","6212","5","1","4","4","250"
"2","3","6311","5","1","4","104","200"
"2","3","6411","5","1","4","103","1"
"2","3","6511","5","1","4","102","1"
"2","3","6611","5","1","4","104","200"
