0a01e479d196b001ad958237398943050ff783b5d0bf6e4e401b83e0599bd60e,9776e3500ef94ee99d4bf0304de57609e4f31169e5eba118de964aa952bd2c3f,677343f937eae4333f5912c0095ddbf89723bbb3c386ed2f310f1577fb27db5a,0543416e65ca6ead7ad04c067e2ad4fce6925646768f4f569d9beab5afc7ab15,49edb1f913d5049811faccff4773ae2d9166fa6144f354ca6c4de93e7a22a171,6f4852efbece8e27bddea277afb821838e89b174a00950b683ab53cba1974fd1,000f98018215620ec70640a8ca7d11b961f2ae3bc0aea9cbca9dca76845d69ee,7571d34838de0096a6f33f2c41451774af457ddd868bba0ac70d4dbcfee3ff50,2098cc11d27f9783f7a4e49184a700f69ae23c4ba16c6709437831009fa44c88,e9fbb0a0164f2a9ee4b3de496c6a0faa5563e51f66c790ff539c5ef5db31ba39,7db687addb59c54df862e333f944c9ab3f5aa783866178e53bc3ceb6bca5b998
"1","-157","1","1.3","1","1010001","-496","0","100","105831","01_uek_cmn_idol_def_N"
"1","-178","1","1.3","1","1010002","-355","0","110","105931","01_uek_cmn_idol_def_N"
"1","-124","1","1.3","1","1010003","410","1","100","112631","01_uek_cmn_idol_def_N"
"1","-258","1","1.3","1","1010004","389","1","110","112531","01_uek_cmn_idol_def_N"
"1","-234","1","1.3","1","1010005","-415","0","120","106031","01_uek_cmn_idol_def_N"
"1","-235","1","1.3","1","1010006","262","1","120","112431","01_uek_cmn_idol_def_N"
"105831","1","1","0","3","1010007","01_uek_cmn_pose03","0.2","0","01_uek_01_peko",""
"105931","1","1","0","3","1010008","01_uek_talk_normal","0.2","0","01_uek_01_kokkoro",""
"106031","1","1","0","3","1010009","01_uek_cmn_pose02","0.2","0","01_uek_01_kyaru",""
"112631","1","1","0","3","1010010","01_uek_cmn_pose03","0.2","0","01_uek_01_mio",""
"112531","1","1","0","3","1010011","01_uek_cmn_pose02","0.2","0","01_uek_01_rin",""
"112431","1","1","0","3","1010012","01_uek_cmn_pose01","0.2","0","01_uek_01_uduki",""
"3","","1","","93","1010013","","","","",""
"112631","0","1","0.2","3","1010014","","","1","01_uek_cmn_pose03",""
"112431","0","1","0.2","3","1010015","","","1","01_uek_cmn_pose01",""
"105831","0","1","0.2","3","1010016","","","1","01_uek_cmn_pose03",""
"105931","1","1","0.2","3","1010017","01_uek_cmn_idol_def_N","0.1","0","01_uek_talk_normal",""
"106031","1","1","0.2","3","1010018","01_uek_cmn_idol_def_N","0.1","0","01_uek_cmn_pose02",""
"112531","1","1","0.2","3","1010019","01_uek_cmn_idol_def_N","0.1","0","01_uek_cmn_pose02",""
"105831","","1","","11","1010020","","","10","うわぁ～…！\n大きくなりすぎて\nやばいですね☆",""
"0","","1","","91","1010021","","","","",""
"105931","","1","","11","1010022","","","10","うえきちゃんが\nどこまで続くのか\n分からないほどです",""
"0","","1","","91","1010023","","","","",""
"112631","","1","","11","1010024","","","10","こういうのってさ\n上がどうなってるか\n見てみたいよね！",""
"0","","1","","91","1010025","","","","",""
"112531","","1","","11","1010026","","","10","確かにね…それに\nこうなった理由も\n分かるかも",""
"0","","1","","91","1010027","","","","",""
"106031","","1","","11","1010028","","","10","ま、興味はあるし\n付き合ってあげるわ",""
"0","","1","","91","1010029","","","","",""
"112431","","1","","11","1010030","","","10","はい♪みなさんで\n頂上を目指して\n頑張りましょう！",""
"0","","1","","91","1010031","","","","",""
"1","0","2","1.3","1","1020001","0","0","100","104431","02_uek_cmn_idol_def_N"
"104431","0","2","","3","1020002","02_uek_02_ilya_loop","","0","02_uek_02_ilya",""
"104431","","2","","11","1020003","0","","10","はーっはっはっは！\n世界征服への\n第一歩を始めるぞ！",""
"0","0","2","","91","1020004","","","","",""
"1","-10","3","1.3","1","1030001","-140","0","100","105831","01_uek_cmn_idol_def_N"
"1","10","3","1.3","1","1030002","120","1","100","105931","01_uek_cmn_idol_def_N"
"1","0","3","1.3","1","1030003","0","1","100","106031","01_uek_cmn_idol_def_N"
"105831","0","3","","3","1030004","01_uek_03_peko_loop","","0","01_uek_03_peko",""
"106031","0","3","","3","1030005","01_uek_03_kyaru_loop","","0","01_uek_03_kyaru",""
"105831","","3","","11","1030006","0","","10","キャルちゃん！\n見てください\nいい景色ですよ☆",""
"0","","3","","91","1030007","","","","",""
"106031","","3","","11","1030008","0","","10","ちょ、あんた！\n引っぱんないでよ！\n落ちるでしょうが！",""
"0","","3","","91","1030009","","","","",""
"105931","1","3","","3","1030010","01_uek_cmn_idol_def_N","","0","01_uek_03_kokkoro",""
"105931","","3","","11","1030011","0","","10","ふふ、この先も\nきっと素敵な景色が\n待っているはずです",""
"1","-30","4","1.3","1","1040001","-120","0","100","101131","02_uek_cmn_idol_def_N"
"1","-5","4","1.3","1","1040002","20","1","100","104931","02_uek_cmn_idol_def_N"
"101131","","4","","3","1040003","","","1","02_uek_talk_joy2",""
"101131","","4","","11","1040004","0","","10","マスターセンリも\n一発からです！\n頑張りますよ！",""
"0","","4","","91","1040005","","","","",""
"101131","","4","0.2","3","1040006","","","1","02_uek_cmn_idol_def_N",""
"104931","","4","0.2","3","1040007","","","1","02_uek_04_shizuru",""
"104931","","4","","11","1040008","0","","10","それを言うなら\n千里の道も一歩から\nだよ、リノちゃん",""
"0","","4","","91","1040009","","","","",""
"104931","","4","0.2","3","1040010","","","1","02_uek_cmn_idol_def_N",""
"1","0","5","1.3","1","1050001","-70","0","100","105031","02_uek_cmn_idol_def_N"
"1","1","5","1.3","1","1050002","70","1","100","101631","02_uek_cmn_idol_def_N"
"105031","-15","5","","3","1050003","02_uek_05_misaki_loop","","0","02_uek_05_misaki",""
"101631","0","5","","3","1050004","02_uek_05_suzuna_loop","","0","02_uek_05_suzuna",""
"105031","","5","","11","1050005","0","","10","大人の階段を\n登るわよー！",""
"0","0","5","","91","1050006","","","","",""
"101631","","5","","11","1050007","0","","10","うちもモデルの\nてっぺん目指すし！",""
"1","25","6","1.3","1","1060001","120","1","100","100531","02_uek_cmn_idol_def_N"
"1","5","6","1.3","1","1060002","-20","0","100","103731","02_uek_cmn_idol_def_N"
"100531","","6","","3","1060003","","","1","02_uek_cmn_pose04",""
"100531","","6","","11","1060004","0","","10","これくらいの高さで\nへこたれてたら\nヒーロー失格ッス！",""
"0","","6","","91","1060005","","","","",""
"103731","","6","0.2","3","1060006","","","1","02_uek_talk_normal",""
"103731","","6","","11","1060007","0","","10","うん、いい鍛錬に\nなりそうだね\n楽しくなってきたよ",""
"0","","6","","91","1060008","","","","",""
"103731","","6","0.2","3","1060009","","","1","02_uek_cmn_idol_def_N",""
"1","-20","7","1.3","1","1070001","-60","0","100","103831","02_uek_cmn_idol_def_N"
"103831","","7","0.2","3","1070002","","","1","02_uek_07_shiori",""
"103831","","7","","11","1070003","","","10","あれ…お姉ちゃん\nどこに行ったのかな\n…お姉ちゃーん？",""
"1","40","8","1.3","1","1080001","90","0","100","104531","02_uek_08_kuka_loop"
"2","1","8","1","31","1080002","60","","90","2",""
"104531","0","8","","11","1080003","0","","10","あ、足に絡みつく\nツタの感触が\nたまりません～～！",""
"0","","8","","91","1080004","","","","",""
"2","-35","9","0.9","1","1090001","-195","0","100","105831","05_idle"
"2","-30","9","1.2","1","1090002","150","0","1000","302102","302102_idle"
"102","1","9","1","31","1090003","50","","150","15",""
"103","1","9","1","31","1090004","400","","150","16",""
"1","-25","10","1.3","1","1100001","-160","0","100","112531","01_uek_cmn_idol_def_N"
"1","-5","10","1.3","1","1100002","-40","1","100","112431","01_uek_cmn_idol_def_N"
"1","20","10","1.3","1","1100003","125","1","100","112631","01_uek_cmn_idol_def_N"
"112631","0","10","","3","1100004","","","1","01_uek_talk_surprise2",""
"112631","0","10","","11","1100005","0","","10","うっひゃ～…！\n足場が雲になるって\nどういうこと！？",""
"0","","10","","91","1100006","","","","",""
"112631","0","10","0.2","3","1100007","","","1","01_uek_cmn_idol_def_N",""
"112431","","10","","3","1100008","","","1","01_uek_talk_joy1",""
"112431","0","10","","11","1100009","0","","10","なんだか不思議な\n感触してますね～\nふわふわですよ♪",""
"0","","10","","91","1100010","","","","",""
"112431","","10","0.2","3","1100011","","","1","01_uek_cmn_idol_def_N",""
"112531","","10","","3","1100012","","","1","01_uek_talk_normal",""
"112531","0","10","","11","1100013","0","","10","落ちたりはしなそう\nだけど…足元には\n気をつけて進もう",""
"0","","10","","91","1100014","","","","",""
"112531","","10","0.2","3","1100015","","","1","01_uek_cmn_idol_def_N",""
"0","","10","","91","1100016","","","","",""
"1","-20","11","1.3","1","1110001","-135","0","100","104731","03_uek_cmn_idol_def_N"
"1","5","11","1.3","1","1110002","100","1","100","107131","03_uek_cmn_idol_def_N"
"104731","1","11","0","3","1110003","03_uek_11_jun_loop","","0","03_uek_11_jun",""
"107131","1","11","0","3","1110004","03_uek_cmn_idol_def_N","0.2","0","03_uek_11_chris",""
"104731","0","11","","11","1110005","","","10","むむ、視界が白く…\nクリスちゃん、\n気を付けるんだ！",""
"0","","11","","91","1110006","","","","",""
"107131","0","11","","11","1110007","0","","10","ははは、鎧の重さで\n沈んでいるぞ団長☆\nそぉれ一本釣りだ！",""
"1.5","","11","","93","1110008","","","","",""
"104731","1","11","","2","1110009","1.5","","0","-135",""
"1110007","","11","","91","1110010","","","","",""
"1","-20","12","1.3","1","1120001","-120","0","100","101031","03_uek_cmn_idol_def_N"
"1","-5","12","1.3","1","1120002","10","1","100","101431","03_uek_cmn_idol_def_N"
"101031","0","12","","3","1120003","","","1","03_uek_talk_joy1",""
"101031","0","12","","11","1120004","0","","10","かわいい雲さんやね\n一緒に連れて\n帰りたいわぁ♪",""
"0","","12","","91","1120005","","","","",""
"101031","0","12","0.2","3","1120006","","","1","03_uek_cmn_idol_def_N",""
"101431","0","12","","3","1120007","","","1","03_uek_talk_normal",""
"101431","0","12","","11","1120008","0","","10","いくらなんでも\nそれは難しいんじゃ\nないかな…？",""
"0","","12","","91","1120009","","","","",""
"101431","0","12","0.2","3","1120010","","","1","03_uek_cmn_idol_def_N",""
"1","-45","13","1.3","1","1130001","-165","0","100","105831","01_uek_cmn_idol_def_N"
"1","-20","13","1.3","1","1130002","-45","0","100","105931","01_uek_cmn_idol_def_N"
"1","-5","13","1.3","1","1130003","120","1","100","106031","01_uek_cmn_idol_def_N"
"105931","1","13","","3","1130004","","","1","01_uek_talk_normal",""
"105931","0","13","","11","1130005","0","","10","かなり高くまで\n登ってまいりました\nですが…",""
"0","","13","","91","1130006","","","","",""
"105931","1","13","0.2","3","1130007","01_uek_cmn_idol_def_N","","0","01_uek_13_kokkoro",""
"106031","1","13","","3","1130008","01_uek_13_kyaru_loop","","0","01_uek_13_kyaru",""
"106031","0","13","","11","1130009","0","","10","全然頂上が\n見えないじゃない！\nどんだけ高いのよ！",""
"0","","13","","91","1130010","","","","",""
"105831","0","13","","3","1130011","","","1","01_uek_13_peco_loop",""
"105831","0","13","","11","1130012","0","","10","いいじゃないですか\n運動のあとの食事は\nまた格別ですよ☆",""
"0","","13","","91","1130013","","","","",""
"1","-25","14","1.3","1","1140001","-86","0","100","104031","03_uek_cmn_idol_def_N"
"1","1","14","1","31","1140002","250","","0","1",""
"104031","1","14","","3","1140003","03_uek_14_aoi_loop","","0","03_uek_14_aoi",""
"104031","0","14","","11","1140004","0","","10","うう、ぼっちへの\n風当たりが\n強すぎませんか！？",""
"1","-20","15","1.3","1","1150001","-75","0","100","100731","03_uek_cmn_idol_def_N"
"1","10","15","1.3","1","1150002","65","1","100","103131","03_uek_15_father"
"100731","0","15","","3","1150003","","","1","03_uek_15_miyako",""
