a3d4bf252cddabb615b1a1a35129ac246a132474c265093c5ea73779f23dcd7e,0296c732895a1c357518d4e4ac21bb21173f998342ef910db2a13d84952bd344,d62793ed864b977b2113e6fc80472da58327cd439d99bf7d26dc26cb226189ce,ac91478eadd7a04bd12bd7bbf8bf29dbaea3c7edab3c2578a143d20e1a785c4f,40a7faae083dc7289bff5cc2839f3936bf4b20ab6bdf8193831035a8db0d797a,57f15ed51dc52ba1c77b9a525c6d2eb83a6b75a14fde6d1329d24fb9d5e6cac2,6c92b0d52eddb4145452bb8c702cc87eb44ffd91a994625464afaa9e76a724cf,9cf8b6a843ecd3b74e1996cb7ca36192688acbe3106e57e5b982453ac95c4166,ae304489b3e297e3e5a7204a2a065b33be65ecce3a23001369368d5949837dba,be88ffa4b3593b93a3189ed0d8b2f796711ef4b6341139412aa4ec2c8ca1402f,25635145edff46c018d8e5c924ac44db4872ddce1d0b23a3ed65884b069a1615
"1000","1","5","10011","0","1","0","1","1","1","0"
"2000","2","2","10012","0","0","0","2","2","2","1"
"2000","3","5","10013","0","0","0","3","2","3","1"
"2000","4","8","10014","0","0","0","4","2","4","1"
"3000","5","2","10015","0","0","0","5","3","5","2"
"3000","6","5","10016","0","0","0","6","3","6","3"
"3000","7","8","10017","0","0","0","7","3","7","4"
"4000","8","2","10018","0","0","0","8","4","8","5"
"4000","9","5","10019","0","0","0","9","4","9","6"
"4000","10","8","10020","0","0","0","10","4","10","7"
"10000","11","5","10021","10","1","9","11","5","11","8"
"8000","12","2","10022","0","0","0","12","6","12","11"
"8000","13","5","10023","0","0","0","13","6","13","11"
"8000","14","8","10024","0","0","0","14","6","14","11"
"10000","15","2","10025","0","0","0","15","7","15","12"
"10000","16","5","10026","0","0","0","16","7","16","13"
"10000","17","8","10027","0","0","0","17","7","17","14"
"12000","18","2","10028","0","0","0","18","8","18","15"
"12000","19","5","10029","0","0","0","19","8","19","16"
"12000","20","8","10028","0","0","0","20","8","20","17"
"20000","21","5","10030","20","1","19","21","9","21","18"
"10000","22","2","10012","0","0","0","22","10","22","21"
"10000","23","5","10013","0","0","0","23","10","23","21"
"10000","24","8","10014","0","0","0","24","10","24","21"
"12000","25","2","10015","0","0","0","25","11","25","22"
"12000","26","5","10016","0","0","0","26","11","26","23"
"12000","27","8","10017","0","0","0","27","11","27","24"
"14000","28","2","10018","0","0","0","28","12","28","25"
"14000","29","5","10019","0","0","0","29","12","29","26"
"14000","30","8","10020","0","0","0","30","12","30","27"
"20000","31","5","10032","30","1","29","31","13","31","28"
"12000","32","2","10022","0","0","0","32","14","32","31"
"12000","33","5","10023","0","0","0","33","14","33","31"
"12000","34","8","10024","0","0","0","34","14","34","31"
"14000","35","2","10025","0","0","0","35","15","35","32"
"14000","36","5","10026","0","0","0","36","15","36","33"
"14000","37","8","10027","0","0","0","37","15","37","34"
"16000","38","2","10028","0","0","0","38","16","38","35"
"16000","39","5","10029","0","0","0","39","16","39","36"
"16000","40","8","10028","0","0","0","40","16","40","37"
"30000","41","5","10033","40","1","39","41","17","41","38"
