789cd005e8b7b238cc2768d7e084b030d9592f4ac0c2ec02d9d9068019ebb7b2,8215d7aa3d47c1aebaf1c21584197e4acee1a7318d9ed4fe596ecd376e98deec,68228499f57c24441305f6c014e08c94181830b6e4dc535c6ad72cc5ae278dc8,23f004ff75bfb749ec326e543c5da0519c6e411f4824872bc7bb87cf5de7fd8a,692a78f63397faac7d58a856c38f0fa2d24a8ffaa2f0d6362b736468a18a55d3,718497dfea44342e235eda66fdfd46d9745c976ec8d9406acc26285c30e7bf6e,fa3539f2de87122b415f27c9a5a2a3dc8a9400333b62e66e01df9ee40a804610,8908340ce1a34875b0c72451c85b9d5c2865cce9432474d953ee5c35a6aae4bb,582a8c44c3be9c51e1c6030bf69a5edf3c394975d17dd2178dad030fd399ddde,45163dac0c4cbd6e84c10649daa74de5a10467a1d98e7a16d96dab13a0a04d93,23390e5c870a2ff6ec3698f349cd56930d0c03ad2eeb2e10056082d71d193e64,2c2c2c955850c0ed825b889407b9e9ee8c5aea3805974ac2ef31fd13acc8940b,6000644b4b56f34f4ff016482b563fd2ec20de70a3cdc815686419cbec49d462,426b6ea000acae10481bead02999e0380e603127a6d3d59cb7e427d22427652a,2fef10c424f74a7a32392db4fdcd73432fc6f7d98c8c8ef3e2d1ce0d5dc17ebe,3249af98491b3a27819cd9bd4e81c40751b5a339e994c8f27161a4a017943294
"101","401","-110","70","301","3","980","2","1","455","501","1","1008201","215","2","201"
"102","402","-110","70","302","3","515","2","2","230","502","1","1008202","215","2","202"
"103","403","-110","70","303","3","515","2","3","230","503","1","1008203","215","1","203"
"104","404","-110","70","304","3","515","2","4","230","504","1","1008204","215","1","204"
"105","405","-110","78","305","3","787","2","5","355","505","1","1008205","233","2","205"
"106","406","-110","78","306","3","787","2","6","355","506","1","1008206","233","3","206"
"107","407","-110","88","307","3","777","2","7","345","507","1","1008207","233","3","207"
"108","408","-110","88","308","3","777","2","8","345","508","1","1008208","233","1","208"
"109","409","-110","88","309","3","777","2","9","345","509","1","1008209","233","1","209"
"110","410","-110","88","310","3","810","2","10","355","510","1","1008210","233","3","210"
"111","411","-110","88","311","3","777","2","11","345","511","1","1008211","233","2","211"
"112","412","-110","70","312","3","515","2","12","230","512","1","1008212","215","2","212"
"113","413","-110","78","313","3","810","2","13","355","513","1","1008213","233","1","213"
"114","414","-110","70","314","3","515","2","14","230","514","1","1008214","215","1","214"
"115","415","-110","70","315","3","515","2","15","230","515","1","1008215","215","3","215"
"116","416","-110","70","316","3","655","2","16","275","516","1","1008216","215","2","216"
"117","417","-110","70","317","3","515","2","17","230","517","1","1008217","215","3","217"
"118","418","-110","88","318","3","777","2","18","345","518","1","1008218","233","3","218"
