9e4383e854d4eea1266a6eeaf62966d9153f229ecc83fa9d3789098737384f67,e4522dbb549162e8ea98d20e8376ead0db794935f62b32161a97341aacf07546,f8fd60edee475eae08c584d945ef60641c4eef0d1f6d1c43d4914087ba863756,65c4b71f28e1825eafe4392facfe161b78ce0a1d1ce71de4c94db2e6753bd2e1,521a636d3c19cf37367390989f1df1fdee257b2216eaa489ccf5f42de6bb36c2,30a371d2563833ea04479858b3f904000c5ef8a36c011dc473788b09ca9cbd9b,b1c74539ca15ae0b6891c17d4935668ff3b4c8374bfbb9e06d10a263064aee4b,3d6c289276eb1535347180515704e6606cf9397dbcfc45ab1e4da40cab260d0b,01bec91c3d5e392da12d7ce7f680bf39eabfb631f4e6ed93869788ce24008605,80a77cbe2d6b9048ee9357a8fde1c6d27c17f7031cda19479ec56b89081b531a,8404e73c22e342ca396467cfb5dfa3ecdbb60bced42d197604fbefd16ccafd46,07869d0935580bb62f504cfe3b1b1246abf7934ec975969edf375b626467d09b
"1","0.8","0","4","1009801","0","1","0","0","0","0","100980101"
"2","0","0","2","1009801","0","0","0","0","vo_lsv_0101","vo_lsv","100980102"
"3","0","2","1","1009801","1","0","300","0","0","0","100980103"
"4","2.3","0","4","1009801","0","1","0","0","0","0","100980104"
"5","0","2","1","1009801","2","0","280","0","0","0","100980105"
"6","3","0","4","1009801","0","1","0","0","0","0","100980106"
"7","0","0","2","1009801","0","0","0","0","vo_lsv_0102","vo_lsv","100980107"
"8","0","2.05","1","1009801","3","0","300","0","0","0","100980108"
"9","2.05","0","4","1009801","0","1","0","0","0","0","100980109"
"10","0","1.8","1","1009801","4","0","327","0","0","0","100980110"
"11","2.8","0","4","1009801","0","1","0","0","0","0","100980111"
"12","0","0","2","1009801","0","0","0","0","vo_lsv_0103","vo_lsv","100980112"
"13","0","2.3","1","1009801","5","0","300","0","0","0","100980113"
"14","2.5","0","4","1009801","0","1","0","0","0","0","100980114"
"15","0","1.9","1","1009801","6","0","275","0","0","0","100980115"
"16","2.9","0","4","1009801","0","1","0","0","0","0","100980116"
"17","0","0","2","1009801","0","0","0","0","vo_lsv_0104","vo_lsv","100980117"
"18","0","2.7","1","1009801","7","0","300","0","0","0","100980118"
"19","2.9","0","4","1009801","0","1","0","0","0","0","100980119"
"20","0","2.3","1","1009801","8","0","310","0","0","0","100980120"
"21","2.3","0","4","1009801","0","1","0","0","0","0","100980121"
"22","0","1.8","1","1009801","9","0","250","0","0","0","100980122"
"23","2.8","0","4","1009801","0","1","0","0","0","0","100980123"
"24","0","0","2","1009801","0","0","0","0","vo_lsv_0105","vo_lsv","100980124"
"25","0","2.5","1","1009801","10","0","320","0","0","0","100980125"
"26","2.5","0","4","1009801","0","1","0","0","0","0","100980126"
"27","0","0.7","1","1009801","11","0","165","15","0","0","100980127"
"1","0.8","0","4","1009802","0","1","0","0","0","0","100980201"
"2","0","0","2","1009802","0","0","0","0","vo_lsv_0201","vo_lsv","100980202"
"3","0","1.51","1","1009802","1","0","300","0","0","0","100980203"
"4","1.51","0","4","1009802","0","1","0","0","0","0","100980204"
"5","0","1.5","1","1009802","2","0","300","0","0","0","100980205"
"6","2.5","0","4","1009802","0","1","0","0","0","0","100980206"
"7","0","0","2","1009802","0","0","0","0","vo_lsv_0202","vo_lsv","100980207"
"8","0","1.8","1","1009802","3","0","300","0","0","0","100980208"
"9","1.8","0","4","1009802","0","1","0","0","0","0","100980209"
"10","0","1.1","1","1009802","4","0","300","0","0","0","100980210"
"11","2.1","0","4","1009802","0","1","0","0","0","0","100980211"
"12","0","0","2","1009802","0","0","0","0","vo_lsv_0203","vo_lsv","100980212"
"13","0","1.95","1","1009802","5","0","300","0","0","0","100980213"
"14","1.95","0","4","1009802","0","1","0","0","0","0","100980214"
"15","0","2.05","1","1009802","6","0","310","0","0","0","100980215"
"16","2.05","0","4","1009802","0","1","0","0","0","0","100980216"
"17","0","0.8","1","1009802","7","0","150","0","0","0","100980217"
"18","1.8","0","4","1009802","0","1","0","0","0","0","100980218"
"19","0","0","2","1009802","0","0","0","0","vo_lsv_0204","vo_lsv","100980219"
"20","0","1.7","1","1009802","8","0","300","0","0","0","100980220"
"21","2.1","0","4","1009802","0","1","0","0","0","0","100980221"
"22","0","2.3","1","1009802","9","0","327","0","0","0","100980222"
"23","3.3","0","4","1009802","0","1","0","0","0","0","100980223"
"24","0","0","2","1009802","0","0","0","0","vo_lsv_0205","vo_lsv","100980224"
"25","0","1.83","1","1009802","10","0","300","0","0","0","100980225"
"26","2.4","0","4","1009802","0","1","0","0","0","0","100980226"
"27","0","1.7","1","1009802","11","0","300","0","0","0","100980227"
"28","2.1","0","4","1009802","0","1","0","0","0","0","100980228"
"29","0","1.1","1","1009802","12","0","210","0","0","0","100980229"
"30","0.5","0","4","1009802","0","1","0","0","0","0","100980230"
"1","0.8","0","4","1009803","0","1","0","0","0","0","100980301"
"2","0","0","2","1009803","0","0","0","0","vo_lsv_0301","vo_lsv","100980302"
"3","0","1.87","1","1009803","1","0","300","0","0","0","100980303"
"4","2","0","4","1009803","0","1","0","0","0","0","100980304"
"5","0","0.561","1","1009803","2","0","110","0","0","0","100980305"
"6","1.561","0","4","1009803","0","1","0","0","0","0","100980306"
"7","0","0","2","1009803","0","0","0","0","vo_lsv_0302","vo_lsv","100980307"
"8","0","1.3","1","1009803","2","0","320","110","0","0","100980308"
"9","1.3","0","4","1009803","0","1","0","0","0","0","100980309"
"10","0","1.2","1","1009803","3","0","227","0","0","0","100980310"
"11","2.2","0","4","1009803","0","1","0","0","0","0","100980311"
"12","0","0","2","1009803","0","0","0","0","vo_lsv_0303","vo_lsv","100980312"
"13","0","2.1","1","1009803","4","0","280","0","0","0","100980313"
"14","2.1","0","4","1009803","0","1","0","0","0","0","100980314"
"15","0","1.2","1","1009803","5","0","195","0","0","0","100980315"
"16","2.2","0","4","1009803","0","1","0","0","0","0","100980316"
"17","0","0","2","1009803","0","0","0","0","vo_lsv_0304","vo_lsv","100980317"
"18","0","1.305","1","1009803","6","0","300","0","0","0","100980318"
"19","1.305","0","4","1009803","0","1","0","0","0","0","100980319"
"20","0","2.181","1","1009803","7","0","325","0","0","0","100980320"
"21","2.781","0","4","1009803","0","1","0","0","0","0","100980321"
"22","0","1.32","1","1009803","8","0","250","0","0","0","100980322"
"23","2.32","0","4","1009803","0","1","0","0","0","0","100980323"
"24","0","0","2","1009803","0","0","0","0","vo_lsv_0305","vo_lsv","100980324"
"25","0","2.453","1","1009803","9","0","300","0","0","0","100980325"
"26","2.453","0","4","1009803","0","1","0","0","0","0","100980326"
"27","0","1.547","1","1009803","10","0","215","0","0","0","100980327"
"28","2.547","0","4","1009803","0","1","0","0","0","0","100980328"
"29","0","0","2","1009803","0","0","0","0","vo_lsv_0306","vo_lsv","100980329"
"30","0","1.95","1","1009803","11","0","300","0","0","0","100980330"
"31","2.95","0","4","1009803","0","1","0","0","0","0","100980331"
"32","0","0","2","1009803","0","0","0","0","vo_lsv_0307","vo_lsv","100980332"
"33","0","1.39","1","1009803","12","0","240","0","0","0","100980333"
"1","0.8","0","4","1009804","0","1","0","0","0","0","100980401"
"2","0","0","2","1009804","0","0","0","0","vo_lsv_0401","vo_lsv","100980402"
"3","0","2.4","1","1009804","1","0","300","0","0","0","100980403"
"4","2.4","0","4","1009804","0","1","0","0","0","0","100980404"
"5","0","0.6","1","1009804","2","0","150","0","0","0","100980405"
"6","1.6","0","4","1009804","0","1","0","0","0","0","100980406"
"7","0","0","2","1009804","0","0","0","0","vo_lsv_0402","vo_lsv","100980407"
"8","0","2.35","1","1009804","3","0","355","0","0","0","100980408"
"9","3.35","0","4","1009804","0","1","0","0","0","0","100980409"
"10","0","0","2","1009804","0","0","0","0","vo_lsv_0403","vo_lsv","100980410"
"11","0","1.669","1","1009804","4","0","300","0","0","0","100980411"
"12","2.1","0","4","1009804","0","1","0","0","0","0","100980412"
"13","0","1.7","1","1009804","5","0","230","0","0","0","100980413"
"14","2","0","4","1009804","0","1","0","0","0","0","100980414"
"15","0","1.35","1","1009804","6","0","230","0","0","0","100980415"
"16","2.85","0","4","1009804","0","1","0","0","0","0","100980416"
"17","0","0","2","1009804","0","0","0","0","vo_lsv_0404","vo_lsv","100980417"
"18","0","1.51","1","1009804","7","0","327","0","0","0","100980418"
"19","1.61","0","4","1009804","0","1","0","0","0","0","100980419"
"20","0","1.29","1","1009804","8","0","300","0","0","0","100980420"
"21","1.949","0","4","1009804","0","1","0","0","0","0","100980421"
"22","0","1.925","1","1009804","9","0","300","0","0","0","100980422"
"1","0.8","0","4","1009805","0","1","0","0","0","0","100980501"
"2","0","0","2","1009805","0","0","0","0","vo_lsv_0501","vo_lsv","100980502"
"3","0","2.115","1","1009805","1","0","300","0","0","0","100980503"
"4","3.115","0","4","1009805","0","1","0","0","0","0","100980504"
"5","0","0","2","1009805","0","0","0","0","vo_lsv_0502","vo_lsv","100980505"
"6","0","1.743","1","1009805","2","0","310","0","0","0","100980506"
"7","2.743","0","4","1009805","0","1","0","0","0","0","100980507"
"8","0","0","2","1009805","0","0","0","0","vo_lsv_0503","vo_lsv","100980508"
"9","0","1.86","1","1009805","3","0","300","0","0","0","100980509"
"10","2.26","0","4","1009805","0","1","0","0","0","0","100980510"
"11","0","1.667","1","1009805","4","0","300","0","0","0","100980511"
"12","2.324","0","4","1009805","0","1","0","0","0","0","100980512"
"13","0","2.168","1","1009805","5","0","310","0","0","0","100980513"
"14","3.168","0","4","1009805","0","1","0","0","0","0","100980514"
"15","0","0","2","1009805","0","0","0","0","vo_lsv_0504","vo_lsv","100980515"
"16","0","1.752","1","1009805","6","0","300","0","0","0","100980516"
"17","2.276","0","4","1009805","0","1","0","0","0","0","100980517"
"18","0","1.43","1","1009805","7","0","300","0","0","0","100980518"
"19","1.43","0","4","1009805","0","1","0","0","0","0","100980519"
"20","0","0.749","1","1009805","8","0","125","0","0","0","100980520"
"21","1.749","0","4","1009805","0","1","0","0","0","0","100980521"
"22","0","0","2","1009805","0","0","0","0","vo_lsv_0505","vo_lsv","100980522"
"23","0","0.65","1","1009805","8","0","300","125","0","0","100980523"
"24","0.65","0","4","1009805","0","1","0","0","0","0","100980524"
"25","0","1.753","1","1009805","9","0","300","0","0","0","100980525"
"26","1.753","0","4","1009805","0","1","0","0","0","0","100980526"
"27","0","0.929","1","1009805","10","0","160","0","0","0","100980527"
"28","1.929","0","4","1009805","0","1","0","0","0","0","100980528"
"29","0","0","2","1009805","0","0","0","0","vo_lsv_0506","vo_lsv","100980529"
"30","0","0.536","1","1009805","10","0","300","160","0","0","100980530"
"31","0.536","0","4","1009805","0","1","0","0","0","0","100980531"
"32","0","1.438","1","1009805","11","0","327","0","0","0","100980532"
"33","1.438","0","4","1009805","0","1","0","0","0","0","100980533"
"34","0","2.426","1","1009805","12","0","300","0","0","0","100980534"
"1","0.8","0","4","1009806","0","1","0","0","0","0","100980601"
"2","0","0","2","1009806","0","0","0","0","vo_lsv_0601","vo_lsv","100980602"
"3","0","2.5","1","1009806","1","0","330","0","0","0","100980603"
"4","2.5","0","4","1009806","0","1","0","0","0","0","100980604"
"5","0","1.5","1","1009806","2","0","270","0","0","0","100980605"
"6","2.5","0","4","1009806","0","1","0","0","0","0","100980606"
"7","0","0","2","1009806","0","0","0","0","vo_lsv_0602","vo_lsv","100980607"
"8","0","1.9","1","1009806","3","0","325","0","0","0","100980608"
"9","1.9","0","4","1009806","0","1","0","0","0","0","100980609"
"10","0","1.744","1","1009806","4","0","300","0","0","0","100980610"
"11","2.329","0","4","1009806","0","1","0","0","0","0","100980611"
"12","0","1.049","1","1009806","5","0","300","0","0","0","100980612"
"13","1.049","0","4","1009806","0","1","0","0","0","0","100980613"
"14","0","1.093","1","1009806","6","0","210","0","0","0","100980614"
"15","2.093","0","4","1009806","0","1","0","0","0","0","100980615"
"16","0","0","2","1009806","0","0","0","0","vo_lsv_0603","vo_lsv","100980616"
"17","0","1.9","1","1009806","7","0","300","0","0","0","100980617"
"18","1.9","0","4","1009806","0","1","0","0","0","0","100980618"
"19","0","2.4","1","1009806","8","0","300","0","0","0","100980619"
"20","2.4","0","4","1009806","0","1","0","0","0","0","100980620"
"21","0","1.65","1","1009806","9","0","300","0","0","0","100980621"
"22","2.65","0","4","1009806","0","1","0","0","0","0","100980622"
"23","0","0","2","1009806","0","0","0","0","vo_lsv_0604","vo_lsv","100980623"
"24","0","1.763","1","1009806","10","0","300","0","0","0","100980624"
