df6b7eb865d63c4b0507c68af1704862d4fab9e16597a35b7e5d4eac23f9dd5f,c9d0053ebeca8f0d39ef74a88439ca9b72d37c9a53722063f368d3020e887fb1,284937ee8af8069fd25932f0b265cae33b7a6ba09b5369fbfccb2a0f4e55f508,bf1160ed87073e969493b9e3fafb4b36a6959b3a3fb47ad8c631116389b4ce9a,002dd7b3117b252a9e418db5b18c18390889cd4f6755cb61557262b6d11a4693,57c68127a39460296fff76ab06cbd87207a628d7de06396bbd49a8469db78c24,5efb714ebd2fac2dcbe4076220ac559cb0178792e7e23132e747c7836fdcfe70,74c94ac7189729fd696705480180a8b75f1bcde535680086e7d28e1fe24a2a25,b3d17c04b7939fdbab593179925f1b8d796d3cc5402da56c5827856836ed0fb3,f9d01d423200317b48135d67cbb8e717647a3a3c1c226a28c946b48458c69d19,4ab4035a863442017d7f7ebae0f08fdc22c4c3e3d3f94214efc242057801cc5d,7655e1674874adbaaa16729d184fbd7f33fc6c8cebe76a4257c96c1208b90f8f,da10941dd7d95728a1a95493e62053ce7ea0256ab0ec6e3303bdac60330dd80c,c4050760d2e7a8c1a677b047f8e7776c15a021139b46c44c6b8cb632e4198843,c013530ddf711d8ec4f1156a6ff493b34dbb819164ed4a32d7221d411a97cc58,d541191fec3762dc4a003908a090202bc99f6902b0930a4de58d7760680b0ed2
"100101","獣人族","0","2","ヒヨリ","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","27","東山奈央","人助け、応援","155","8","A","16","人助けが大好き！　前向き格闘娘","44","トゥインクルウィッシュ"
"100201","ヒューマン","0","2","ユイ","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","5","種田梨沙","料理、人間観察","158","4","O","17","戦闘のサポートが得意な、心優しい少女","47","トゥインクルウィッシュ"
"100301","魔族","0","2","レイ","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","12","早見沙織","読書、乗馬、お茶","163","1","B","18","クールで何事にも真っ直ぐな剣士","46","トゥインクルウィッシュ"
"100401","ヒューマン","0","5","ミソギ","イタズラなら任せて！\nにいちゃん、引っかからないように気を付けなよー♪","10","諸星すみれ","いたずら、探検","128","8","O","9","探検好きのイタズラっ子","27","リトルリリカル"
"100501","獣人族","0","8","マツリ","？？？","25","下田麻美","ヒーローごっこ","146","11","O","12","ヒーローに憧れる騎士見習いの少女","40","王宮騎士団（NIGHTMARE）"
"100601","魔族","0","7","アカリ","アカリ、まだわからないことが多くて…\nだからこれから\nいろいろ教えてくださいね、お兄ちゃん！","22","浅倉杏美","サックス","150","11","O","13","甘え上手なみんなの人気者","42","悪魔偽王国軍（ディアボロス）"
"100701","魔族","0","7","ミヤコ","難しいことはわからないの～\nただ毎日プリンを食べられるなら、\n幽霊のままでいいの～","23","雨宮天","プリンを食べること","130","1","B","14","プリン大好きゴースト娘","32","悪魔偽王国軍（ディアボロス）"
"100801","エルフ","0","15","ユキ","ボクって本当に美しいなあ…\n可愛くて美しいなんて本当に罪だと思うけど\n生まれもったものだから仕方ないんだ♪","10","大空直美","鏡で自分を見ること","150","10","AB","14","ボクは誰よりも美しい","40","ヴァイスフリューゲル　ランドソル支部"
"100901","魔族","0","13","アンナ","いいか、絶対に私を真名で呼ぶなよ？\n常に「機関」の眼や耳の存在を疑え\nそれが、生きのびるための術だ…！","5","髙野麻美","小説執筆","159","7","A","17","前世を信じる中二病患者、「疾風の冥姫」","45","トワイライトキャラバン"
"101001","獣人族","0","10","マホ","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","22","内田真礼","空想、ぬいぐるみ集め","155","9","O","16","マホマホ王国のプリンセス","42","自警団（カォン）"
