acad087ebf16cf5d432472928efc2a8cd009ab2ca15f9db1a9c6f00985b7d347,953266bf23059b637a038a3a22d360996c24f6a334971f3bd087e4bf49d2618a,2b2dc9b97a5e98bc3bf5b58e3855ee9e009ada5e10b1109c3c5214e208320b0b,10a132ac37fc7f58b6591e694fa04b93ca3c1a93e0ca14a7e7d395477f9385c5,ec61e17b4c640e6402d9e6c6f54c7e4ce41a30d1d397a2872b413898310ccf69,522d633d4e06dca98c45b44d2a4c492b6c9cec27c33c70f5e9774e19d4cd3180,0bdb1fb36fb0a63fc3913b8615da3b815c50efe72030cb8973418eb0722e348d,b1defa741dbb26dde21581e969dc06ccaf3f48de7f98a266404dc32d87fe7091,cc0918a1701b753b4796bfddb438d98bb628c885cb7349948db7ddef0ec57f86,07060c322d8f449faf57358c93b91f045823c116459132042fccf4ff9ba53869,16131ab06b035924271fdf12b92f6f7ea66a61b13fe2d0096165c51ae8a4e4ef
"2","25021","2","91002","8","1","31","8","10","25011","281001001"
"2","25021","2","91002","8","2","31","8","10","25011","281001002"
"2","25021","2","91002","8","3","32","8","10","25011","281001003"
"2","25021","2","91002","8","4","32","8","10","25011","281001004"
"2","25021","2","91002","8","5","33","8","10","25011","281001005"
"2","25021","2","91002","9","6","33","8","10","25011","281001006"
"2","25021","2","91002","9","7","34","8","10","25011","281001007"
"2","25021","2","91002","9","8","35","8","10","25011","281001008"
"2","25021","2","91002","9","9","35","8","10","25011","281001009"
"2","25021","2","91002","10","10","37","8","30","25011","281001010"
"2","25021","2","91002","10","11","41","8","10","25011","281001011"
"2","25021","2","91002","11","12","43","8","10","25011","281001012"
"2","25021","2","91002","11","13","46","8","10","25011","281001013"
"2","25021","2","91002","12","14","48","8","10","25011","281001014"
"2","25021","2","91002","12","15","50","8","10","25011","281001015"
"2","25021","2","91002","13","16","53","8","10","25011","281001016"
"2","25021","2","91002","14","17","55","8","10","25011","281001017"
"2","25021","2","91002","14","18","58","8","10","25011","281001018"
"2","25021","2","91002","15","19","60","8","10","25011","281001019"
"2","25021","2","91002","15","20","62","8","30","25011","281001020"
"2","25021","2","91002","16","21","68","8","10","25011","281001021"
"2","25021","2","91002","16","22","70","8","10","25011","281001022"
"2","25021","2","91002","16","23","72","8","10","25011","281001023"
"2","25021","2","91002","17","24","75","8","10","25011","281001024"
"2","25021","2","91002","18","25","77","8","10","25011","281001025"
"2","25021","2","91002","18","26","79","8","10","25011","281001026"
"2","25021","2","91002","19","27","82","8","10","25011","281001027"
"2","25021","2","91002","19","28","84","8","10","25011","281001028"
"2","25021","2","91002","19","29","86","8","10","25011","281001029"
"2","25021","2","91002","20","30","89","8","30","25011","281001030"
"2","25021","2","91002","20","31","94","8","10","25011","281001031"
"2","25021","2","91002","21","32","96","8","10","25011","281001032"
"2","25021","2","91002","21","33","99","8","10","25011","281001033"
"2","25021","2","91002","22","34","101","8","10","25011","281001034"
"2","25021","2","91002","22","35","103","8","10","25011","281001035"
"2","25021","2","91002","23","36","106","8","10","25011","281001036"
"2","25021","2","91002","23","37","108","8","10","25011","281001037"
"2","25021","2","91002","24","38","111","8","10","25011","281001038"
"2","25021","2","91002","25","39","113","8","10","25011","281001039"
"2","25021","2","91002","25","40","115","8","30","25011","281001040"
"2","25021","2","91002","26","41","121","8","10","25011","281001041"
"2","25021","2","91002","27","42","123","8","10","25011","281001042"
"2","25021","2","91002","28","43","125","8","10","25011","281001043"
"2","25021","2","91002","28","44","128","8","10","25011","281001044"
"2","25021","2","91002","29","45","130","8","10","25011","281001045"
"2","25021","2","91002","30","46","132","8","10","25011","281001046"
"2","25021","2","91002","30","47","135","8","10","25011","281001047"
"2","25021","2","91002","31","48","137","8","10","25011","281001048"
"2","25021","2","91002","31","49","139","8","10","25011","281001049"
"2","25021","2","91002","31","50","142","8","30","25011","281001050"
"2","25021","2","91002","32","51","144","8","10","25011","281001051"
"2","25021","2","91002","32","52","146","8","10","25011","281001052"
"2","25021","2","91002","32","53","149","8","10","25011","281001053"
"2","25021","2","91002","33","54","152","8","10","25011","281001054"
"2","25021","2","91002","33","55","155","8","10","25011","281001055"
"2","25021","2","91002","33","56","157","8","10","25011","281001056"
"2","25021","2","91002","34","57","160","8","10","25011","281001057"
"2","25021","2","91002","34","58","163","8","10","25011","281001058"
"2","25021","2","91002","34","59","166","8","10","25011","281001059"
"2","25021","2","91002","35","60","169","8","30","25011","281001060"
"2","25021","2","91002","35","61","171","8","10","25011","281001061"
"2","25021","2","91002","35","62","174","8","10","25011","281001062"
"2","25021","2","91002","36","63","177","8","10","25011","281001063"
"2","25021","2","91002","36","64","180","8","10","25011","281001064"
"2","25021","2","91002","36","65","182","8","10","25011","281001065"
"2","25021","2","91002","37","66","185","8","10","25011","281001066"
"2","25021","2","91002","37","67","187","8","10","25011","281001067"
"2","25021","2","91002","37","68","190","8","10","25011","281001068"
"2","25021","2","91002","38","69","193","8","10","25011","281001069"
"2","25021","2","91002","38","70","196","8","30","25011","281001070"
