1fc3a5134b471f0f3dbd16961ba618d968e66fc6438d88610ddcea42f7b9c8c0,7939ff4ccedd9c4bc3cb718c1dc2908da9992bcb2af324dad0ffaa8723f7cfa3,fbd4d43f404325a05fe11c9d87e8e777d6063c1826c9c3eaf7456a674b3f8ae3,6e18cf5a6cd0e1ec203de0306113e56016bd208d7bb286d76c736d37fb0ad0a1,84f6c1c4e97c186d3f7d38fa7542e21a570550ab5336091ef34de159c6103042,d0a4fb3bddee2142ab63a142ed09edc53f8f88543a482d9b86b4dbcac4e1bffd,5ff6204e63c19b2aaa1b16e91a540184f1c287d3817565e3897befcda848be3c,a4f7f152ebdc047fb7f1ea1cdfd0ee11e1757a6288b306123754ca202f031f9c,eb13a8ef38d71c426c8b59bcca44e5d1fb9dd481e915131005c5539fe6a29dad,012d970c011a3d2122caf835c1cb81ce2dc382df3228765d1b42de62ffa1fb59,6c122293939b77874ad7ccc0f8994b5aa73599f98d69db2241f1b2ac3d4141d1
"1","64","-175","1","113511","1","1.65","pkb_idle_normal","100","1","1010001"
"1","","","113511","pkb_talk_wish","3","0.2","","1","","1010002"
"1","0","","vo_minigame_1006","vo_minigame_1006_top_101","21","","","0","","1010003"
"1","0","0","113511","今日も先生と一緒に\n頑張りましょうね～","11","0","0","8","0","1010004"
"1","","","0","","91","","","","","1010005"
"1","","","113511","pkb_idle_normal","3","0.2","","1","","1010006"
"2","64","-175","1","113511","1","1.65","pkb_idle_normal","100","1","1020001"
"2","","","113511","pkb_talk_wish","3","0.2","","1","","1020002"
"2","0","","vo_minigame_1006","vo_minigame_1006_top_102","21","","","0","","1020003"
"2","0","0","113511","みんなの力、先生は\n信じてますからね～！\nファイトですよ～♪","11","0","0.5","6","0","1020004"
"2","","","6","","93","","","","","1020005"
"2","pkb_idle_normal","1","113511","pkb_talk_fun","3","0.2","","0","","1020006"
"2","","","1020004","","91","","","","","1020007"
"2","","","113511","pkb_idle_normal","3","0.2","","1","","1020008"
"3","64","-175","1","113511","1","1.65","pkb_idle_normal","100","1","1030001"
"3","pkb_idle_normal","1","113511","pkb_smile","3","0.2","","0","0.2","1030002"
"3","0","","vo_minigame_1006","vo_minigame_1006_top_103","21","","","0","","1030003"
"3","0","0","113511","ケガには気を付けてね\n無理は禁物ですよ～♪","11","0","0","6","0","1030004"
"3","","","2","","93","","","","","1030005"
"3","","","113511","pkb_talk_wish","3","0.2","","1","","1030006"
"3","","","1030004","","91","","","","","1030007"
"3","","","113511","pkb_idle_normal","3","0.2","","1","","1030008"
"4","64","-155","3","3","5","57","pkb_idle_normal_l","100","1","1040001"
"4","pkb_idle_arm_crossed_l","1","3","pkb_talk_arm_crossed_l","3","0.2","","0","0.2","1040002"
"4","0","","vo_minigame_1006","vo_minigame_1006_top_601","21","","","0","","1040003"
"4","0","0","3","今日の練習も\n手加減しねえ！\nしっかりついてこい！","11","0","0","8","","1040004"
"4","","","0","","91","","","","","1040005"
"4","","","3","pkb_idle_normal_l","3","0.2","","1","","1040006"
"5","64","-155","3","3","5","57","pkb_idle_normal_l","100","1","1050001"
"5","pkb_idle_arm_crossed_l","1","3","pkb_talk_arm_crossed_l","3","0.2","","0","0.2","1050002"
"5","0","","vo_minigame_1006","vo_minigame_1006_top_602","21","","","0","","1050003"
"5","0","0","3","おーし！\n気合いいれて\n練習すんぞー！","11","0","0","8","","1050004"
"5","","","2","","93","","","","","1050005"
"5","pkb_idle_normal_l","1","3","pkb_talk_handsup_l","3","0.2","","0","0.2","1050006"
"5","","","1050004","","91","","","","","1050007"
"5","","","3","pkb_idle_normal_l","3","0.2","","1","","1050008"
"6","64","-155","3","3","5","57","pkb_idle_normal_l","100","1","1060001"
"6","pkb_idle_arm_crossed_l","1","3","pkb_talk_arm_crossed_l","3","0.2","","0","0.2","1060002"
"6","0","","vo_minigame_1006","vo_minigame_1006_top_603","21","","","0","","1060003"
"6","0","0","3","練習だからって\nだらしねえとこ\n見せるんじゃねえぞ？","11","0","0","8","","1060004"
"6","","","3","","93","","","","","1060005"
"6","pkb_idle_guts_l","1","3","pkb_talk_guts_l","3","0.2","","0","","1060006"
"6","","","1060004","","91","","","","","1060007"
"6","","","3","pkb_idle_normal_l","3","0.2","","1","","1060008"
"7","64","-175","1","113411","1","1.65","pkb_idle_normal","100","1","1070001"
"7","pkb_talk_joy1","1","113411","pkb_talk_fun","3","0.2","","0","0.2","1070002"
"7","0","","vo_minigame_1006","vo_minigame_1006_top_201","21","","","0","","1070003"
"7","0","0","113411","フレーフレー！\n今日もファイトだよ！\n張り切っていこー！","11","0","0","8","0","1070004"
"7","","","3.4","","93","","","","","1070005"
"7","pkb_idle_normal","1","113411","pkb_talk_handsup","3","0.2","","0","0.2","1070006"
"7","","","1070004","","91","","","","","1070007"
"7","","","113411","pkb_idle_normal","3","0.2","","1","","1070008"
"8","64","-175","1","113411","1","1.65","pkb_idle_normal","100","1","1080001"
"8","","","113411","pkb_talk_joy2","3","0.2","","1","","1080002"
"8","0","","vo_minigame_1006","vo_minigame_1006_top_202","21","","","0","","1080003"
"8","0","0","113411","ハツネちゃんも\n練習のお手伝いを\nしちゃうのだ～！\nきらーん☆","11","0","-1","8","0","1080004"
"8","","","3.6","","93","","","","","1080005"
"8","","","113411","pkb_hatsune_kiran","3","0.2","","0","","1080006"
"8","","","1080004","","91","","","","","1080007"
"8","","","113411","pkb_idle_normal","3","0.2","","1","","1080008"
"9","64","-175","1","113411","1","1.65","pkb_idle_normal","100","1","1090001"
"9","","","113411","pkb_talk_joy2","3","0.2","","1","","1090002"
"9","0","","vo_minigame_1006","vo_minigame_1006_top_203","21","","","0","","1090003"
