04ab2c3a2f1fc11ea1ced375a7c0be8c30a2404412cf4161523bc20526bd1ba7,b859e5f1626f095cd52c784e424ac9f28e226bbeb2ba3d0b3eb0506784adb76e,e0f5e099599ef817f8a0c375f7b326093f358a3553eb3fd1db54167f8a342edf,55d8c2ffb6dd72703a7604a2b361c6d6f906534f01f8fa06f3a199781b74e5fd,e4b4834d7ae8eac2f3b2d96dc9a9f38c03c2cc7574a908fe2e9092d28ce53274,7327e744ff0831dbefa70ff5ae506c04e4b130127a9c798674ec2224a3c03509,f21fe920718c6d2c53a676244591961999224ff51d2378d5ed0ea84ff7393783,0db54dc4deaf1ca9d303080b2a0fef5ef81176a43567a33113db7708567ec1ab,e8bff76a450f149ba7418998fdd25150f1636ffeb578b7cf0f2649a38e89b620,def99fb1f30cdb28c0b5dacfb809919da02bd1d39b239af7d12ca355853afb05,91ed17d9c968b086539cd50a26ecb69f290f1a9ddb1c23bc30cffe270a1dd914,8edcd043f68f17a6cc389aad7cae9677f85129d9a7c99a99d2cdb020bab0c177
"0","12","0","0","4","1","3","1","0","0","0","1120001"
"0","12","0","vo_nyx","2","0","0","2","0","0","vo_nyx_0101","1120002"
"1","12","0","0","1","0","0","3","280","2.698","0","1120003"
"0","12","0","0","4","3.334","1","4","0","0","0","1120004"
"0","12","0","vo_nyx","2","0","0","5","0","0","vo_nyx_0102","1120005"
"1","12","280","0","1","0","0","6","382","1.055","0","1120006"
"0","12","0","0","4","1.055","1","7","0","0","0","1120007"
"2","12","0","0","1","0","0","8","88","0.732","0","1120008"
"0","12","0","0","4","1.05","1","9","0","0","0","1120009"
"2","12","88","0","1","0","0","10","365","2.42","0","1120010"
"0","12","0","0","4","3.5","1","11","0","0","0","1120011"
"0","12","0","0","4","2","3","12","0","0","0","1120012"
"0","12","0","vo_nyx","2","0","0","13","0","0","vo_nyx_0103","1120013"
"3","12","0","0","1","0","0","14","82","0.815","0","1120014"
"0","12","0","0","4","1.157","1","15","0","0","0","1120015"
"3","12","82","0","1","0","0","16","372","2.763","0","1120016"
"0","12","0","0","4","2.763","1","17","0","0","0","1120017"
"4","12","0","0","1","0","0","18","250","2.388","0","1120018"
"0","12","0","0","4","3.338","1","19","0","0","0","1120019"
"0","12","0","vo_nyx","2","0","0","20","0","0","vo_nyx_0104","1120020"
"5","12","0","0","1","0","0","21","71","0.778","0","1120021"
"0","12","0","0","4","1.214","1","22","0","0","0","1120022"
"5","12","71","0","1","0","0","23","375","3.167","0","1120023"
"0","12","0","0","4","3.61","1","24","0","0","0","1120024"
"6","12","0","0","1","0","0","25","256","2.618","0","1120025"
"0","12","0","0","4","3.198","1","26","0","0","0","1120026"
"0","12","0","vo_nyx","2","0","0","27","0","0","vo_nyx_0105","1120027"
"6","12","256","0","1","0","0","28","392","1.4","0","1120028"
"0","12","0","0","4","1.448","1","29","0","0","0","1120029"
"7","12","0","0","1","0","0","30","296","2.927","0","1120030"
"0","12","0","0","4","3.811","1","31","0","0","0","1120031"
"0","12","0","0","4","3","3","32","0","0","0","1120032"
"0","12","0","vo_nyx","2","0","0","33","0","0","vo_nyx_0106","1120033"
"7","12","296","0","1","0","0","34","360","0.506","0","1120034"
"0","12","0","0","4","1.175","1","35","0","0","0","1120035"
"0","12","0","0","4","3","3","36","0","0","0","1120036"
"0","12","0","vo_nyx","2","0","0","37","0","0","vo_nyx_0107","1120037"
"8","12","0","0","1","0","0","38","159","1.439","0","1120038"
"0","12","0","0","4","1.439","1","39","0","0","0","1120039"
"8","12","159","0","1","0","0","40","315","1.462","0","1120040"
"0","12","0","0","4","2.178","1","41","0","0","0","1120041"
"0","12","0","vo_nyx","2","0","0","42","0","0","vo_nyx_0108","1120042"
"9","12","0","0","1","0","0","43","400","3.765","0","1120043"
"0","12","0","0","4","4.495","1","44","0","0","0","1120044"
"0","12","0","vo_nyx","2","0","0","45","0","0","vo_nyx_0109","1120045"
"10","12","0","0","1","0","0","46","132","1.137","0","1120046"
"0","12","0","0","4","1.484","1","47","0","0","0","1120047"
"10","12","132","0","1","0","0","48","395","2.686","0","1120048"
"0","12","0","0","4","2.686","1","49","0","0","0","1120049"
"11","12","0","0","1","0","0","50","85","0.736","0","1120050"
"0","12","0","0","4","1.06","1","51","0","0","0","1120051"
"0","12","0","vo_nyx","2","0","0","52","0","0","vo_nyx_0110","1120052"
"11","12","85","0","1","0","0","53","133","0.353","0","1120053"
"0","12","0","0","4","1.137","1","54","0","0","0","1120054"
"0","12","0","vo_nyx","2","0","0","55","0","0","vo_nyx_0111","1120055"
"12","12","0","0","1","0","0","56","333","2.51","0","1120056"
"0","12","0","0","4","3.164","1","57","0","0","0","1120057"
"0","12","0","vo_nyx","2","0","0","58","0","0","vo_nyx_0112","1120058"
"13","12","0","0","1","0","0","59","145","1.532","0","1120059"
"0","12","0","0","4","1.62","1","60","0","0","0","1120060"
"13","12","145","0","1","0","0","61","336","1.367","0","1120061"
"0","12","0","0","4","2.245","1","62","0","0","0","1120062"
"0","12","0","vo_nyx","2","0","0","63","0","0","vo_nyx_0113","1120063"
"14","12","0","0","1","0","0","64","85","1.116","0","1120064"
"0","12","0","0","4","1.735","1","65","0","0","0","1120065"
"14","12","85","0","1","0","0","66","185","1.048","0","1120066"
"0","12","0","0","4","2.848","1","67","0","0","0","1120067"
"0","13","0","0","4","1","3","1","0","0","0","1130001"
