e190ec2431c6796872bd7c325563bf3dd53153c7df6df57be465f48f6c5cd8dc,9174c64f55dc6343677fbc64df0595c90ad097d9e8d217ab59878d0613b942a2,f9e057055be6a45e598a0202f74c2e3e024d5205435e2115912b91f444384988,4ef59892c4f649453b6e644378a02dbbee8fb03f5da3a2615cb750f68fb74acb,feff75c2f11f9d4dd3172069757b3ec50e433bfb468ecec9ed4c56a429bd8ddd,e41b2ac55c1187036aad6463830f55377c52ff01cd8d9fce1f424c6b1fec6d46,4487be6d3a3cace79392533ba95e0a081905b4d2efab009b892ecfd2e5a8a87c,bf02efe8ac26ec952060c95b7fe529e3e8755a1052a9b09f6311f42390ced940,8e7a8d239d2d79b9360325cba183c683bb8035a255f30cd2224439184b5c813c,2a714d7bb03308c7b48123ba13f16064322e3bddc869c9ebecc82ede0a11812a,9291fb378aa4951ff679c1fc098eb72f89744e988728ae797338624b05fc623d,7d29ffa9c58ceee1a32f84d65ac1b48a145c50eeb3d60ec49e78a37ec8600506,b29371f1c30b16f1fdce20e1e438b9405eeab0f18ea650604fae868ba4385aac,372ffbea30a5eea802cd975fccbe008378f45620c60656d8ee9e792640272963,44c40b0fb8b835ba3d5451d05eb695e97f3d6f39f312b28c377d4f0102c6433e,6d6cacd4954ce016877b556244c3666a3ca62b7fd191c565084e2e4f4d1218fb
"12","2","8","91002","94002","2","200","90008","25021","2","500000","25011","10","400","50","1001001"
"12","2","8","91002","94002","2","200","90008","25021","2","500000","25012","10","400","50","1001002"
"12","2","8","91002","94002","2","200","90008","25021","2","500000","25013","10","400","50","1001003"
"12","2","8","91002","94002","2","200","90008","25021","2","500000","25014","10","400","50","1001004"
"12","2","8","91002","94002","2","200","90008","25021","2","500000","25015","10","400","50","1001005"
"12","2","8","91002","94002","2","200","90008","25021","2","500000","25011","10","400","50","1001006"
"12","2","8","91002","94002","2","200","90008","25021","2","500000","25012","10","400","50","1001007"
"12","2","8","91002","94002","2","200","90008","25021","2","500000","25013","10","400","50","1001008"
"12","2","8","91002","94002","2","200","90008","25021","2","500000","25014","10","400","50","1001009"
"12","2","8","91002","94002","2","200","90008","25001","2","500000","25015","10","400","10","1001010"
"12","2","8","91002","94002","2","200","90008","25021","2","500000","25011","10","400","50","1001011"
"12","2","8","91002","94002","2","200","90008","25021","2","500000","25012","10","400","50","1001012"
"12","2","8","91002","94002","2","200","90008","25021","2","500000","25013","10","400","50","1001013"
"12","2","8","91002","94002","2","200","90008","25021","2","500000","25014","10","400","50","1001014"
"12","2","8","91002","94002","2","200","90008","25021","2","500000","25015","10","400","50","1001015"
"12","2","8","91002","94002","2","200","90008","25021","0","500000","0","10","0","50","1001016"
"12","2","8","91002","94002","2","200","90008","25021","0","500000","0","10","0","50","1001017"
"12","2","8","91002","94002","2","200","90008","25021","0","500000","0","10","0","50","1001018"
"12","2","8","91002","94002","2","200","90008","25021","2","500000","25011","10","400","50","1002001"
"12","2","8","91002","94002","2","200","90008","25021","2","500000","25012","10","400","50","1002002"
"12","2","8","91002","94002","2","200","90008","25021","2","500000","25013","10","400","50","1002003"
"12","2","8","91002","94002","2","200","90008","25021","2","500000","25014","10","400","50","1002004"
"12","2","8","91002","94002","2","200","90008","25021","2","500000","25015","10","400","50","1002005"
"12","2","8","91002","94002","2","200","90008","25021","2","500000","25011","10","400","50","1002006"
"12","2","8","91002","94002","2","200","90008","25021","2","500000","25012","10","400","50","1002007"
"12","2","8","91002","94002","2","200","90008","25021","2","500000","25013","10","400","50","1002008"
"12","2","8","91002","94002","2","200","90008","25021","2","500000","25014","10","400","50","1002009"
"12","2","8","91002","94002","2","200","90008","25001","2","500000","25015","10","400","10","1002010"
"12","2","8","91002","94002","2","200","90008","25021","2","500000","25011","10","400","50","1002011"
"12","2","8","91002","94002","2","200","90008","25021","2","500000","25012","10","400","50","1002012"
