5f93c8cd914234b97274bfbc8e462d55f19aa145f56b4f1ca56d2918cbf5688f,961fb2c22641e614ac4b3b79bad0511c2280ad53c7f86255effa379d57f05562,e0a93b252c76d33eee62d444d032df0a0a51d0b38c6e00c06ca941b3e69b01f2,5365e3ee90cac02b3c671e4d628162b53c4047872661a49dea7c59af4b681074,cd0f96ed502ddcfa4b871c31855f40ac566e70c756e073667a5d28395c8a5406,4a4d9a6fcb5e344c6f2a0e8ff0bde2990a0f936aa644587289d1d7cf5bb65faf,a6fa3eab9f0cbb44d7a8f7b34e3d33b52b42be0ea3cbbcb837a11353262cbf4f,f6b4297e54cd905593c1728f2e225450fe97c896f7e0681015d040f91c4a28a0,e64d27274be530180518b4b63424c83dfcf784a0bd803fc895d91b1c121ec090,3e79069b6ab24492e978f8afa55985bc0cf83a82562e3f2997d0b1c1e30d13d8,a2bc334bb5197af9eebf588100936abc0c5fd9d90c882e185c9832ef63a48e70
"1回バトルしよう","7000","1","10000101","10000101","0","10","1000","0","2021/08/17 12:00:00","2021/08/24 11:59:59"
"5回バトルしよう","7000","5","10000102","10000102","0","10","1000","0","2021/08/17 12:00:00","2021/08/24 11:59:59"
"10回バトルしよう","7000","10","10000103","10000103","0","10","1000","0","2021/08/17 12:00:00","2021/08/24 11:59:59"
"15回バトルしよう","7000","15","10000104","10000104","0","10","1000","0","2021/08/17 12:00:00","2021/08/24 11:59:59"
"20回バトルしよう","7000","20","10000105","10000105","0","10","1000","0","2021/08/17 12:00:00","2021/08/24 11:59:59"
"25回バトルしよう","7000","25","10000106","10000106","0","10","1000","0","2021/08/17 12:00:00","2021/08/24 11:59:59"
"30回バトルしよう","7000","30","10000107","10000107","0","10","1000","0","2021/08/17 12:00:00","2021/08/24 11:59:59"
"35回バトルしよう","7000","35","10000108","10000108","0","10","1000","0","2021/08/17 12:00:00","2021/08/24 11:59:59"
"40回バトルしよう","7000","40","10000109","10000109","0","10","1000","0","2021/08/17 12:00:00","2021/08/24 11:59:59"
"ミソラに累積300万ダメージ与えよう","7001","3000000","10050501","10050501","0","50","1005","1005","2021/08/17 12:00:00","2021/08/24 11:59:59"
"ミソラに累積900万ダメージ与えよう","7001","9000000","10050502","10050502","0","50","1005","1005","2021/08/17 12:00:00","2021/08/24 11:59:59"
"ミソラに累積1500万ダメージ与えよう","7001","15000000","10050503","10050503","0","50","1005","1005","2021/08/17 12:00:00","2021/08/24 11:59:59"
"ミソラに1度のバトルで100万ダメージ与えよう","7002","1","10050511","10050511","1000000","51","1005","1005","2021/08/17 12:00:00","2021/08/24 11:59:59"
"ミソラに1度のバトルで300万ダメージ与えよう","7002","1","10050512","10050512","3000000","51","1005","1005","2021/08/17 12:00:00","2021/08/24 11:59:59"
"ランファに累積500万ダメージ与えよう","7001","5000000","10060601","10060601","0","60","1006","1006","2021/08/17 12:00:00","2021/08/24 11:59:59"
"ランファに累積1500万ダメージ与えよう","7001","15000000","10060602","10060602","0","60","1006","1006","2021/08/17 12:00:00","2021/08/24 11:59:59"
"ランファに累積2400万ダメージ与えよう","7001","24000000","10060603","10060603","0","60","1006","1006","2021/08/17 12:00:00","2021/08/24 11:59:59"
"ランファに1度のバトルで200万ダメージ与えよう","7002","1","10060611","10060611","2000000","61","1006","1006","2021/08/17 12:00:00","2021/08/24 11:59:59"
"ランファに1度のバトルで500万ダメージ与えよう","7002","1","10060612","10060612","5000000","61","1006","1006","2021/08/17 12:00:00","2021/08/24 11:59:59"
"アゾールドに累積300万ダメージ与えよう","7001","3000000","10070701","10070701","0","70","1007","1007","2021/08/17 12:00:00","2021/08/24 11:59:59"
"アゾールドに累積900万ダメージ与えよう","7001","9000000","10070702","10070702","0","70","1007","1007","2021/08/17 12:00:00","2021/08/24 11:59:59"
"アゾールドに累積1500万ダメージ与えよう","7001","15000000","10070703","10070703","0","70","1007","1007","2021/08/17 12:00:00","2021/08/24 11:59:59"
"アゾールドに1度のバトルで100万ダメージ与えよう","7002","1","10070711","10070711","1000000","71","1007","1007","2021/08/17 12:00:00","2021/08/24 11:59:59"
"アゾールドに1度のバトルで300万ダメージ与えよう","7002","1","10070712","10070712","3000000","71","1007","1007","2021/08/17 12:00:00","2021/08/24 11:59:59"
"カリザに累積500万ダメージ与えよう","7001","5000000","10080801","10080801","0","80","1008","1008","2021/08/17 12:00:00","2021/08/24 11:59:59"
"カリザに累積1500万ダメージ与えよう","7001","15000000","10080802","10080802","0","80","1008","1008","2021/08/17 12:00:00","2021/08/24 11:59:59"
"カリザに累積2400万ダメージ与えよう","7001","24000000","10080803","10080803","0","80","1008","1008","2021/08/17 12:00:00","2021/08/24 11:59:59"
"カリザに1度のバトルで200万ダメージ与えよう","7002","1","10080811","10080811","2000000","81","1008","1008","2021/08/17 12:00:00","2021/08/24 11:59:59"
"カリザに1度のバトルで500万ダメージ与えよう","7002","1","10080812","10080812","5000000","81","1008","1008","2021/08/17 12:00:00","2021/08/24 11:59:59"
