8ac436f568658c10d8d90634f15a7a048775b617c11eed8598c3aff07c814970,df24f488238b6c7297ad2a0b8e54cf24bb2b0c1d82ba84b9b79fbb573e8351e2,22c768ef9a8c98daf63a5528c899853e6fbf215a8660f8673632ad721cb26ca4,9043bf302bdaefb062f63d7aacac65fcb9526ca16cf339def767c63b8f8c2735,353b7f4e85cf221ef083bee85490b1219d009d780e5950a237a63f3755e9ca19,8c5e3c52224b9be3d9da431a1fdddbd54f0a1035451023244927751c6f70f9fc,fb0df23d5967cf2b9bb9dc773b3220804c20ba3bd0143375a3ad7f35ff9fedc1,1c96b41a1c45249359d85d1311cc86fe0f8a8be1a9c3dbff95632de51a99548c,805f4bfcb190d44ef1418735f903f655df3964a6a721163be4d4dadb6e2c7d38,3f70be6f119ab7c9d411c8cb32d129b3ce56851829a7504b49ef908b4447212c,fadd1e390cfd7837f87712edcf3a9ae6be3aa28dee1a0d9332bae0320c740797,6789b1116f2326862fe891c508d756ed76d91e8e6377d814607ddd5bb15aefd1,6abef51af88ac9d2898150792cc68defe6fd07dc7aca8b8e294406e1705ab5f7,62348dda261170e11492102ced120acb706a0e515d103c27b332aa7e310064dc,172bfefb5cfdbd6407e7207493eaf776d6d7b97bea10bb88ed57bed8c0bbc6d9,a030617003ffdb9a2108d0cf9d2f44f46f6058c0c4eab9b756a83cb4740cd721,da8297d338f27ab9d7457bb0daaf213c5875ebfda48e51bc25fca8608294e713,410385652b4340c1ab61b45ecc91b4c886b4d1c996357928fbc73916c4132d1b
"50","0","0","0","0","0","91002","0","1","0","0","8","0","0","1","0","0","10"
"10","0","0","0","0","0","91002","0","2","0","0","8","0","0","11","0","0","100"
"5","0","0","0","0","0","91002","0","3","0","0","8","0","0","101","0","0","200"
"3","0","0","0","0","0","91002","0","4","0","0","8","0","0","201","0","0","500"
"2","0","0","0","0","0","91002","0","5","0","0","8","0","0","501","0","0","1000"
"2","0","0","0","0","0","91002","0","6","0","0","8","0","0","1001","0","0","2000"
"1","0","0","0","0","0","91002","0","7","0","0","8","0","0","2001","0","0","3999"
"50","0","0","0","0","0","91002","0","8","0","0","8","0","0","4000","0","0","4000"
"50","0","0","0","0","0","91002","0","9","0","0","8","0","0","4100","0","0","4100"
"50","0","0","0","0","0","91002","0","10","0","0","8","0","0","4200","0","0","4200"
"50","0","0","0","0","0","91002","0","11","0","0","8","0","0","4300","0","0","4300"
"50","0","0","0","0","0","91002","0","12","0","0","8","0","0","4400","0","0","4400"
"50","0","0","0","0","0","91002","0","13","0","0","8","0","0","4500","0","0","4500"
"50","0","0","0","0","0","91002","0","14","0","0","8","0","0","4600","0","0","4600"
"50","0","0","0","0","0","91002","0","15","0","0","8","0","0","4700","0","0","4700"
"50","0","0","0","0","0","91002","0","16","0","0","8","0","0","4800","0","0","4800"
"50","0","0","0","0","0","91002","0","17","0","0","8","0","0","4900","0","0","4900"
"50","0","0","0","0","0","91002","0","18","0","0","8","0","0","5000","0","0","5000"
