d040bd1ff1326e3269e0188e86bfb1067c49cbebf7a1b1f79e10a3e9ae5b5e15,c4b4e4879d0e14d6217c8e54699947654634a3bbd5b10c952a2aeaab7d1048a6,5940519f5ddde2bb734025e1dac8ef2811f8db112ee231ccd249ac0a0f0d0ead,c2de7396b20a9904bf90851e7607e046bf55da6f9b0e82efe0e27ea892fb590c,a9fbcc838393db20632273ec36403409e98391a047b9eaa67ded35fddd4a41b6,dd5c84fb3f5d77e69c78787244c5258d665459530168aef52251283d6a2e5701
"10008001","0","1","10008","1","10008103"
"10008002","0","1","10008","2","10008104"
"10008003","0","1","10008","3","10008105"
"10008004","0","1","10008","4","10008107"
"10008005","0","1","10008","5","10008111"
"10008006","0","2","10008","201","0"
"10008201","0","201","10008","101","10008105"
"10008202","0","201","10008","102","10008107"
"10008203","0","201","10008","103","10008111"
"10008204","0","202","10008","111","10008115"
"10008301","0","101","10008","105601","0"
"10008302","0","101","10008","100901","10008103"
"10008303","0","101","10008","101301","10008104"
"10008304","0","101","10008","105601","10008105"
"10008305","0","101","10008","101301","10008107"
"10008306","0","101","10008","100901","10008111"
"10008307","0","102","10008","105601","0"
"10010001","0","2","10010","201","0"
"10010002","0","1","10010","2","10010112"
"10010003","0","1","10010","3","10010115"
"10010004","0","1","10010","4","10010103"
"10010005","0","1","10010","5","10010105"
"10010006","0","1","10010","6","10010107"
"10010007","0","1","10010","7","10010109"
"10010201","0","211","10010","101","10010112"
"10010202","0","211","10010","0","10010115"
"10010501","101471","501","10010","101461","10010110"
"10010502","101472","501","10010","101462","10010110"
"10010503","101473","501","10010","101463","10010110"
"10010531","0","3","10010","211","1001004"
"10012001","0","4","10012","1","1001201"
"10012002","0","4","10012","2","1001202"
"10012003","0","4","10012","3","1001203"
"10012004","0","4","10012","4","1001204"
"10012301","0","5","10012","101","1001201"
"10012302","0","5","10012","101","1001202"
"10012303","0","5","10012","101","1001203"
"10012401","0","6","10012","501","0"
"10012531","0","3","10012","211","1001204"
"10013531","0","3","10013","211","1001304"
"10015531","0","3","10015","211","1001504"
"10017001","0","1","10017","1","10017102"
"10017002","0","1","10017","2","10017108"
"10017003","0","1","10017","3","10017115"
"10017301","0","101","10017","105801","0"
"10017302","0","101","10017","109901","10017102"
"10017303","0","102","10017","109901","0"
"10017531","0","3","10017","211","1001704"
"10021001","101931","501","10021","101921","10021112"
"10021002","101932","501","10021","101922","10021112"
"10021003","101933","501","10021","101923","10021112"
"10021004","100351","501","10021","100011","10021112"
"10021005","100352","501","10021","100012","10021112"
"10021006","100353","501","10021","100013","10021112"
"10021007","100354","501","10021","100014","10021112"
"10021008","100355","501","10021","100015","10021112"
"10021009","100356","501","10021","100016","10021112"
"10021010","100357","501","10021","100017","10021112"
"10021011","100358","501","10021","100018","10021112"
"10021012","100359","501","10021","100019","10021112"
"10039531","0","3","10039","211","1003904"
"10053001","0","1","10053","1","10053102"
"10053002","0","1","10053","2","10053108"
"10053003","0","1","10053","3","10053115"
"10053301","0","101","10053","105801","0"
"10053302","0","101","10053","109901","10053102"
"10053303","0","102","10053","109901","0"
"10053531","0","3","10053","211","1005304"
"10084001","0","1","10084","1","10084102"
"10084002","0","1","10084","2","10084112"
"10084003","0","1","10084","3","10084115"
"10085001","0","1","10085","1","10085102"
"10085002","0","1","10085","2","10085108"
"10085003","0","1","10085","3","10085115"
"10112001","0","1","10112","1","10112102"
"10112002","0","1","10112","2","10112112"
"10112003","0","1","10112","3","10112115"
"10113001","0","1","10113","1","10113102"
"10113002","0","1","10113","2","10113108"
"10113003","0","1","10113","3","10113115"
"10153001","0","1","10153","1","10153102"
"10153002","0","1","10153","2","10153108"
"10153003","0","1","10153","3","10153115"
"10153301","0","101","10153","105801","0"
"10153302","0","101","10153","109901","10153102"
"10153303","0","102","10153","109901","0"
"10153531","0","3","10153","211","1015304"
"20008001","0","1","20008","1","20008103"
"20008002","0","1","20008","2","20008104"
"20008003","0","1","20008","3","20008105"
"20008004","0","1","20008","4","20008107"
"20008005","0","1","20008","5","20008111"
"20008006","0","2","20008","201","0"
"20008201","0","201","20008","101","20008105"
"20008202","0","201","20008","102","20008107"
"20008203","0","201","20008","103","20008111"
"20008204","0","202","20008","111","20008115"
"20008301","0","101","20008","105601","0"
"20008302","0","101","20008","100901","20008103"
"20008303","0","101","20008","101301","20008104"
"20008304","0","101","20008","105601","20008105"
"20008305","0","101","20008","101301","20008107"
"20008306","0","101","20008","100901","20008111"
"20008307","0","102","20008","105601","0"
"20010001","0","2","20010","201","0"
"20010002","0","1","20010","1","20010110"
"20010003","0","1","20010","2","20010112"
"20010004","0","1","20010","3","20010115"
"20010005","0","1","20010","4","20010103"
"20010006","0","1","20010","5","20010105"
"20010007","0","1","20010","6","20010107"
"20010008","0","1","20010","7","20010109"
"20010201","0","211","20010","101","20010112"
"20010202","0","211","20010","0","20010115"
"20010501","101471","501","20010","101461","20010110"
"20010502","101472","501","20010","101462","20010110"
"20010503","101473","501","20010","101463","20010110"
"20010531","0","3","20010","211","2001004"
"20012001","0","4","20012","1","2001201"
"20012002","0","4","20012","2","2001202"
"20012003","0","4","20012","3","2001203"
"20012004","0","4","20012","4","2001204"
"20012301","0","5","20012","101","2001201"
"20012302","0","5","20012","101","2001202"
"20012303","0","5","20012","101","2001203"
"20012401","0","6","20012","501","0"
"20012531","0","3","20012","211","2001204"
"20014531","0","3","20014","211","2001404"
"20016001","101931","501","20016","101921","20016112"
"20016002","101932","501","20016","101922","20016112"
"20016003","101933","501","20016","101923","20016112"
"20016004","100351","501","20016","100011","20016112"
"20016005","100352","501","20016","100012","20016112"
"20016006","100353","501","20016","100013","20016112"
"20016007","100354","501","20016","100014","20016112"
"20016008","100355","501","20016","100015","20016112"
"20016009","100356","501","20016","100016","20016112"
"20016010","100357","501","20016","100017","20016112"
"20016011","100358","501","20016","100018","20016112"
"20016012","100359","501","20016","100019","20016112"
"20046001","0","1","20046","1","20046102"
"20046002","0","1","20046","2","20046112"
"20046003","0","1","20046","3","20046115"
"20047001","0","1","20047","1","20047102"
"20047002","0","1","20047","2","20047108"
"20047003","0","1","20047","3","20047115"
