8c1837288c4cd8eed8b9c49c6530b5c59856828000e8cc004f5b6676b00d5e35,18ddd4da8c356a71a3e6c2cca0375ee139b88cf5d8dbf3e2eaa15b1c0bb2eda8,7e6a93e419b672b21e7aaf6b46884a04d64ae5de708fa48ee0fc8b79f4a30ceb,a368689ebdf15e9758556a66db2a106d98ec8f06bf40e87e46ba92cd00c50176,d053c2ab7d27b9bae94d6f58bac34428d1491eca968348cca307791d97dd00e7,e1c4f1ba6ae021012bc135b7b4067001448022fdca3e623783ea27272ebbd004
"2","1","500","10","1","10"
"3","1","500","10","1","20"
"4","1","500","10","1","30"
"5","1","500","10","1","40"
"6","1","500","10","1","50"
"7","1","500","10","1","60"
"8","1","500","10","1","70"
"9","1","500","10","1","80"
"10","1","500","10","1","90"
"11","1","500","15","1","105"
"12","1","500","15","1","120"
"13","1","500","15","1","135"
"14","1","500","15","1","150"
"15","1","500","15","1","165"
"16","1","500","15","1","180"
"17","1","500","15","1","195"
"18","1","500","15","1","210"
"19","1","500","15","1","225"
"20","1","500","15","1","240"
"21","1","500","25","1","265"
"22","1","500","25","1","290"
"23","1","500","25","1","315"
"24","1","500","25","1","340"
"25","1","500","25","1","365"
"26","1","500","25","1","390"
"27","1","500","25","1","415"
"28","1","500","25","1","440"
"29","1","500","25","1","465"
"30","1","500","25","1","490"
"31","2","500","40","1","530"
"32","2","500","40","1","570"
"33","2","500","40","1","610"
"34","2","500","40","1","650"
"35","2","500","40","1","690"
"36","2","500","40","1","730"
"37","2","500","40","1","770"
"38","2","500","40","1","810"
"39","2","500","40","1","850"
"40","2","500","40","1","890"
"41","2","500","50","1","940"
"42","2","500","50","1","990"
"43","2","500","50","1","1040"
"44","2","500","50","1","1090"
"45","2","500","50","1","1140"
"46","2","500","50","1","1190"
"47","2","500","50","1","1240"
"48","2","500","50","1","1290"
"49","2","500","50","1","1340"
"50","2","500","50","1","1390"
"51","3","500","60","1","1450"
"52","3","500","60","1","1510"
"53","3","500","60","1","1570"
"54","3","500","60","1","1630"
"55","3","500","60","1","1690"
"56","3","500","60","1","1750"
"57","3","500","60","1","1810"
"58","3","500","60","1","1870"
"59","3","500","60","1","1930"
"60","3","500","60","1","1990"
"61","3","600","75","1","2065"
"62","3","600","75","1","2140"
"63","3","600","75","1","2215"
"64","3","600","75","1","2290"
"65","3","600","75","1","2365"
"66","3","600","75","1","2440"
"67","3","600","75","1","2515"
"68","3","600","75","1","2590"
"69","3","600","75","1","2665"
"70","3","600","75","1","2740"
"71","4","600","100","1","2840"
"72","4","600","100","1","2940"
"73","4","600","100","1","3040"
"74","4","600","100","1","3140"
"75","4","600","100","1","3240"
"76","4","600","100","1","3340"
"77","4","600","100","1","3440"
"78","4","600","100","1","3540"
"79","4","600","100","1","3640"
"80","4","600","100","1","3740"
"81","4","600","125","1","3865"
"82","4","600","125","1","3990"
"83","4","600","125","1","4115"
"84","4","600","125","1","4240"
"85","4","600","125","1","4365"
"86","4","600","125","1","4490"
"87","4","600","125","1","4615"
"88","4","600","125","1","4740"
"89","4","600","125","1","4865"
"90","4","600","125","1","4990"
"91","5","600","150","1","5140"
"92","5","600","150","1","5290"
"93","5","600","150","1","5440"
"94","5","600","150","1","5590"
"95","5","600","150","1","5740"
"96","5","600","150","1","5890"
"97","5","600","150","1","6040"
"98","5","600","150","1","6190"
"99","5","600","150","1","6340"
"100","5","600","150","1","6490"
"101","5","600","175","1","6665"
"102","5","600","175","1","6840"
"103","5","600","175","1","7015"
"104","5","600","175","1","7190"
"105","5","600","175","1","7365"
"106","5","600","175","1","7540"
"107","5","600","175","1","7715"
"108","5","600","175","1","7890"
"109","5","600","175","1","8065"
"110","5","600","175","1","8240"
"111","6","600","200","1","8440"
"112","6","600","200","1","8640"
"113","6","600","200","1","8840"
"114","6","600","200","1","9040"
"115","6","600","200","1","9240"
"116","6","600","200","1","9440"
"117","6","600","200","1","9640"
"118","6","600","200","1","9840"
"119","6","600","200","1","10040"
"120","6","600","200","1","10240"
"121","6","600","225","1","10465"
"122","6","600","225","1","10690"
"123","6","600","225","1","10915"
"124","6","600","225","1","11140"
"125","6","600","225","1","11365"
"126","6","600","225","1","11590"
"127","6","600","225","1","11815"
"128","6","600","225","1","12040"
"129","6","600","225","1","12265"
"130","6","600","225","1","12490"
"131","7","600","250","1","12740"
"132","7","600","250","1","12990"
"133","7","600","250","1","13240"
"134","7","600","250","1","13490"
"135","7","600","250","1","13740"
"136","7","600","250","1","13990"
"137","7","600","250","1","14240"
"138","7","600","250","1","14490"
"139","7","600","250","1","14740"
"140","7","600","250","1","14990"
"141","8","600","250","1","15240"
"142","8","600","250","1","15490"
"143","8","600","250","1","15740"
"144","8","600","250","1","15990"
"145","8","600","250","1","16240"
"146","8","600","250","1","16490"
"147","8","600","250","1","16740"
"148","8","600","250","1","16990"
"149","8","600","250","1","17240"
"150","8","600","250","1","17490"
"151","9","600","250","1","17740"
"152","9","600","250","1","17990"
"153","9","600","250","1","18240"
"154","9","600","250","1","18490"
"155","9","600","250","1","18740"
"156","9","600","250","1","18990"
"157","9","600","250","1","19240"
"158","9","600","250","1","19490"
"159","9","600","250","1","19740"
"160","9","600","250","1","19990"
"161","10","600","250","1","20240"
"162","10","600","250","1","20490"
"163","10","600","250","1","20740"
"164","10","600","250","1","20990"
"165","10","600","250","1","21240"
"166","10","600","250","1","21490"
"167","10","600","250","1","21740"
"168","10","600","250","1","21990"
"169","10","600","250","1","22240"
"170","10","600","250","1","22490"
"171","11","600","250","1","22740"
"172","11","600","250","1","22990"
"173","11","600","250","1","23240"
"174","11","600","250","1","23490"
"175","11","600","250","1","23740"
"176","11","600","250","1","23990"
"177","11","600","250","1","24240"
"178","11","600","250","1","24490"
"179","11","600","250","1","24740"
"180","11","600","250","1","24990"
"181","12","600","250","1","25240"
"182","12","600","250","1","25490"
"183","12","600","250","1","25740"
"184","12","600","250","1","25990"
"185","12","600","250","1","26240"
"186","12","600","250","1","26490"
"187","12","600","250","1","26740"
"188","12","600","250","1","26990"
"189","12","600","250","1","27240"
"190","12","600","250","1","27490"
"191","13","600","250","1","27740"
"192","13","600","250","1","27990"
"193","13","600","250","1","28240"
"194","13","600","250","1","28490"
"195","13","600","250","1","28740"
"196","13","600","250","1","28990"
"197","13","600","250","1","29240"
"198","13","600","250","1","29490"
"199","13","600","250","1","29740"
"200","13","600","250","1","29990"
"201","14","600","250","1","30240"
"202","14","600","250","1","30490"
"203","14","600","250","1","30740"
"204","14","600","250","1","30990"
"205","14","600","250","1","31240"
"206","14","600","250","1","31490"
"207","14","600","250","1","31740"
"208","14","600","250","1","31990"
"209","14","600","250","1","32240"
"210","14","600","250","1","32490"
"211","15","680","250","1","32740"
"212","15","680","250","1","32990"
"213","15","680","250","1","33240"
"214","15","680","250","1","33490"
"215","15","680","250","1","33740"
"216","15","680","250","1","33990"
"217","15","680","250","1","34240"
"218","15","680","250","1","34490"
"219","15","680","250","1","34740"
"220","15","680","250","1","34990"
"221","16","680","250","1","35240"
"222","16","680","250","1","35490"
"223","16","680","250","1","35740"
"224","16","680","250","1","35990"
"225","16","680","250","1","36240"
"226","16","680","250","1","36490"
"227","16","680","250","1","36740"
"228","16","680","250","1","36990"
"229","16","680","250","1","37240"
"230","16","680","250","1","37490"
"231","17","680","250","1","37740"
"232","17","680","250","1","37990"
"233","17","680","250","1","38240"
