e3f74371adc3a4bca02204a7d729b86e92f0c3a7d56da3512e152b0a9b45a522,d3bdfef04916221b1d0dbe1661e798d2cd2f99a67c96b9394c32f48c5a64a6ea,3d4c8442baad2990336668acde0c1cea973320e3a1bd07e4b76f4f3fa56cb942,b83837158124c7bcf55e4cf6c19ca687f71f330774eef6591d1dade88372973d,fb42cfaf8fbfbcdb1ee0d96c0fc2fcdfaf49af4a5694205379308f0aea5b94c3,f4b98a31de4d61e5425d6d4241ed07d26dee2e5c9f85700d74a63f04a6bf085c,3492e8a09ef6eb04a1ad047c51bbafd51d7601e25f5c5b1855165a1370234d36,080da98d0f9daa7beac394ac286c47799fa9a1740620f3c79c81235544f5c3bf,abd46a990fa61eedf25f08c2712327fac76010a4e725345f7920b7c7f8033d33,a838e7c125d2a80cf35167a9ba4d4e428bbdfd91bbefc4eb1681dc8dde737c6c,ffcb4387b31c7b6b42e71b9d05344bb968f7ac841948155088014d1434fe3cad
"1001","0","1","0","0","10011105","1","0","pt","2","10011"
"1002","0","2","0","0","10015103","1","1","m","2","10015"
"1003","5021700","3","0","0","10021108","1","0","pt","2","10021"
"1004","5027700","4","0","0","5027007","1","0","pt","3","10027"
"1005","5040700","5","0","0","10040105","1","0","pt","2","10040"
"1006","0","6","5046006","1","5046006","1","0","pt","1","10046"
"1007","0","7","5072006","3","5072006","1","0","pt","3","10072"
"1008","5080700","8","5080000","3","5080007","0","0","pt","3","10080"
"1009","9004201","9","0","0","0","0","0","pt","0","0"
"1010","5096700","10","5096007","3","5096007","1","0","pt","1","10096"
"1012","0","11","5126000","3","10126107","1","0","pt","2","10126"
"1013","5142700","12","5142000","1","5142007","1","0","pt","3","10142"
"1014","5156700","13","5156000","1","5156007","1","0","pt","3","10156"
