1768640b42b9bd0ce2c6724ee90bc62d5c1a098fab1ed79ebc96909432d78045,3a46ef3d791a28b2d79c7ff43a7481ba62c007c9eb723e1e9bf9e1d8df78acbb,b35f38cd4fdd3b8709d4b9699776df0faa8446280d856a8b72502fade6f15da4,fc81c353f9b41bebf800e48d5a73cf9eaf4bae4ab44b538268cc456c5012b15f,528607d11809de20e3f43b095b629dfa7378d83385e2d2d99ec8ad1ff1f98253
"150000","12","94002","10000101","100001011"
"6","2","22003","10000101","100001012"
"500000","12","94002","10000102","100001021"
"6","2","22003","10000102","100001022"
"500000","12","94002","10000103","100001031"
"3","4","140001","10000103","100001032"
"3","2","25001","10000103","100001033"
"500000","12","94002","10000104","100001041"
"6","2","22003","10000104","100001042"
"500000","12","94002","10000105","100001051"
"4","4","140001","10000105","100001052"
"4","2","25001","10000105","100001053"
"500000","12","94002","10000106","100001061"
"6","2","22003","10000106","100001062"
"500000","12","94002","10000107","100001071"
"4","4","140001","10000107","100001072"
"4","2","25001","10000107","100001073"
"500000","12","94002","10000108","100001081"
"6","2","22003","10000108","100001082"
"500000","12","94002","10000109","100001091"
"4","4","140001","10000109","100001092"
"4","2","25001","10000109","100001093"
"120000","12","94002","10050501","100505011"
"3","2","22003","10050501","100505012"
"120000","12","94002","10050502","100505021"
"4","2","22003","10050502","100505022"
"120000","12","94002","10050503","100505031"
"4","2","22003","10050503","100505032"
"120000","12","94002","10050511","100505111"
"3","2","22003","10050511","100505112"
"160000","12","94002","10050512","100505121"
"4","2","22003","10050512","100505122"
"120000","12","94002","10060601","100606011"
"3","2","22003","10060601","100606012"
"120000","12","94002","10060602","100606021"
"4","2","22003","10060602","100606022"
"120000","12","94002","10060603","100606031"
"4","2","22003","10060603","100606032"
"120000","12","94002","10060611","100606111"
"3","2","22003","10060611","100606112"
"160000","12","94002","10060612","100606121"
"4","2","22003","10060612","100606122"
"120000","12","94002","10070701","100707011"
"3","2","22003","10070701","100707012"
"120000","12","94002","10070702","100707021"
"4","2","22003","10070702","100707022"
"120000","12","94002","10070703","100707031"
"4","2","22003","10070703","100707032"
"120000","12","94002","10070711","100707111"
"3","2","22003","10070711","100707112"
"160000","12","94002","10070712","100707121"
"4","2","22003","10070712","100707122"
"120000","12","94002","10080801","100808011"
"3","2","22003","10080801","100808012"
"120000","12","94002","10080802","100808021"
"4","2","22003","10080802","100808022"
"120000","12","94002","10080803","100808031"
"4","2","22003","10080803","100808032"
"120000","12","94002","10080811","100808111"
"3","2","22003","10080811","100808112"
"160000","12","94002","10080812","100808121"
"4","2","22003","10080812","100808122"
