4e8ac6c18eef631a28073bbafb1b0b6d2f82c8f2ea5bb8c77aec1d9d22c2a512,9f078df09201d58712814b93e084b64b035c5fa564a05a6ce5ec5dcf015c79cc,2a8a3e089de2df295b2eeba3641d52ecbc076aa99ff1750e2b34aa29766de07b,cc9acf448b4f7839bce4cba08af2d924c784aa29a3a3a649c705fafcb64d1af4
"1","スロウ","1","8"
"2","ヘイスト","2","8"
"3","麻痺","3","8"
"4","凍結","4","8"
"5","束縛","5","8"
"6","睡眠","6","8"
"7","スタン","7","8"
"8","石化","8","8"
"9","拘留","9","8"
"10","拘留(ダメージ)","0","9"
"11","毒","1","9"
"12","火傷","2","9"
"13","呪い","3","9"
"14","魅了","0","11"
"15","暗闇","-1","12"
"16","沈黙","-1","13"
"17","即死","-1","30"
"18","ノックバック","-1","3"
"19","混乱","1","11"
"20","猛毒","4","9"
"21","千里眼","-1","56"
"22","回復阻害","-1","59"
"23","恐慌","-1","61"
"24","刻印付与","-1","60"
"25","畏怖","-1","62"
"26","トナカイ化","-1","69"
"27","気絶","10","8"
"28","呪詛","5","9"
"29","ＨＰ変化","-1","70"
"30","時間停止","11","8"
"31","ＨＰ回復量減少","-1","76"
"32","弱体被ダメージ上昇","-1","78"
"33","行動時毒ダメージ","1","79"
"34","スタン（別枠）","14","8"
"35","毒（別枠）","7","9"
"36","呪い（別枠）","8","9"
"37","混乱（別枠）","2","11"
"38","結晶化","13","8"
"39","スロウ(加算可能)","1","83"
"40","ヘイスト(加算可能)","2","83"
"41","バフ消去","3","49"
"42","バリア消去","10","49"
"43","黒炎","9","9"
"44","ヘイストフィールド","2","99"
"45","スロウフィールド","1","99"
"46","バフ消去（指定）","20","49"
"47","殴り刻印（攻撃ヒット）","5","101"
"48","行動時界雷ダメージ","10","79"
"49","状態異常時間延長","9","112"
"50","執着状態","1","116"
"51","アラクネ拘束","15","117"
"52","操糸","3","11"
"53","絶怠霊度","11","9"
