3ae416bdeed6c4b6a6f70291ddcf53266c6ad8bf0b292883dc45b0527d9ea864,51f6dc4471ea89fdd3cdeeb3288047bc5b39c61a1ff55a6b7713cbf2559b0d73,bf1656918f4f2249f3286c2738dc1e03f735f7d2295b81426af459d22bd4cc3b,4ee74521e684babf967a6838f30ffccf37b1e3a5b1dcd7049728a15a5e23680f,3d2e9da6a09370ca9f4c4dabde7cab70b0f8a581012eac083fad8b9545b206ff,0012aedc2d6ec125331969349f7ae60272d58225cb127e594602a47fefec3c87,826ec1532b0ab61e58de868aa6d6ff7b9c129b611891037cc0bddefcbc537ed8,6f3b3abe82e26a5e87c0de3a87c9a704be7a4d15ea4a7c78b75c6e8f54a5e69f,237522c881fb41b8664a4c0e5dea4bf4391856b593cb5829d7137c6814c2834e,da89c2619862b624e233c5723970a355196f04461cfd95f12e5336772648c29a,e1f20ee0a2793ad425e7fc29c7e8195891e50d3b765981720bad12246d8848d3,45c990e983ef9a367b1eb74d4d0d90aacd4682740a43f0479759ffc32cd674f5,f0df05e3eca7979d79b19368c63d9d66c947ef739c106c3dbf69b7fcd97bca2d,077c00bb5e2d43149b5303e353d8ecd435da27cc741e57d73674b6a6417a7044,37d96aa3b6b02f8e3486eff1043380f89dd40f00acb7d70d475e76bbc55fa708,a2a028dfa1171eefdccab494fc3f65f289360213dd939fd365196a79380cc44f,bb956f8e42b653482278f8d58c062bd2a9bde2099c741ffdf8f2fc5d10e388e5,daba1eda0d12160b456b65354c8fff451944b72c88f0060da59905f9750c9a75,a3e5031e56a1d4ad9fa9eed4b51ba61ef0ed5e6539c1774f4170bbd1a98e27af
"10132","1","5","12","0","289","1","0","610132007","-60","3","1","610132501","3","0","5.5","","0","0"
"10132","1","5","0","0","289","2","0","610132008","-60","1","1","610132502","0","0","1.5","","0","70"
"10132","1","5","0","0","289","3","0","610132009","-60","1","1","0","0","0","1.5","","0","0"
"10134","1","5","0","0","292","1","0","610134007","-50","1","1.85","0","3","0","5.5","","0","55"
"10134","1","5","30","0","292","2","0","610134008","-50","3","1.85","610134502","0","0","1.5","","0","0"
"10134","1","5","0","0","292","3","0","610134009","-50","1","1.85","0","0","0","1.5","","0","0"
"10136","1","5","0","0","295","1","0","610136007","0","2","1.1","610136501","3","600","5.5","","0","0"
"10136","1","5","0","0","295","2","0","610136008","-50","1","1.5","0","0","0","1.5","","0","84"
"10136","1","5","0","0","295","3","0","610136009","-50","1","1.5","0","0","0","1.5","","0","0"
"10137","1","5","0","0","295","1","0","610137007","0","1","0.85","0","0","0","5.5","","0","75"
"10137","1","5","0","0","295","2","0","610137008","0","1","0.85","0","0","0","1.5","","0","50"
"10137","1","5","0","0","295","3","0","610137009","0","1","0.85","0","0","0","1.5","","0","0"
"10140","1","5","0","0","298","1","0","610140007","0","1","1.4","0","3","0","5.5","","0","77"
"10140","1","5","0","0","298","2","0","610140008","0","1","1.4","0","0","0","1.5","","0","52"
"10140","1","5","0","0","298","3","0","610140009","0","1","1.4","0","0","0","1.5","","0","0"
"10142","1","5","0","0","301","1","0","610142007","-33","1","1.45","0","3","0","5.5","","0","76"
"10142","1","5","0","0","301","2","0","610142008","-40","2","1.23","610142502","3","600","1.5","","0","0"
"10142","1","5","0","0","301","3","0","610142009","-33","1","1.45","0","0","0","1.5","","0","0"
"10144","1","5","0","0","304","1","0","610144007","-33","1","1","0","3","0","5.5","","0","65"
"10144","1","5","0","0","304","2","0","610144008","-40","2","0.85","610144502","3","600","1.5","","0","0"
"10144","1","5","0","0","304","3","0","610144009","-33","1","1","0","0","0","1.5","","0","0"
"10146","1","5","0","0","307","1","0","610146007","-45","2","0.87","610146501","3","600","5.5","","0","0"
"10146","1","5","0","0","307","2","0","610146008","-45","1","1.18","0","0","0","1.5","","0","58"
"10146","1","5","0","0","307","3","0","610146009","-45","1","1.18","0","0","0","1.5","","0","0"
"10148","1","5","0","0","310","1","0","610148007","-50","2","1.4","610148501","3","600","5.5","","0","0"
"10148","1","5","0","0","310","2","0","610148008","-50","1","1.7","0","0","0","1.5","","0","68"
"10148","1","5","0","0","310","3","0","610148009","-50","1","1.7","0","0","0","1.5","","0","0"
"10150","1","5","0","0","313","1","0","610150007","-33","1","1.35","0","3","0","5.5","","0","71"
"10150","1","5","0","0","313","2","0","610150008","-33","1","1.35","0","3","0","1.5","","0","50"
"10150","1","5","0","0","313","3","0","610150009","-33","1","1.35","0","0","0","1.5","","0","0"
"10152","1","5","0","0","316","1","0","610152007","20","2","0.7","610152501","4.8","600","5.5","","0","0"
"10152","1","5","0","0","316","2","0","610152008","30","1","0.96","0","0","0","1.5","","0","81"
"10152","1","5","0","0","316","3","0","610152009","30","1","0.96","0","0","0","1.5","","0","0"
"10154","1","5","0","0","319","1","0","610154007","-33","1","1.25","0","3","0","5.5","","0","68"
"10154","1","5","0","0","319","2","0","610154008","-10","2","1","610154502","3","600","1.5","","0","0"
"10154","1","5","0","0","319","3","0","610154009","-33","1","1.25","0","0","0","1.5","","0","0"
"10156","1","5","0","0","322","1","0","610156007","5","2","0.85","610156501","3","600","5.5","","0","0"
"10156","1","5","0","0","322","2","0","610156008","-10","1","1.11","0","3","600","1.5","","0","75"
"10156","1","5","0","0","322","3","0","610156009","-10","1","1.11","0","0","0","1.5","","0","0"
"10158","1","5","0","0","325","1","0","610158007","-40","2","1.5","610158501","3","600","5.5","","0","0"
"10158","1","5","0","0","325","2","0","610158008","-33","1","1.75","0","0","0","1.5","","0","65"
"10158","1","5","0","0","325","3","0","610158009","-33","1","1.75","0","0","0","1.5","","0","0"
"10160","1","5","20","0","328","1","0","610160007","-35","3","1.4","610160501","4.8","600","5.5","","0","0"
"10160","1","5","0","0","328","2","0","610160008","-35","1","1.4","0","0","0","1.5","","0","70"
"10160","1","5","0","0","328","3","0","610160009","-35","1","1.4","0","0","0","1.5","","0","0"
