e2fb921d134112947f9e1e5080e3d4c1ecf087fb9dac2ff5702b2f6e773667b6,50339c02d19ecf4428299f64482cc40b0d9d38a8f704fca42ddeb8c8ae9735a3,38b15330660f1e0b97ca3df097ff1b602c6dec57bef4b45a80f4b32697556ecd,c2bcf3a7a0d802222fe1e8c5c1a6ca512eebf7801287ee0d57324a3015bcc9ad,f9976329427473dbe633d6de36f58ca87847b165490520f0ab85f64566350480,c497f245d1130dd0d420823a09324f5f4f70ece7351c27f452a15fc6dcf0c4bb,22d18f7c68b21e960c5f8f9782724d36bef4646cc97999fe3dcf5fe99234b9c6,62545b7da2e54c2142021f35613beb3e4d49aa30690c6ee3736fca50f52d8e74,faca35e5e2d515883fac044b14da5125e511860f3b594678e0665dd4d1d0de97,71329794c767be2357337065062ed97c330f7e117e0f2f937eea1468041be4df,5b0287a54bb736534a0fb947af20f6afb578749b4d46b867e1a42d903d5b4ebe,1fdc9006ee055e2ec645e5c72ac6482172f46f7ec58d8f4bbc01e246912e1998,49fd0de777d212f697b25a9f61cc8beb0f2a5007297158c453d281dd1ebc85ce,888e1213aad82948948030865fa46d150f23d68f4f0c6bdb77ea8ca7ee9f1d2b,963c0e7909aa757b2c9ed20dcc3c54d68b72d307efdc7b5d938ad97457401183,57c84fb194b94dc4cf2f316bd04f9d83d04129a08a799eb6c7720ed88749a771,8751e3f75a9afe2dfb18a56c0097141476748f24b450732688d1afdf0f015242,a423ee9dab00bd5bdb916259d4ea47672c797ecdd74203c4c65ff898c600c7ba,3fb1106ed5ff72148cc662e048621b6d725b9cd09454c5b02590b1066c2db3d0
"12","0","0","23001","94002","1002200","2","50","1","0","0","1","0","2","20004","50","2000000","0","80"
"12","0","0","23001","94002","1002200","2","40","51","0","0","2","0","2","20004","100","1600000","0","80"
"12","0","0","23001","94002","1002200","2","40","101","0","0","3","0","2","20004","200","1400000","0","60"
"12","0","0","23001","94002","1002200","2","35","201","0","0","4","0","2","20004","500","1200000","0","60"
"12","0","0","23001","94002","1002200","2","35","501","0","0","5","0","2","20004","1000","1000000","0","40"
"12","0","0","23001","94002","1002200","2","30","1001","0","0","6","0","2","20004","1500","800000","0","40"
"12","0","0","23001","94002","1002200","2","25","1501","0","0","7","0","2","20004","2000","600000","0","40"
"12","0","0","23001","94002","1002200","2","25","2001","0","0","8","0","2","20003","3000","600000","0","80"
"12","0","0","23001","94002","1002200","2","20","3001","0","0","9","0","2","20003","5000","400000","0","60"
"12","0","0","23001","94002","1002200","2","15","5001","0","0","10","0","2","20003","10000","300000","0","40"
"12","0","0","23001","94002","1002200","2","10","10001","0","0","11","0","2","20003","100000","200000","0","20"
"12","0","0","23001","94002","1002200","2","5","100001","0","0","12","0","2","20003","200000","100000","0","12"
"12","0","0","23001","94002","1002200","2","5","200001","0","0","13","0","2","20003","300000","80000","0","8"
"12","0","0","23001","94002","1002200","2","5","300001","0","0","14","0","2","20003","400000","60000","0","5"
"12","0","0","23001","94002","1002200","2","5","400001","0","0","15","0","2","20003","-1","50000","0","3"
