03bf489eb727f7129defb43bee7e68387bbe12ecfa27aed180f4b8d969d9e439,f449594a3c7a33007ec227ee15ab9f47f8d2046a297c1031bf0afb7e5cd5360c,ef1ed1d3ea78e43febd95f165ef00df42f9c20aa8ac718fbb73e587a871dce85,a38fe68947366b4f24392f78a6ddc4745108da1ef7c0f271bb6fcc4099aa8fd7,06003c6052c34351cb195c68ede6e3756e59953fb0b6b97000ca3022c8e1db26,85696ee73d10a944e37c4ef45c3f027dad4aa49df2adc31f61ff2ecc51341ded,b7a78d7a43d6b3c2efa64534c41a72dec8eb0f8ef4e46fdfa5d02d9d343fe3de,5408913eb4e1c7f4fc118a985313ce5f40ce85fceda5967844f48812df26a6f6,a4149cf17806ad8efc039ec3fcf57c9be84be2897cde95e9598688c6433ad662
"100101","6","3","2","2","2","1","1","3"
"100201","5","3","1","1","1","3","2","2"
"100301","7","2","2","1","3","1","3","3"
"100401","13","2","2","2","2","1","3","3"
"100501","18","3","3","2","2","2","2","1"
"100601","25","3","3","1","2","1","2","2"
"100701","26","3","1","2","3","3","2","2"
"100801","40","2","1","2","3","3","3","1"
"100901","34","2","3","1","3","1","2","3"
"101001","8","3","1","1","1","3","2","2"
"101101","56","3","1","3","2","2","2","2"
"101201","43","1","2","3","2","1","2","3"
"101301","33","3","3","1","2","1","3","1"
"101401","11","2","2","1","1","3","2","1"
"101501","42","2","1","1","1","3","3","2"
"101601","46","3","1","3","2","2","3","1"
"101701","10","3","2","3","2","1","2","1"
"101801","45","2","2","1","1","3","3","1"
"102001","12","3","2","2","1","2","1","3"
"102101","30","3","2","1","1","1","3","2"
"102201","24","1","2","3","1","1","3","2"
"102301","31","3","3","2","2","1","1","3"
"102501","29","2","1","3","1","3","2","1"
"102601","51","3","1","2","1","3","1","2"
"102701","36","1","1","2","3","2","3","3"
"102801","28","2","1","2","1","2","3","1"
"102901","52","3","1","2","1","2","2","2"
"103001","39","3","2","1","2","2","3","1"
"103101","27","2","1","2","3","3","1","3"
"103201","19","1","1","2","2","3","2","3"
"103301","48","3","2","1","2","2","1","3"
"103401","20","1","3","2","1","2","2","2"
"103601","14","1","3","2","3","3","2","1"
"103701","17","2","3","2","3","1","3","1"
"103801","49","2","3","1","3","3","1","2"
"104001","44","1","3","3","1","2","1","2"
"104201","53","2","2","2","3","3","2","1"
"104301","9","2","1","3","3","1","2","3"
"104401","23","2","2","1","3","3","1","3"
"104501","38","2","3","1","1","2","2","2"
"104601","21","2","1","3","2","3","1","2"
"104701","15","2","3","3","3","1","2","1"
"104801","22","1","2","3","3","1","3","2"
"104901","55","2","1","2","1","2","2","3"
"105001","47","3","2","3","1","2","2","1"
"105101","35","1","2","3","3","3","1","1"
"105201","50","3","1","2","2","2","2","2"
"105301","37","2","1","2","3","1","3","3"
"105401","54","3","1","3","2","2","1","2"
"105501","41","2","3","1","1","2","1","3"
"105601","32","3","1","3","3","1","2","2"
"105701","67","3","2","2","1","1","2","2"
"105801","1","3","1","2","2","2","2","2"
"105901","2","2","2","1","1","3","2","2"
"106001","3","2","3","3","3","2","1","1"
"106101","58","3","2","2","2","1","2","3"
"106301","68","3","2","2","1","1","1","3"
"106401","4","3","3","2","1","1","2","2"
"106501","61","3","3","2","3","1","2","1"
"106601","62","3","3","2","2","3","1","1"
"106701","60","2","2","1","3","2","2","1"
"106801","57","1","3","2","1","1","2","1"
"107001","59","1","2","1","3","3","1","2"
"107101","16","1","2","2","3","1","3","2"
"109201","70","2","2","1","1","2","2","2"
"109301","72","3","1","3","2","2","2","2"
"109401","71","2","2","3","3","1","3","1"
"110801","64","2","2","3","1","1","2","2"
"110901","65","2","1","2","2","2","3","1"
"111001","63","3","2","1","3","3","1","1"
"111401","69","2","3","3","2","2","1","2"
"118001","66","1","2","3","2","3","2","1"
