2b58bce23606d189a4b6cb1c8937581f93efb8a3dfd2f30e37eea3b1712cc3fe,df6fef068f9736f2c4396a0d3e03283b3cb8f82ba5c42cd3f7e7410ebad9b77e,5ca8241d1a69e0ec2203e4504485ea8b231c0e2a4784b72d3cf097f8173e31a0
"装備中","106101","通常時"
"特殊スキル","106701","通常時"
"権能解放中","106801","通常時"
"特殊スキル","106901","通常時"
"変身中","115801","通常時"
"特殊スキル","116401","通常時"
"特殊スキル","118201","通常時"
"特殊スキル","118501","通常時"
"特殊スキル","118601","通常時"
"初回発動時","120801","通常時"
"特殊スキル","122001","通常時"
"共闘中","122301","通常時"
"特殊スキル","122701","通常時"
"特殊スキル","123001","通常時"
"共闘中","125001","通常時"
"特殊スキル","125801","通常時"
"特殊スキル","126001","通常時"
"特殊スキル","126101","通常時"
"特殊スキル","126201","通常時"
"【フルチャージ】中","126401","通常時"
"特殊スキル","126501","通常時"
"特殊スキル","129001","通常時"
"特殊スキル","129301","通常時"
"特殊スキル","129401","通常時"
"初回発動時","129501","通常時"
"特殊スキル","129601","通常時"
"特殊スキル","129701","通常時"
"特殊スキル","130001","通常時"
"特殊スキル","130101","通常時"
"特殊スキル","131201","通常時"
"特殊スキル","131801","通常時"
"特殊スキル","132001","通常時"
"鬼化中","132101","通常時"
"初回発動時","132401","通常時"
"初回発動時","132901","通常時"
"特殊スキル","133101","通常時"
"召喚体スキル","133801","通常時"
"特殊スキル","134501","通常時"
"特殊スキル","134901","通常時"
"特殊スキル","181201","通常時"
