1b081673ec5fe242497e11439ea3e6ab177a9757cecef2cccd5b13aab46c38c7,f486154b0c7cdf51a0e7da5e9361dee3a46633ff14352843b722071548d68a47,f6e4639815784e5e11ebac92e771289e23fe02f3dffc0694274843a3e047db1d,e68176bfcdd77bbc01f35cb4a0b03040936f51d3235d9d5296bec9d7d0775c4a,c840312f4989f2cafb24ccc107e55ce961c2ac6c61f04721412ca8a58ed39e9c,3ca4fa598c0626f3531dfed6ec143f90198802db66ce6f6d944b79835f124f60,6d29464c80991c4fb49c63942208c6ea12bcce3869523ad11e389ca7c2dd5fdd,94ed169512ad4c2149ea83a04f202ecc4eb8013da76a59a3a63fd5672471e1ba,0073fb642e332b45f00fe78db61f736c134ae886535385e5ebbb9f8eb04125d1,ae1c5dbc1ef32ac13bfc7de174adbb7623f2b739a3138eb840da6c51a46d7bd1
"1010001","0","0","1","2","vo_10011600","0","1","","vo_10011600_0101"
"1010002","0","8","2","1","0","0","1","　明日から","0"
"1010003","1.625","0","3","4","0","1","1","","0"
"1010004","0","10","4","1","0","0","1","聖テレサ女学院に通うことになっちゃった！","0"
"1010005","4","0","5","4","0","1","1","","0"
"1010006","0","0","6","2","vo_10011600","0","1","","vo_10011600_0102"
"1010007","0","8","7","1","0","0","1","　なんで、","0"
"1010008","1.375","0","8","4","0","1","1","","0"
"1010009","0","9","9","1","0","0","1","どうしてこんなことになっちゃったんだろう。\n","0"
"1010010","3.33333333333333","0","10","4","0","1","1","","0"
"1010011","0","0","11","2","vo_10011600","0","1","","vo_10011600_0103"
"1010012","0","8","12","1","0","0","1","ミサト先生は","0"
"1010013","1.75","0","13","4","0","1","1","","0"
"1010014","0","10","14","1","0","0","1","私ならきっとやれると言ってくれたけど……","0"
"1010015","3","0","15","4","0","1","1","","0"
"1010016","0","8","16","1","0","0","1","絶対ムリだー！\n","0"
"1010017","3.875","0","17","4","0","1","1","","0"
"1010018","0","0","18","2","vo_10011600","0","1","","vo_10011600_0104"
"1010019","0","8","19","1","0","0","1","でも。","0"
"1010020","2.375","0","20","4","0","1","1","","0"
"1010021","0","8","21","1","0","0","1","でも……","0"
"1010022","2.5","0","22","4","0","1","1","","0"
"1010023","0","0","23","2","vo_10011600","0","1","","vo_10011600_0105"
"1010024","0","8","24","1","0","0","1","でも、","0"
"1010025","1.375","0","25","4","0","1","1","","0"
"1010026","0","8","26","1","0","0","1","もしも、","0"
"1010027","1.5","0","27","4","0","1","1","","0"
"1010028","0","8","28","1","0","0","1","私が聖テレサ女学院で頑張ることが出来たら。\n\n","0"
"1010029","4.875","0","29","4","0","1","1","","0"
"1010030","0","0","30","2","vo_10011600","0","1","","vo_10011600_0106"
"1010031","0","6","31","1","0","0","1","……友達、","0"
"1010032","1.58333333333333","0","32","4","0","1","1","","0"
"1010033","0","8","33","1","0","0","1","できるかな？","0"
"1010034","1.75","0","34","4","0","1","1","","0"
"1020001","0","0","1","2","vo_10011600","0","2","","vo_10011600_0201"
"1020002","0","8","2","1","0","0","2","　ごきげんようという挨拶で","0"
"1020003","2.375","0","3","4","0","1","2","","0"
"1020004","0","8","4","1","0","0","2","私のぼっち心は最初から爆発寸前。\n","0"
"1020005","4","0","5","4","0","1","2","","0"
"1020006","0","0","6","2","vo_10011600","0","2","","vo_10011600_0202"
"1020007","0","8","7","1","0","0","2","ところが、","0"
"1020008","1.125","0","8","4","0","1","2","","0"
