fcb5f087687e889fa2424a5caaf4533626663d895432fa094e0b5751b2d246f5,8505509e971e54d08dfb3234d3e18ac86893811a5ec8350104f699780ebf64ea,f939f7b2ec03e7f2c7bcb3c4e4b2f5722b0d6d6535763603376bec6c62bb37f8,a86bb5ffd69a8c066099e42e615a4376fc8a0994e704030d3eb96e114f53efdb,afd3a08b204cb6d6b93304140c69a9a60430ad3bf6775733a694a711ad76866c,77381cf7ba3fef8439d629cb61c06dee801d65731db6c9a91d7e09e99652e78f,3aa6a8f69cf72c780357e750dbd595f351fa19e5210d06ec5adeac1dca8c90d9,e1e8679d04cc2f850936cd8c02675ca80b3946c865fb63f69712533d45a4c60c,a2a9473ce3b97d9a24e1116d7779a7d7633fb54ac5aea731e6a1dd89657491f1,d9df1c707343fec8b7d8fe76a76f1e0bb4c984568cabb0076ddc7f31f0c198f3,45bb20aabfe74a4b1448b222bc6d283cd745ae3331d0caf7ffc9811c004f7c66
"110931","1.35","110","11010001","1","0","101","nyx_idle_normal","-209.3","-421","1"
"104831","1.35","110","11010002","1","0","101","nyx_idle_normal","-182.5","121.8","1"
"104631","1.35","110","11010003","1","0","101","nyx_idle_normal","-182.5","227.7","1"
"103231","1.35","110","11010004","1","1","101","nyx_talk_normal","-182.5","340.3","1"
"103431","1.35","110","11010005","1","1","101","nyx_idle_normal","-182.5","449.6","1"
"2","1.35","120","11010006","5","0","101","NoItem","-209.3","-421","2"
"1","1","0","11010007","31","","101","","1","0","1"
"3","0","-300","11010008","31","","101","","1","0","15"
"4","0","-300","11010009","31","","101","","1.5","0","15"
"bgm_M347","","","11010010","25","","101","","","","bgm_M347"
"","","","11010011","93","","101","","","","2"
"nyx_101_chieru_01","0.2","0","11010012","3","","101","","1","nyx_101_chieru_loop","2"
"nyx_101_chieru_01","0.2","0","11010013","3","","101","","1","nyx_101_chieru_loop","110931"
"ちぇる～ん♪\n最初はとにかく\nインパクト！","","10","11010014","11","","101","","","","110931"
"","","","11010015","93","","101","","","","0.4"
"0","","","11010016","32","","101","","","","3"
"1","","","11010017","32","","101","","","","3"
"","","","11010018","91","","101","","","","11010014"
"強めの初ちぇるで\n審査員のハートを\n鷲掴み子ちゃんです","","10","11010019","11","","101","","","","110931"
"","","","11010020","93","","101","","","","1"
"nyx_idle_joy1","0.2","1","11010021","3","","101","","","","103231"
"nyx_cmn_05","0.2","1","11010022","3","","101","","","","104631"
"","","","11010023","91","","101","","","","11010019"
"nyx_101_chieru_01","0.2","0","11010024","3","","101","","1","nyx_101_chieru_loop","2"
"nyx_101_chieru_01","0.2","0","11010025","3","","101","","1","nyx_101_chieru_loop","110931"
"ちぇるーん♪\nいや、まだ行ける…\nちぇっ☆るゥ～ん！","","7","11010026","11","","101","","","","110931"
"","","","11010027","93","","101","","","","0.4"
"0","","","11010028","32","","101","","","","3"
"1","","","11010029","32","","101","","","","3"
"","","","11010030","93","","101","","","","0.6"
"nyx_talk_bitter","0.2","1","11010031","3","","101","","","","103431"
"nyx_cmn_04","0.2","1","11010032","3","","101","","","","104631"
"","","","11010033","93","","101","","","","2"
"nyx_101_chieru_02","0.2","0","11010034","3","","101","","1","nyx_101_chieru_loop","2"
"nyx_101_chieru_02","0.2","0","11010035","3","","101","","1","nyx_101_chieru_loop","110931"
"","","","11010036","93","","101","","","","0.4"
"0","","","11010037","32","","101","","","","3"
"1","","","11010038","32","","101","","","","4"
"","","","11010039","91","","101","","","","11010026"
"nyx_idle_bitter","0.2","1","11010040","3","","101","","","","103431"
"nyx_talk_sad","0.2","1","11010041","3","","101","","","","104831"
"ね、ねぇ…\n廊下の方から\n何か聞こえない？","","10","11010042","11","","101","","","","104831"
"","","","11010043","91","","101","","","","0"
"1","","","11010044","4","","101","","","","110931"
"1","","","11010045","4","","101","","","","2"
"nyx_101_chieru_02","0.2","0","11010046","3","","101","","1","nyx_101_chieru_loop","2"
"nyx_101_chieru_02","0.2","0","11010047","3","","101","","1","nyx_101_chieru_loop","110931"
"nyx_idle_sad","0.2","1","11010048","3","","101","","","","104831"
"nyx_talk_sad","0.2","1","11010049","3","","101","","","","104631"
"なんかちぇるちぇる\n聞こえるにゃ…\nこわいにゃ…","","10","11010050","11","","101","","","","104631"
"","","","11010051","91","","101","","","","0"
"nyx_idle_sad","0.2","1","11010052","3","","101","","","","104631"
"nyx_talk_sad","0.2","1","11010053","3","","101","","","","103431"
"学校の七不思議的な\nやつかしら…\nか、帰りたい…","","10","11010054","11","","101","","","","103431"
