da2eff6e0b9e9524949a95d6a3b0b2cb08fe12b0697cd403e31f2f3413ed80ad,6883f1d8d01ef68fdbbd4cd8a9c025221e1d43911695d25d170cc4fd09aa402f,4bc74b5666b53c69f128bf201cec0952511d5783996dd43ae404c18eee289c61,94266110f636169a87c2f0bca9190c1adf9beeccf9e61e51671372cb9f60615e,e9ce49a5d8c630407f577c8bfabea418a0664f6899b33dd013095d997032c45a
"10101","damage_limit","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","1"
"10102","def_lower_limit","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","防御力（ダウン不可）アップ","1"
"10201","damage_limit","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","2"
"10202","def_lower_limit","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","防御力（ダウン不可）アップ","2"
"10203","damage_cut","すべてのモンスターが受けるダメージを一定値カットさせる。","全ダメージカット","2"
"10204","damage_up","すべてのモンスターの与えるダメージをアップさせる。","与ダメージアップ","2"
"10205","def_up","すべてのモンスターの物理/魔法防御力をアップさせる。","防御力アップ","2"
"10301","damage_limit","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","3"
"10302","def_lower_limit","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","防御力（ダウン不可）アップ","3"
"10303","damage_cut","すべてのモンスターが受けるダメージを一定値カットさせる。","全ダメージカット","3"
"10304","damage_up","すべてのモンスターの与えるダメージをアップさせる。","与ダメージアップ","3"
"10305","def_up","すべてのモンスターの物理/魔法防御力をアップさせる。","防御力アップ","3"
"10306","critical_down","すべてのキャラの物理/魔法クリティカルをダウンさせる。","クリティカルダウン","3"
"10401","damage_limit","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","4"
"10402","def_lower_limit","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","防御力（ダウン不可）アップ","4"
"10403","damage_cut","すべてのモンスターが受けるダメージを一定値カットさせる。","全ダメージカット","4"
"10404","damage_up","すべてのモンスターの与えるダメージをアップさせる。","与ダメージアップ","4"
"10405","def_up","すべてのモンスターの物理/魔法防御力をアップさせる。","防御力アップ","4"
"10406","critical_down","すべてのキャラの物理/魔法クリティカルをダウンさせる。","クリティカルダウン","4"
"10407","life_steal_down","すべてのキャラのＨＰ吸収をダウンさせる。","ＨＰ吸収ダウン","4"
"10501","add_monster","EXTREMEバトル時に一定確率で強敵が出現する。","強敵出現","5"
"10502","damage_limit","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","5"
"10503","def_lower_limit","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","防御力（ダウン不可）アップ","5"
"10504","damage_cut","すべてのモンスターが受けるダメージを一定値カットさせる。","全ダメージカット","5"
"10505","damage_up","すべてのモンスターの与えるダメージをアップさせる。","与ダメージアップ","5"
"10506","def_up","すべてのモンスターの物理/魔法防御力をアップさせる。","防御力アップ","5"
"10507","critical_down","すべてのキャラの物理/魔法クリティカルをダウンさせる。","クリティカルダウン","5"
"10508","life_steal_down","すべてのキャラのＨＰ吸収をダウンさせる。","ＨＰ吸収ダウン","5"
"10509","tp_down_cut","すべてのモンスターがＴＰダウンカット状態になる。","ＴＰダウンカット","5"
"10510","hp_recovery_down","すべてのキャラのＨＰ回復量をダウンさせる。","ＨＰ回復量ダウン","5"
