934aaafbdd9dd4b2156eea8911d6e2cd16a24275fb8365309eee2eb464e369ff,da671304bc73a1c65a5f7e686941ff942cbae3472a7b3f2b53c23e797559f7a3,a28068d8f4564ca0024d33cdd0b56149752d2b9716c2fc90e4322d9d628754d7,2b181fa38ccafae2a476d548b66214ce8a86bee526f5ce4f23d1f0499ae5b9ab,361af6fc1d6fd2427eacfb9b69718d3f90a85b289191e9f3ec95d75d9787ee7d,c649d5f316f8d6fc06cb4bf2f0f494ddde70714c2868336973ceba05ca88f35a,4d6d77ab816e2bdca1b7f586122b3d00d31680359a9024393e981e7edf5154e3,c3c82e23634e8073d37ee087455ece1859cb31be27637913c0a8cdb2a8ec8c74,5cad5ebba730655bd3a60f80d61d6e69ab80ea2525f2597611b4823c6fb682d8,01f0f5b5984030b7078fcf48a51266fd5778868dedc47d61f36f66221dc6e01d,4c2d204b6339d5c014fe141e4d589f66bb7ff6d31d114416fc14ff7285ba9cdc
"5152061","1","1","idle_normal","110311","382","110","1","1.55","-280","61001"
"5152061","0","1","idle_normal","131911","145","106","1","1.55","-210","61002"
"5152061","0","1","joy_idle_normal","102311","-50","107","1","1.55","-225","61003"
"5152061","0","1","wish_idle","102111","-245","108","1","1.55","-240","61004"
"5152061","0","1","idle_normal","107711","-440","109","1","1.55","-255","61005"
"5152061","0","1","doya_idle","122811","40","103","1","1.45","-105","61006"
"5152061","0","1","idle_normal","122911","-160","104","1","1.45","-120","61007"
"5152061","0","1","idle_normal","122711","-355","105","1","1.45","-135","61008"
"5152061","","110311","","210","","","13","","","61009"
"5152061","","131911","","206","","","13","","","61010"
"5152061","","107711","","209","","","13","","","61011"
"5152061","","122711","","205","","","13","","","61012"
"5152061","","122811","","203","","","13","","","61013"
"5152061","","122911","","204","","","13","","","61014"
"5152061","","102111","","208","","","13","","","61015"
"5152061","","102311","","207","","","13","","","61016"
"5152061","0","2","empty","2","-110","210","5","0.75","160","61017"
"5152061","0","3","empty","3","352","210","5","1","-45","61018"
"5152061","","1","","1","0","0","31","1","1","61019"
"5152061","","2","","2","0","0","31","0","1","61020"
"5152061","","3","","3","0","0","31","1","1","61021"
"5152061","","11","","11","0","0","31","0","1","61022"
"5152061","","0","","0","","","91","","","61023"
"5152061","","3","","telop_1","","","37","","","61024"
"5152061","","0","","0","","0","102","","","61025"
"5152061","","1","","0","","","93","","","61026"
"5152061","0","110311","","callout_in","callout_loop","0","3","0.2","1","61027"
"5152061","","0.1","","0","","","93","","","61028"
"5152061","","vo_rag","","vo_rag_6001","0","0","21","","","61029"
"5152061","","3","","1001_in","","0","3","0","","61030"
"5152061","","1.9","","1","","","93","","","61031"
"5152061","","3","","1001_mid","","0","3","0","","61032"
"5152061","","","","","","","92","","","61033"
"5152061","","3","","1001_out","","0","3","0","","61034"
"5152061","","0.2","","0","","","93","","","61035"
"5152061","","110311","","doya_idle_joy1R","","1","3","0.3","","61036"
"5152061","0","102311","","gutsB_in_joy","gutsB_talk_joy","0","3","0.2","1","61037"
"5152061","","102111","","wish_talk","","1","3","0.2","","61038"
"5152061","0","131911","","hello_2","idle_normal_joy","0","3","0.2","1","61039"
"5152061","","107711","","sad_talk_joy","","1","3","0.2","","61040"
"5152061","0","122811","","handsup_in","handsup_loop","0","3","0.2","1","61041"
"5152061","","122911","","leanforward_joy","","1","3","0.2","","61042"
"5152061","","122711","","talk_normal","","1","3","0.2","","61043"
"5152061","","vo_rag","","vo_rag_6002","0","0","21","","","61044"
"5152061","","3","","-110","0","142","2","","0","61045"
"5152061","","3","","1002_in","","0","3","0","","61046"
"5152061","","1.9","","1","","","93","","","61047"
"5152061","","3","","1002_mid","","0","3","0","","61048"
"5152061","","","","","","","92","","","61049"
"5152061","","3","","1002_out","","0","3","0","","61050"
"5152061","","102311","","gutsB_idle","","1","3","0.2","","61051"
"5152061","","102111","","wish_idle","","1","3","0.2","","61052"
"5152061","","131911","","idle_normal","","1","3","0.2","","61053"
"5152061","","107711","","sad_idle_normal","","1","3","0.2","","61054"
