6591ef020edf968426a2efd5d9d2ac0c5a99cccacb39c88f701bb947660ec254,40a4d943fa3d62fe7629b3945c6bd419d53295f090267633fe69c4751ebe9557,d53e925d95c2c5ec45b93851dbd60e536ac19395cca78afb66a83c88c45c8b22,e6ecaf025ca87c490bdec44526be774e0dd80d846c73b16287780d0e949b2121,6c524db3e8e04da80561d819d881c6c34d4ec77bcec8b4ae462af1c4ae52b6ad,0b6caceefdd863f9c7568536ab9a548e66f3d28b581f450cf36339cb79b34644,66c4507065f7e29b80690f492df0113627b554429de4586d6e2157568d45e86d
"1","0","50","50","1","9999999","0"
"2","0","80","20","2","9999999","0"
"3","0","30","70","3","2000","0"
"3","0","40","30","4","5000","30"
"3","20","40","0","5","10000","40"
"3","30","30","0","6","15000","40"
"3","35","25","0","7","20000","40"
"3","40","20","0","8","25000","40"
"3","45","15","0","9","30000","40"
"3","50","10","0","10","35000","40"
"3","55","10","0","11","40000","35"
"3","60","5","0","12","45000","35"
"3","65","5","0","13","50000","30"
"3","70","0","0","14","55000","30"
"3","75","0","0","15","60000","25"
"3","80","0","0","16","65000","20"
"3","85","0","0","17","70000","15"
"3","90","0","0","18","75000","10"
"3","95","0","0","19","80000","5"
"3","100","0","0","20","9999999","0"
