42e7363a2a635af333780e1231fb2584be222982adb02a19590132d57e31d02b,56f357a9af74ef43198aca9201be790bd44772d4126ff6b0bead6a9aa3000ddb,bbcd7ccb86e52913a107f71cbeab942f13ebe7b15e9c63cf82895c5e9316134d,66003ed0b54fb2e99c0d4b65b857dfc36707be0ec4a1cfd3a366c2a427fc96e3
"poison_damage_up","1","毒/猛毒ダメージアップ","バトル中、「毒」「猛毒」のダメージが大幅にアップする。"
"burn_damage_up","2","火傷ダメージアップ","バトル中、「火傷」のダメージが大幅にアップする。"
"curse_damage_up","3","呪い/呪詛ダメージアップ","バトル中、「呪い」「呪詛」のダメージが大幅にアップする。"
"paralysis_time_extension","4","麻痺効果時間増加","バトル中、「麻痺」の効果時間が増加する。"
"frozen_time_extension","5","凍結効果時間増加","バトル中、「凍結」の効果時間が増加する。"
"bind_time_extension","6","束縛効果時間増加","バトル中、「束縛」の効果時間が増加する。"
"stun_time_extension","7","スタン効果時間増加","バトル中、「スタン」の効果時間が増加する。"
"poison_time_extension","8","毒/猛毒効果時間増加","バトル中、「毒」「猛毒」の効果時間が増加する。"
"burn_time_extension","9","火傷効果時間増加","バトル中、「火傷」の効果時間が増加する。"
"curse_time_extension","10","呪い/呪詛効果時間増加","バトル中、「呪い」「呪詛」の効果時間が増加する。"
"temptation_time_extension","11","誘惑効果時間増加","バトル中、「誘惑」の効果時間が増加する。"
"confusion_time_extension","12","混乱効果時間増加","バトル中、「混乱」の効果時間が増加する。"
"attack_up","13","物理攻撃力アップ","バトル中、物理攻撃力が大幅にアップする。"
"magic_str_up","14","魔法攻撃力アップ","バトル中、魔法攻撃力が大幅にアップする。"
"defense_up","15","物理防御力アップ","バトル中、物理防御力が大幅にアップする。"
"magic_def_up","16","魔法防御力アップ","バトル中、魔法防御力が大幅にアップする。"
"physical_critical_up","17","物理クリティカルアップ","バトル中、物理クリティカルが大幅にアップする。"
"magic_critical_up","18","魔法クリティカルアップ","バトル中、魔法クリティカルが大幅にアップする。"
"energy_recovery_rate_up","19","ＴＰ上昇アップ","バトル中、ＴＰ上昇が大幅にアップする。"
"energy_recovery","20","バトル開始時ＴＰ特大回復","バトル開始時、ＴＰが特大回復する。"
"paralysis_hit_absolute","22","麻痺確定付与","バトル中、「麻痺」を必ず付与できる状態になる。"
"frozen_hit_absolute","23","凍結確定付与","バトル中、「凍結」を必ず付与できる状態になる。"
"bind_hit_absolute","24","束縛確定付与","バトル中、「束縛」を必ず付与できる状態になる。"
"stun_hit_absolute","25","スタン確定付与","バトル中、「スタン」を必ず付与できる状態になる。"
"poison_hit_absolute","26","毒/猛毒確定付与","バトル中、「毒」「猛毒」を必ず付与できる状態になる。"
"burn_hit_absolute","27","火傷確定付与","バトル中、「火傷」を必ず付与できる状態になる。"
"curse_hit_absolute","28","呪い/呪詛確定付与","バトル中、「呪い」「呪詛」を必ず付与できる状態になる。"
"temptation_hit_absolute","29","誘惑確定付与","バトル中、「誘惑」を必ず付与できる状態になる。"
"confusion_hit_absolute","30","混乱確定付与","バトル中、「混乱」を必ず付与できる状態になる。"
