389b7063c8d1f1992d2dcc794586db4cf41869f5fa68d031337f8f987a9d5b33,af5d47237f754e08a14e5cd36a1f69eab190899ea8d01b4557f490003faf419c,0c92a4da2fccb4186bcb72b31e7f99740ce0a6a2e314179302f95ccfb4214b86,1735dfcfbaed6bb4afe904a3e130c88349208b250ae889666fe9d8654dc35b08,442ea8d451490188302011987bf1ed023a98c70f648fbeddc30e4bff83ebfaca,a0bce7be888d814206e0f971fbdf7958799bf989e377fa51b64e6e32c05b907c,bd2c9565040d22ad2aa0663da64ada910078c9418e104a308a6f79899c28cbee,b56a3cb2292bbef4f2227bde4e9c57837501b2740dac094e09f9c3414a941d5d,36426c3fa9d221dbcff4825a87efe3db395f12d56d9820a4baf3036a3463dabd,c429d0b14e6ecc2e5497ff77c0835758d5c6393ab9287836f2dd5863cfee221f,8dba5bbeacd199c99df25c85c47fb78960a95e962ab82b645f4d356e955fb64d
"110931","nyx_idle_normal","1.35","11010001","-421","1","0","1","110","101","-209.3"
"104831","nyx_idle_normal","1.35","11010002","121.8","1","0","1","110","101","-182.5"
"104631","nyx_idle_normal","1.35","11010003","227.7","1","0","1","110","101","-182.5"
"103231","nyx_talk_normal","1.35","11010004","340.3","1","1","1","110","101","-182.5"
"103431","nyx_idle_normal","1.35","11010005","449.6","1","1","1","110","101","-182.5"
"2","NoItem","1.35","11010006","-421","5","0","2","120","101","-209.3"
"1","","1","11010007","0","31","","1","0","101","1"
"3","","0","11010008","0","31","","15","-300","101","1"
"4","","0","11010009","0","31","","15","-300","101","1.5"
"bgm_M347","","","11010010","","25","","bgm_M347","","101",""
"","","","11010011","","93","","2","","101",""
"nyx_101_chieru_01","","0.2","11010012","nyx_101_chieru_loop","3","","2","0","101","1"
"nyx_101_chieru_01","","0.2","11010013","nyx_101_chieru_loop","3","","110931","0","101","1"
"ちぇる～ん♪\n最初はとにかく\nインパクト！","","","11010014","","11","","110931","10","101",""
"","","","11010015","","93","","0.4","","101",""
"0","","","11010016","","32","","3","","101",""
"1","","","11010017","","32","","3","","101",""
"","","","11010018","","91","","11010014","","101",""
"強めの初ちぇるで\n審査員のハートを\n鷲掴み子ちゃんです","","","11010019","","11","","110931","10","101",""
"","","","11010020","","93","","1","","101",""
"nyx_idle_joy1","","0.2","11010021","","3","","103231","1","101",""
"nyx_cmn_05","","0.2","11010022","","3","","104631","1","101",""
"","","","11010023","","91","","11010019","","101",""
"nyx_101_chieru_01","","0.2","11010024","nyx_101_chieru_loop","3","","2","0","101","1"
"nyx_101_chieru_01","","0.2","11010025","nyx_101_chieru_loop","3","","110931","0","101","1"
"ちぇるーん♪\nいや、まだ行ける…\nちぇっ☆るゥ～ん！","","","11010026","","11","","110931","7","101",""
"","","","11010027","","93","","0.4","","101",""
"0","","","11010028","","32","","3","","101",""
"1","","","11010029","","32","","3","","101",""
"","","","11010030","","93","","0.6","","101",""
"nyx_talk_bitter","","0.2","11010031","","3","","103431","1","101",""
"nyx_cmn_04","","0.2","11010032","","3","","104631","1","101",""
"","","","11010033","","93","","2","","101",""
"nyx_101_chieru_02","","0.2","11010034","nyx_101_chieru_loop","3","","2","0","101","1"
"nyx_101_chieru_02","","0.2","11010035","nyx_101_chieru_loop","3","","110931","0","101","1"
"","","","11010036","","93","","0.4","","101",""
"0","","","11010037","","32","","3","","101",""
"1","","","11010038","","32","","4","","101",""
"","","","11010039","","91","","11010026","","101",""
"nyx_idle_bitter","","0.2","11010040","","3","","103431","1","101",""
"nyx_talk_sad","","0.2","11010041","","3","","104831","1","101",""
"ね、ねぇ…\n廊下の方から\n何か聞こえない？","","","11010042","","11","","104831","10","101",""
"","","","11010043","","91","","0","","101",""
"1","","","11010044","","4","","110931","","101",""
"1","","","11010045","","4","","2","","101",""
"nyx_101_chieru_02","","0.2","11010046","nyx_101_chieru_loop","3","","2","0","101","1"
"nyx_101_chieru_02","","0.2","11010047","nyx_101_chieru_loop","3","","110931","0","101","1"
"nyx_idle_sad","","0.2","11010048","","3","","104831","1","101",""
"nyx_talk_sad","","0.2","11010049","","3","","104631","1","101",""
"なんかちぇるちぇる\n聞こえるにゃ…\nこわいにゃ…","","","11010050","","11","","104631","10","101",""
"","","","11010051","","91","","0","","101",""
"nyx_idle_sad","","0.2","11010052","","3","","104631","1","101",""
"nyx_talk_sad","","0.2","11010053","","3","","103431","1","101",""
"学校の七不思議的な\nやつかしら…\nか、帰りたい…","","","11010054","","11","","103431","10","101",""
"","","","11010055","","91","","0","","101",""
"nyx_idle_sad","","0.2","11010056","","3","","103431","1","101",""
"nyx_talk_joy2","","0.2","11010057","","3","","103231","1","101",""
"面白いですわね！\n何が出てくるか\nワクワクしますわ！","","","11010058","","11","","103231","10","101",""
"","","","11010059","","91","","0","","101",""
"","","","11010060","","93","","0.4","","101",""
"0","","","11010061","","4","","110931","","101",""
"0","","","11010062","","4","","2","","101",""
"nyx_101_chieru_01","","0.2","11010063","nyx_101_chieru_loop","3","","110931","0","101","1"
"nyx_101_chieru_01","","0.2","11010064","nyx_101_chieru_loop","3","","2","0","101","1"
"1","","","11010065","","12","","104831","1","101",""
"nyx_talk_sad","","0.2","11010066","nyx_idle_sad","3","0.2","104831","0","101","1"
"","","","11010067","","93","","0.4","","101",""
"0","","","11010068","","32","","3","","101",""
"1","","","11010069","","32","","3","","101",""
"","","","11010070","","93","","1.6","","101",""
"15","","","11010071","","12","","104631","1","101",""
"nyx_talk_sad","","0.2","11010072","nyx_idle_sad","3","0.2","104631","0","101","1"
"","","","11010073","","93","","3","","101",""
"1","","","11010074","","4","","110931","","101",""
"1","","","11010075","","4","","2","","101",""
"nyx_101_chieru_02","","0.2","11010076","nyx_101_chieru_loop","3","","110931","0","101","1"
"nyx_101_chieru_02","","0.2","11010077","nyx_101_chieru_loop","3","","2","0","101","1"
"10","","","11010078","","12","","103231","1","101",""
"nyx_talk_joy1","","0.2","11010079","nyx_idle_joy1","3","0.2","103231","0","101","1"
"","","","11010080","","93","","2","","101",""
"2","","","11010081","","12","","103431","1","101",""
"nyx_talk_sad","","0.2","11010082","nyx_idle_sad","3","0.2","103431","0","101","1"
"","","","11010083","","93","","2.5","","101",""
"","","","11010084","","101","","11010060","","101",""
"110831","nyx_102_chloe_01","1.35","11020001","-362","1","1","1","110","102","-209.3"
"104831","nyx_102_mifuyu_01","1.35","11020002","90","1","0","1","110","102","-182.5"
"104631","nyx_idle_normal","1.35","11020003","220","1","0","1","110","102","-182.5"
"103231","nyx_talk_normal","1.35","11020004","336","1","1","1","110","102","-182.5"
"103431","nyx_idle_normal","1.35","11020005","457","1","1","1","110","102","-182.5"
"1","","1","11020006","0","31","","1","0","102","1"
"2","NoItem","1.35","11020007","-362","5","0","2","120","102","-209.3"
"bgm_M347","","","11020008","","25","","bgm_M347","","102",""
"","","","11020009","","93","","2","","102",""
"nyx_102_chloe_02","","0.2","11020010","","3","","110831","1","102",""
"次、うちの番か…\nえ、チエルの後って\n何気に不利くない？","","","11020011","","11","","110831","10","102",""
"1","","","11020012","","91","","0","","102",""
"nyx_idle_sad","","0.2","11020013","","3","","110831","1","102",""
"あいつ絶対初見で\nちぇるちぇる言って\n現場冷やしてるし…","","","11020014","","11","","110831","10","102",""
"1","","","11020015","","91","","0","","102",""
"cmn_pose02_def_N","","0.2","11020016","nyx_102_chloe_02","3","0.2","110831","0","102","1"
"ま、いいけど何でも\n…てゆか中の人ら\nダイジョブか？","","","11020017","","11","","110831","10","102",""
"","","","11020018","","93","","3","","102",""
"nyx_idle_normal","","0.2","11020019","","3","","103231","1","102",""
"nyx_talk_sad","","0.2","11020020","","3","","104631","1","102",""
"0","","","11020021","","4","","110831","","102",""
"","","","11020022","","91","","11020016","","102",""
"","","","11020023","","93","","1","","102",""
"nyx_102_chloe_01","","0.2","11020024","","3","","110831","1","102",""
"ちぇる気にやられて\nおかしなことにとか\n…いや、まさかね","","","11020025","","11","","110831","10","102",""
"","","","11020026","","93","","2.5","","102",""
"nyx_102_chloe_03","","0.2","11020027","nyx_102_chloe_03_loop","3","","110831","0","102","1"
"nyx_102_chloe_03","","0.2","11020028","nyx_102_chloe_03_loop","3","","2","0","102","1"
"","","","11020029","","91","","11020025","","102",""
"","","","11020030","","93","","1","","102",""
"ちぇる…ちぇる…","","","11020031","","11","","104831","10","102",""
"","","","11020032","","93","","1.5","","102",""
"1","","","11020033","","4","","104631","0","102",""
"cmn_shock_def_N","","0.2","11020034","nyx_idle_surprise2","3","0.2","104631","0","102","1"
"cmn_shock_def_N","","0.2","11020035","nyx_idle_surprise2","3","0.2","103431","0","102","1"
"nyx_surprise","","0.2","11020036","nyx_idle_surprise1","3","0.2","103231","0","102","1"
"","","","11020037","","93","","1.5","","102",""
"nyx_talk_surprise2","","0.2","11020038","","3","0.2","104631","1","102","1"
"nyx_102_yukari_01","","0.2","11020039","","3","","103431","1","102",""
"ミフユさん！\nしっかりちぇる！\n傷は浅いちぇる！","","","11020040","","11","","103431","10","102",""
"1","","","11020041","","91","","0","","102",""
"cmn_shock_def_N","","0.2","11020042","nyx_102_tamaki_01_loop","3","0.2","103431","0","102","1"
"0","","","11020043","","4","","103231","0","102",""
"0","","","11020044","","4","","104631","0","102",""
"","","","11020045","","91","","0","","102",""
"ダメにゃ…\nミフユもユカリも\n手遅れちぇ…にゃ！","","","11020046","","11","","104631","10","102",""
"","","","11020047","","93","","2.6","","102",""
"nyx_102_tamaki_01","","0.2","11020048","nyx_102_tamaki_01_loop","3","0.2","104631","0","102","1"
"","","","11020049","","93","","0.1","","102",""
"1","","","11020050","","4","","103231","0","102",""
"","","","11020051","","93","","1.5","","102",""
"被害甚大ですわね…\n次の方が普通である\nことを祈りますわ…","","","11020052","","11","","103231","10","102",""
"","","","11020053","","91","","0","","102",""
"","","","11020054","","93","","1","","102",""
"nyx_102_chloe_04","","0.2","11020055","nyx_102_chloe_03_loop","3","","110831","0","102","1"
"nyx_102_chloe_04","","0.2","11020056","nyx_102_chloe_03_loop","3","","2","0","102","1"
"","","","11020057","","93","","1.5","","102",""
"12","","","11020058","","12","","110831","1","102",""
"","","","11020059","","93","","1","","102",""
"1","","","11020060","","12","","103431","1","102",""
"nyx_cmn_01","","0.2","11020061","nyx_cmn_03","3","0.2","103431","0","102","1"
"nyx_idle_worry","","0.2","11020062","","3","0.2","104631","1","102","1"
"","","","11020063","","93","","2","","102",""
"12","","","11020064","","12","","104831","1","102",""
"","","","11020065","","93","","2","","102",""
"10","","","11020066","","12","","103231","1","102",""
"nyx_talk_normal","","0.2","11020067","nyx_idle_normal","3","0.2","103231","0","102","1"
"","","","11020068","","93","","2","","102",""
"2","","","11020069","","12","","104631","1","102",""
"nyx_talk_sad","","0.2","11020070","nyx_idle_worry","3","0.2","104631","0","102","1"
"","","","11020071","","93","","4","","102",""
"1","","","11020072","","101","","11020055","","102",""
"111031","nyx_103_yuni_01","1.35","11030001","-421","1","0","1","110","103","-209.3"
"104831","nyx_idle_normal","1.35","11030002","121.8","1","0","1","110","103","-182.5"
"2","NoItem","1.35","11030003","121.8","5","0","2","120","103","-182.5"
"104631","nyx_idle_normal","1.35","11030004","227.7","1","0","1","110","103","-182.5"
"2","NoItem","1.35","11030005","227.7","5","0","2","120","103","-182.5"
"103231","nyx_idle_normal","1.35","11030006","340.3","1","1","1","110","103","-182.5"
"103431","nyx_cmn_03","1.35","11030007","449.6","1","1","1","110","103","-182.5"
"2","NoItem","1.35","11030008","449.6","5","1","2","120","103","-182.5"
"1","","1","11030009","0","31","","1","0","103","1"
"bgm_M347","","","11030010","","25","","bgm_M347","","103",""
"","","","11030011","","93","","2","","103",""
"nyx_talk_sad","","0.2","11030012","","3","","103431","1","103",""
"プレゼンって\nこんなに\n疲れるものなの…？","","","11030013","","11","","103431","10","103",""
"","","","11030014","","91","","0","","103",""
"nyx_cmn_03","","0.2","11030015","","3","","103431","1","103",""
"nyx_cmn_05","","0.2","11030016","","3","","104831","1","103",""
"きっと次は大丈夫よ\nまともな生徒のはず\n…そうよね？","","","11030017","","11","","104831","10","103",""
"","","","11030018","","91","","0","","103",""
"nyx_cmn_04","","0.2","11030019","","3","","104831","1","103",""
"nyx_talk_normal","","0.2","11030020","","3","","103231","1","103",""
"あら？\n次もなかよし部の方\nみたいですわよ？","","","11030021","","11","","103231","10","103",""
"","","","11030022","","91","","0","","103",""
"nyx_idle_normal","","0.2","11030023","","3","","103231","1","103",""
"nyx_talk_sad","","0.2","11030024","","3","","104631","1","103",""
"…気を抜いたら\nやられるにゃ\n覚悟を決めるにゃ","","","11030025","","11","","104631","10","103",""
"","","","11030026","","93","","2.6","","103",""
"nyx_102_chloe_01","","0.2","11030027","","3","","111031","1","103",""
"","","","11030028","","91","","11030025","","103",""
"nyx_cmn_02","","0.2","11030029","nyx_idle_sad","3","0.3","104631","0","103","1"
"nyx_cmn_02","","0.2","11030030","","3","","2","0","103",""
"nyx_cmn_02","","0.2","11030031","nyx_cmn_03","3","0.3","103431","0","103","1"
"nyx_cmn_02","","0.2","11030032","","3","","2","0","103",""
"nyx_cmn_02","","0.2","11030033","nyx_idle_normal","3","0.2","104831","0","103","1"
"nyx_cmn_02","","0.2","11030034","","3","","2","0","103",""
"","","","11030035","","93","","1.5","","103",""
"nyx_303_yuni_01","","0.2","11030036","","3","","111031","1","103",""
"ふむ、次はぼくだな\nまさに真打登場と\n言ったところか","","","11030037","","11","","111031","10","103",""
"","","","11030038","","93","","2.8","","103",""
"13","","","11030039","","12","","104831","1","103",""
"nyx_talk_normal","","0.2","11030040","","3","","104831","1","103",""
"","","","11030041","","91","","11030037","","103",""
"チエル君、クロエ君\n君らの無念はぼくが\n晴らして見せよう","","","11030042","","11","","111031","10","103",""
"","","","11030043","","91","","0","","103",""
"nyx_103_yuni_02","","0.2","11030044","","3","","111031","1","103",""
"いざ上級生としての\n責務を果たす時だ","","","11030045","","11","","111031","10","103",""
"","","","11030046","","93","","1.5","","103",""
"17","","","11030047","","12","","103231","1","103",""
"nyx_idle_normal","","0.2","11030048","","3","","104831","1","103",""
"nyx_cmn_05","","0.2","11030049","","3","","103231","1","103",""
"","","","11030050","","91","","11030045","","103",""
"nyx_103_yuni_03","","0.3","11030051","nyx_103_yuni_04","3","0.6","111031","0","103","0"
"ユニちゃんズの\n名に懸けて…！","","","11030052","","11","","111031","10","103",""
"","","","11030053","","91","","0","","103",""
