abfc5e7f50714fdf2f7d3874cd4f9964d8481b937db7c36a075e1cd3e29dd946,bb6c47810d54362f2919a960d639550438519d45da68b05f70efbd9a8dc529c0,33370a409afff8d2948eff08ba255642f38f80e931106121f16a71de3ebde034
"1","114601","1"
"2","114701","2"
"3","115601","3"
"5","115801","4"
"6","116801","5"
"7","117401","6"
"8","117801","7"
"9","119201","8"
"10","120801","9"
"12","121201","10"
"13","122101","11"
"14","122401","12"
"15","122801","13"
"16","123501","14"
"17","124101","15"
"20","124701","16"
"21","124901","17"
"22","125701","18"
"24","126701","19"
"25","127001","20"
"27","128301","21"
"28","128801","22"
"29","105801","23"
"30","105901","24"
"31","106001","25"
"32","106401","26"
